timestamp,bos_7d,bos_28d,bos_91d,realized_vol_30d,gross_budget,daily_close
2022-01-01,-1.0,1.0,1.0,0.7732313804729086,0.1293273947816758,3787.0
2022-01-02,-1.0,1.0,1.0,0.7655623151607821,0.1306229395304002,3725.25
2022-01-03,-1.0,1.0,1.0,0.7678549018928752,0.13023293821981902,3776.87
2022-01-04,-1.0,1.0,1.0,0.6867248470567812,0.14561872987207,3784.65
2022-01-05,-1.0,1.0,1.0,0.6887571857195448,0.1451890478580343,3850.8
2022-01-06,-1.0,1.0,1.0,0.6871949920992003,0.14551910469330728,3819.84
2022-01-07,-1.0,-1.0,1.0,0.7554230422034459,0.13237615801116723,3395.07
2022-01-08,-1.0,-1.0,-1.0,0.7933321949074496,0.1260506010494961,3131.46
2022-01-09,-1.0,-1.0,-1.0,0.7860097806188157,0.12722487997702936,3161.78
2022-01-10,-1.0,-1.0,-1.0,0.7772964630024272,0.12865104211813164,3097.83
2022-01-11,-1.0,-1.0,-1.0,0.7777920585727712,0.12856906791192685,3005.82
2022-01-12,-1.0,-1.0,-1.0,0.797655055699805,0.12536747468148024,3133.25
2022-01-13,-1.0,-1.0,-1.0,0.8234805036430641,0.12143578330950358,3360.88
2022-01-14,-1.0,-1.0,-1.0,0.8247729745865052,0.12124548582612613,3301.98
2022-01-15,-1.0,-1.0,-1.0,0.8181261041146176,0.12223054550767669,3278.94
2022-01-16,-1.0,-1.0,-1.0,0.7221131627761354,0.1384824500574868,3362.06
2022-01-17,-1.0,-1.0,-1.0,0.6935983434870556,0.14417566151794922,3352.84
2022-01-18,-1.0,-1.0,-1.0,0.6903801054704333,0.14484774287036967,3238.0
2022-01-19,-1.0,-1.0,-1.0,0.6986272100134638,0.1431378545906805,3117.65
2022-01-20,-1.0,-1.0,-1.0,0.6936837908525074,0.1441579020854795,3124.01
2022-01-21,-1.0,-1.0,-1.0,0.6913037532087979,0.14465421247293087,3261.66
2022-01-22,-1.0,-1.0,-1.0,0.829045603905061,0.12062062633101135,2831.96
2022-01-23,-1.0,-1.0,-1.0,0.9930343956500737,0.10070144643331981,2387.23
2022-01-24,-1.0,-1.0,-1.0,0.983590556252934,0.10166832058753991,2432.39
2022-01-25,-1.0,-1.0,-1.0,0.9970014738724079,0.10030075443278391,2274.0
2022-01-26,-1.0,-1.0,-1.0,1.0347328041834662,0.09664330694426232,2419.37
2022-01-27,-1.0,-1.0,-1.0,1.078192876554615,0.09274778397678886,2606.43
2022-01-28,-1.0,-1.0,-1.0,1.0787161394320823,0.09270279394600285,2479.17
2022-01-29,-1.0,-1.0,-1.0,1.0778642522630149,0.09277606135470808,2442.74
2022-01-30,-1.0,-1.0,-1.0,1.0939458378347053,0.09141220391489799,2544.05
2022-01-31,-1.0,-1.0,-1.0,1.0972347487148681,0.091138200022488,2617.64
2022-02-01,-1.0,-1.0,-1.0,1.0980810739424969,0.09106795697786219,2620.53
2022-02-02,1.0,-1.0,-1.0,1.118468927109642,0.08940793756194994,2767.97
2022-02-03,1.0,-1.0,-1.0,1.1215476916005638,0.0891625035198367,2664.25
2022-02-04,1.0,-1.0,-1.0,1.1168653447229946,0.0895363084480001,2639.45
2022-02-05,1.0,-1.0,-1.0,1.1658053018891896,0.08577761641497926,2873.02
2022-02-06,1.0,-1.0,-1.0,1.1233001044122035,0.08902340488281861,3050.24
2022-02-07,1.0,-1.0,-1.0,1.0911947660319694,0.09164266830534838,2991.31
2022-02-08,1.0,-1.0,-1.0,1.101075015469017,0.09082033339699723,3121.23
2022-02-09,1.0,-1.0,-1.0,1.0999455713843733,0.09091358936437342,3076.39
2022-02-10,1.0,-1.0,-1.0,1.1003201932217628,0.09088263635987422,3179.17
2022-02-11,1.0,-1.0,-1.0,1.091725385437231,0.0915981265379759,3209.65
2022-02-12,1.0,-1.0,-1.0,1.0694438469028442,0.09350654575235937,3102.28
2022-02-13,1.0,-1.0,-1.0,1.095936392784071,0.09124617145522851,2881.94
2022-02-14,1.0,-1.0,-1.0,1.0974699681875992,0.09111866647717344,2918.62
2022-02-15,1.0,-1.0,-1.0,1.0933191922493117,0.09146459762978057,2936.68
2022-02-16,1.0,-1.0,-1.0,1.1164392681589943,0.08957047897903105,3122.46
2022-02-17,1.0,-1.0,-1.0,1.112024894498809,0.08992604436708239,3065.62
2022-02-18,1.0,-1.0,-1.0,1.1079378517847205,0.09025777017990234,2988.49
2022-02-19,-1.0,-1.0,-1.0,1.12894916926008,0.08857794728308327,2800.91
2022-02-20,-1.0,-1.0,-1.0,1.117854275453137,0.08945709847507957,2745.07
2022-02-21,-1.0,-1.0,-1.0,1.0156083021026792,0.09846315729495671,2651.9
2022-02-22,-1.0,-1.0,-1.0,0.8243608304819898,0.12130610322852396,2723.95
2022-02-23,-1.0,-1.0,-1.0,0.8348903095032799,0.1197762135477357,2624.0
2022-02-24,-1.0,-1.0,-1.0,0.8000868053453736,0.12498643813633821,2689.45
2022-02-25,-1.0,-1.0,-1.0,0.8402578167212142,0.11901109160782565,2454.98
2022-02-26,-1.0,-1.0,-1.0,0.8820661039726716,0.1133701879594029,2733.25
2022-02-27,-1.0,-1.0,-1.0,0.8644786172191833,0.11567666106268261,2785.63
2022-02-28,-1.0,-1.0,-1.0,0.8620369401454793,0.11600430949411956,2809.34
2022-03-01,-1.0,-1.0,-1.0,0.8525408237755386,0.11729643579663761,2815.36
2022-03-02,1.0,-1.0,-1.0,0.8612681435237879,0.11610785880325324,2949.77
2022-03-03,1.0,-1.0,-1.0,0.8612740213849511,0.11610706641214766,2952.61
2022-03-04,1.0,-1.0,-1.0,0.856329851470398,0.11677743083262916,2828.64
2022-03-05,1.0,-1.0,-1.0,0.8688650098525341,0.11509267707416627,2672.61
2022-03-06,1.0,-1.0,-1.0,0.8691337907216737,0.11505708449900023,2642.83
2022-03-07,1.0,-1.0,-1.0,0.8155092590643102,0.12262276471849858,2626.62
2022-03-08,1.0,-1.0,-1.0,0.7844403385585123,0.1274794207852187,2617.63
2022-03-09,1.0,-1.0,-1.0,0.7852003813701482,0.12735602576440852,2559.16
2022-03-10,1.0,-1.0,-1.0,0.8162800539255204,0.12250697480490473,2757.92
2022-03-11,1.0,-1.0,-1.0,0.8378858441197646,0.11934800032939372,2597.56
2022-03-12,1.0,-1.0,-1.0,0.8266713409556412,0.12096705794155015,2581.07
2022-03-13,1.0,-1.0,-1.0,0.8251594478853902,0.12118869905236718,2584.58
2022-03-14,1.0,-1.0,-1.0,0.8197772967153779,0.12198434916491649,2578.86
2022-03-15,1.0,-1.0,-1.0,0.7840048196782178,0.12755023628686799,2573.6
2022-03-16,1.0,-1.0,-1.0,0.7819476236700539,0.1278858033107796,2572.33
2022-03-17,1.0,-1.0,-1.0,0.8029031578481196,0.1245480217913359,2703.21
2022-03-18,1.0,-1.0,-1.0,0.7826908087322366,0.12776437244992694,2802.15
2022-03-19,1.0,-1.0,-1.0,0.7905911112730812,0.12648763510504307,2895.61
2022-03-20,1.0,-1.0,-1.0,0.7908681004498263,0.1264433347901154,2966.11
2022-03-21,1.0,-1.0,-1.0,0.7692730379455394,0.12999285697970803,2855.46
2022-03-22,1.0,-1.0,-1.0,0.7738865952723186,0.12921789912230172,2954.29
2022-03-23,1.0,-1.0,-1.0,0.7638535335345042,0.13091515010381619,3002.15
2022-03-24,1.0,-1.0,-1.0,0.7598991065668022,0.13159641738729835,3030.88
2022-03-25,1.0,1.0,-1.0,0.7497485901572654,0.13337804340388856,3114.29
2022-03-26,1.0,1.0,-1.0,0.7468000360403384,0.1339046534199665,3121.01
2022-03-27,1.0,1.0,-1.0,0.6651196862409593,0.15034888016195636,3115.59
2022-03-28,1.0,1.0,-1.0,0.5654673693373576,0.17684486395242383,3169.54
2022-03-29,1.0,1.0,-1.0,0.5921180486218559,0.16888524211134623,3357.71
2022-03-30,1.0,1.0,-1.0,0.5926111963600506,0.16874470245284293,3403.58
2022-03-31,1.0,1.0,-1.0,0.5940793247928883,0.1683276892944602,3381.88
