dataset,start,end,rows,duplicate_timestamps
OKX ETH-USDT-SWAP 1m K-lines,2020-01-01,2026-08-15 23:59:00,3483360,0
complete daily PA bars,2020-01-02,2026-08-16 00:00:00,2419,0
