side,bar_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,notional,underlying_return,net_account_contribution,exit_reason,ambiguous_bar_loss_first
long,2022-02-21 20:00:00,2022-02-22 00:01:00,2022-02-22 02:05:00,2722.7,2664.89,2665.6800000000003,2836.739999999999,0.23874956155735025,-0.021232599992654366,-0.005308023500526178,stop,False
short,2022-02-24 08:00:00,2022-02-24 12:01:00,2022-02-25 00:01:00,2391.69,2455.76,2489.6,2195.8700000000003,0.1221371667858239,-0.026788588822129977,-0.0033940195077111707,time,False
long,2022-02-25 00:00:00,2022-02-25 04:01:00,2022-02-25 16:01:00,2606.48,2610.09,2514.1800000000003,2791.0799999999995,0.14119609967497332,0.0013850096682115343,5.4361863488624194e-05,time,False
short,2022-02-28 00:00:00,2022-02-28 04:01:00,2022-02-28 16:01:00,2597.85,2631.94,2701.44,2390.6699999999996,0.12539096437880085,-0.013122389668379641,-0.0017708200598513368,time,False
long,2022-02-28 20:00:00,2022-03-01 00:01:00,2022-03-01 12:01:00,2815.18,2915.58,2717.5,3010.5399999999995,0.1441021703521706,0.03566379414460186,0.00499512796887799,time,False
short,2022-03-08 00:00:00,2022-03-08 04:01:00,2022-03-08 09:13:00,2461.22,2540.89,2544.5550000000003,2294.549999999999,0.14767024659506722,-0.03237012538497175,-0.00492777464450709,stop,False
short,2022-05-05 20:00:00,2022-05-06 00:01:00,2022-05-06 12:01:00,2736.04,2746.0,2828.6549999999997,2550.8100000000004,0.14771041407979302,-0.0036402976564671174,-0.0006854202882902511,time,False
short,2022-05-12 00:00:00,2022-05-12 04:01:00,2022-05-12 04:56:00,2138.66,2040.72,2188.785,2038.4099999999999,0.21333266832917705,0.04579503053313749,0.00955624339152118,target,False
short,2022-05-12 08:00:00,2022-05-12 12:01:00,2022-05-12 15:17:00,1978.71,1776.31,2080.94,1774.25,0.09677736476572434,0.10228886496757994,0.00980246943167368,target,False
long,2022-05-13 08:00:00,2022-05-13 12:01:00,2022-05-14 00:01:00,2086.77,2091.83,2025.6,2209.11,0.17057135850907287,0.0024248000498376943,0.00024303008010461024,time,False
long,2022-06-12 20:00:00,2022-06-13 00:01:00,2022-06-13 03:18:00,1521.08,1486.69,1488.005,1587.2299999999996,0.22994406651549634,-0.022608935756173176,-0.005428734693877565,stop,False
short,2022-06-13 12:00:00,2022-06-13 16:01:00,2022-06-13 17:08:00,1278.44,1189.41,1323.63,1188.06,0.1414516485948217,0.06963956071462096,0.009709179021907495,target,False
long,2022-06-14 12:00:00,2022-06-14 16:01:00,2022-06-14 17:56:00,1238.8,1198.06,1195.15,1326.0999999999997,0.1419014891179844,-0.03288666451404587,-0.004808568155784668,stop,False
long,2022-06-14 20:00:00,2022-06-15 00:01:00,2022-06-15 02:51:00,1244.88,1208.14,1209.9650000000001,1314.71,0.17827294858943168,-0.029512884776042636,-0.005439621938994702,stop,False
short,2022-06-15 12:00:00,2022-06-15 16:01:00,2022-06-15 17:22:00,1090.58,1019.82,1128.145,1015.4499999999998,0.14515905763343517,0.06488290634341354,0.009273182483694907,target,False
long,2022-06-15 16:00:00,2022-06-15 20:01:00,2022-06-16 00:59:00,1114.65,1081.75,1073.5900000000001,1196.77,0.13573429128105233,-0.02951599156685958,-0.004142066488066255,stop,False
long,2022-06-16 04:00:00,2022-06-16 08:01:00,2022-06-16 11:21:00,1236.65,1203.22,1202.755,1304.44,0.18242366130697754,-0.02703270933570534,-0.005113829473373658,stop,False
short,2022-06-18 12:00:00,2022-06-18 16:01:00,2022-06-19 02:31:00,1002.1,945.92,1034.2,937.9,0.15609034267912764,0.05606226923460733,0.008594688473520245,target,False
short,2022-06-19 00:00:00,2022-06-19 04:01:00,2022-06-19 05:27:00,913.41,950.02,956.0799999999999,828.07,0.10703187250996025,-0.04008057717782809,-0.00439693109913288,stop,False
long,2022-06-19 04:00:00,2022-06-19 08:01:00,2022-06-19 10:30:00,997.52,947.33,947.77,1097.02,0.10025326633165829,-0.0503147806560269,-0.005144474371859292,stop,False
