candidate,total_return,cagr,max_drawdown,calmar,max_consecutive_flat_days,max_consecutive_losing_days,positive_month_rate,annual_volatility,max_gross_exposure,hedged_bar_rate,total_cost,year
displacement_only_1m,0.03378735456537085,0.0338109488842242,0.021502113394475164,1.572447706136259,58,1,0.5,0.03641750229545188,0.2487841306884486,0.0,0.00583205933807386,2022
displacement_only_1m,-0.003587024604974287,-0.0035894838734619183,0.02693048278228405,-0.13328702283136284,101,2,0.3333333333333333,0.021213481809914166,0.4130372546568317,3.424657534246575e-05,0.006371993617668037,2023
displacement_only_1m,-0.02896834725373887,-0.02890990640237734,0.04219078775056195,-0.6852184551115019,40,2,0.4166666666666667,0.03422039381850725,0.3,0.0,0.010712969063403851,2024
displacement_only_1m,-0.007534465507748611,-0.007539620887656251,0.046786000097416736,-0.16115121771379098,52,3,0.5,0.04607403765666026,0.45510398483985826,0.0006582952815829528,0.012934110459214956,2025
displacement_only_1m,-0.008994552638570852,-0.014432913693606997,0.027114493742381174,-0.5322951566323255,52,1,0.25,0.032657458344249095,0.4922359545987048,0.0002967458906812613,0.004010244848778858,2026
displacement_only_2m,0.00917716341503838,0.009183495470297842,0.0346960117557511,0.2646844696429876,58,3,0.3333333333333333,0.03929394290965307,0.29303384768541685,0.0,0.006021494885073509,2022
displacement_only_2m,-0.009457681653198713,-0.009464146687434116,0.0323393815833557,-0.2926508246003407,101,2,0.25,0.020976864035908687,0.3895977356978257,3.234398782343988e-05,0.006678277946146839,2023
displacement_only_2m,-0.030281579516971857,-0.03022053079187137,0.04319993595710214,-0.6995503609514742,40,2,0.4166666666666667,0.0343398968083264,0.3,0.0,0.01075825191719354,2024
displacement_only_2m,0.004377377204948241,0.0043803903178902814,0.041102264796012866,0.10657296719851803,52,2,0.5,0.04462556272132552,0.3278615268180881,0.0006126331811263318,0.012766690542077125,2025
displacement_only_2m,-0.004240394887323307,-0.006814152598608403,0.02553843989494531,-0.26681945438480337,52,2,0.25,0.0324763479012225,0.47152870350912846,0.0002936866546948565,0.00398395304314621,2026
core_plus_displacement_1m,0.09358606659288737,0.09365326498390103,0.052337458416735316,1.7894117868351562,0,8,0.5833333333333334,0.06823633527885545,0.32176903778372745,0.015431887366818874,0.0071296670838123175,2022
core_plus_displacement_1m,-0.029039571933472952,-0.029059224692847274,0.10023921733520591,-0.28989875884277405,0,9,0.4166666666666667,0.06728458233856181,0.5562381485234258,0.00908675799086758,0.009562479589728739,2023
core_plus_displacement_1m,0.04332648804580552,0.04323589582901066,0.06817213158935953,0.6342165753220929,0,9,0.5,0.06955638864176143,0.48645351376396007,0.016416211293260475,0.012474494195202917,2024
core_plus_displacement_1m,-0.013479912809608474,-0.013489108564015528,0.07633526812151692,-0.17670873366872084,0,7,0.4166666666666667,0.07448548601900455,0.5691737759153457,0.03493531202435312,0.014279212592309968,2025
core_plus_displacement_1m,0.06936087673363134,0.11394094928385368,0.04470765438546909,2.548578109275329,0,5,0.625,0.07544731582743398,0.5927068941979072,0.001973207211231067,0.005342307041646425,2026
core_plus_displacement_2m,0.06559054596684977,0.0656370430319928,0.055990476335326944,1.1722894200594505,0,8,0.5833333333333334,0.07129428131215441,0.3855521204926332,0.014762176560121765,0.007319102630811967,2022
core_plus_displacement_2m,-0.03950166678729772,-0.03952825450119257,0.10575700798534815,-0.37376487151252347,0,9,0.3333333333333333,0.0672675131648102,0.5327986295644197,0.010140791476407915,0.00986876391820754,2023
core_plus_displacement_2m,0.04233465786944279,0.04224618119455359,0.07167894226125582,0.5893806446051403,0,9,0.5,0.06949661706409449,0.449716656076087,0.01646364602307225,0.012519777048992606,2024
core_plus_displacement_2m,-0.0009580252519353349,-0.0009586829420833443,0.06606572106113029,-0.014511049401796124,0,7,0.3333333333333333,0.07325868353645394,0.3873518000572499,0.03463280060882801,0.014111792675172133,2025
core_plus_displacement_2m,0.07490151815328905,0.12324236758777163,0.044765739076464195,2.7530511085109484,0,5,0.625,0.07550705209019488,0.571999643108331,0.001964029503271853,0.005316015236013778,2026
