timestamp,side,bar_time,bar_open,bar_high,bar_low,bar_close,bar_range,prior_range_q95,close_location,delta_ratio,available_time
2022-02-22 00:00:00,long,2022-02-21 20:00:00,2627.14,2750.0,2581.36,2723.95,0.0653299036166981,0.06106167348059661,0.845528937381403,0.02901593712289812,2022-02-22 00:00:00
2022-02-24 12:00:00,short,2022-02-24 08:00:00,2579.4,2593.54,2385.66,2396.54,0.0871373121065031,0.06110802592907184,0.052337887242640484,-0.058784721642376754,2022-02-24 12:00:00
2022-02-25 04:00:00,long,2022-02-25 00:00:00,2454.99,2600.0,2428.36,2596.01,0.07068144756131711,0.0627877958312026,0.9767536704730845,0.038700971213433855,2022-02-25 04:00:00
2022-02-28 04:00:00,short,2022-02-28 00:00:00,2809.34,2811.0,2591.88,2605.92,0.08454095096995218,0.06402487363673737,0.06407447973713021,-0.11224614492946858,2022-02-28 04:00:00
2022-03-01 00:00:00,long,2022-02-28 20:00:00,2639.8,2828.0,2607.0,2815.36,0.08477176831607203,0.06430176873141347,0.942805429864254,0.04962167029101718,2022-03-01 00:00:00
2022-03-08 04:00:00,short,2022-03-08 00:00:00,2617.63,2642.63,2446.48,2459.43,0.08017641672934173,0.06383950738276273,0.06602090237063377,-0.04993380474845173,2022-03-08 04:00:00
2022-05-06 00:00:00,short,2022-05-05 20:00:00,2927.0,2937.31,2720.0,2741.87,0.07989338235294108,0.05497620766017358,0.1006396392250697,-0.038183786114684114,2022-05-06 00:00:00
2022-05-12 04:00:00,short,2022-05-12 00:00:00,2265.06,2284.26,2093.31,2117.29,0.09121916964042609,0.05949981339696317,0.12558261324954167,-0.010029260122932496,2022-05-12 04:00:00
2022-05-12 12:00:00,short,2022-05-12 08:00:00,2083.8,2194.88,1967.0,1968.35,0.11585155058464669,0.05989732383299826,0.005924170616113342,-0.011126332764202707,2022-05-12 12:00:00
2022-05-13 12:00:00,long,2022-05-13 08:00:00,1959.99,2110.99,1940.21,2095.29,0.08802139974538825,0.06104313250120652,0.9080688605223103,0.04894286543945664,2022-05-13 12:00:00
2022-06-13 00:00:00,long,2022-06-12 20:00:00,1468.76,1547.75,1428.26,1526.5,0.08366123814991666,0.06088552810776387,0.8221608502803582,0.022067703592198052,2022-06-13 00:00:00
2022-06-13 16:00:00,short,2022-06-13 12:00:00,1351.05,1386.66,1260.6,1283.46,0.10000000000000009,0.06130905447824603,0.1813422179914334,-0.008882007337764397,2022-06-13 16:00:00
2022-06-14 16:00:00,long,2022-06-14 12:00:00,1173.14,1255.0,1135.3,1240.79,0.10543468686690738,0.06290713016183698,0.8812865497076021,0.04800313092044385,2022-06-14 16:00:00
2022-06-15 00:00:00,long,2022-06-14 20:00:00,1175.12,1262.43,1157.5,1250.36,0.0906522678185746,0.0637771842120661,0.8849709330029528,0.04626711747919418,2022-06-15 00:00:00
2022-06-15 16:00:00,short,2022-06-15 12:00:00,1173.56,1175.93,1080.36,1094.12,0.08846125365618884,0.06405103757596707,0.14397823584806912,-0.02895973095404329,2022-06-15 16:00:00
2022-06-15 20:00:00,long,2022-06-15 16:00:00,1094.31,1134.18,1013.0,1119.68,0.11962487660414611,0.06433397696860182,0.8803432909721076,0.01504370117250832,2022-06-15 20:00:00
2022-06-16 08:00:00,long,2022-06-16 04:00:00,1171.0,1252.31,1153.2,1237.4,0.0859434616718695,0.0658150307978719,0.849561093734236,0.01441338304456676,2022-06-16 08:00:00
2022-06-18 16:00:00,short,2022-06-18 12:00:00,1079.16,1083.4,985.0,1003.2,0.09989847715736055,0.06660199100482667,0.18495934959349622,-0.028916338955382176,2022-06-18 16:00:00
2022-06-19 04:00:00,short,2022-06-19 00:00:00,990.2,1000.0,912.16,914.5,0.09629889493071397,0.06725187317757345,0.026639344262295434,-0.02908841195791706,2022-06-19 04:00:00
2022-06-19 08:00:00,long,2022-06-19 04:00:00,914.69,1016.81,878.73,994.68,0.15713586653465783,0.06770244206664533,0.8397305909617613,0.05150842709210466,2022-06-19 08:00:00
2022-06-19 20:00:00,long,2022-06-19 16:00:00,955.75,1080.0,952.54,1055.22,0.13381065362084543,0.0694154361673839,0.8055860662168526,0.08563617254177118,2022-06-19 20:00:00
2022-06-20 20:00:00,long,2022-06-20 16:00:00,1079.72,1171.64,1076.36,1152.87,0.08852056932624786,0.07137438741712869,0.8030016792611233,0.042383681883925585,2022-06-20 20:00:00
2022-07-01 08:00:00,long,2022-07-01 04:00:00,1020.79,1085.0,1004.23,1071.54,0.08042978202204676,0.07071209221007858,0.8333539680574465,0.04611337628686346,2022-07-01 08:00:00
2022-07-19 08:00:00,long,2022-07-19 04:00:00,1472.59,1598.04,1461.51,1581.17,0.09341708233265589,0.07134880118650491,0.8764374130227797,0.059075973505257624,2022-07-19 08:00:00
2022-07-19 12:00:00,short,2022-07-19 08:00:00,1581.27,1635.5,1511.1,1516.33,0.08232413473628486,0.07188559065126063,0.042041800643086935,-0.01643449682665762,2022-07-19 12:00:00
2022-07-25 12:00:00,short,2022-07-25 08:00:00,1597.89,1609.69,1498.22,1511.88,0.07440162325960142,0.06858330276566679,0.12254418229120013,-0.04915007180967368,2022-07-25 12:00:00
2022-07-26 08:00:00,short,2022-07-26 04:00:00,1494.53,1543.0,1435.0,1441.36,0.07526132404181185,0.06890108565910703,0.058888888888887964,-0.03823041273103543,2022-07-26 08:00:00
2022-07-27 08:00:00,long,2022-07-27 04:00:00,1365.78,1454.42,1354.58,1448.5,0.07370550281268007,0.06890108565910703,0.9407051282051275,0.05306142836862598,2022-07-27 08:00:00
2022-07-28 04:00:00,long,2022-07-28 00:00:00,1488.94,1614.77,1477.66,1588.18,0.09278859818902863,0.07065383006678892,0.8060681204872006,0.041015906873476414,2022-07-28 04:00:00
2022-07-29 00:00:00,long,2022-07-28 20:00:00,1641.25,1758.07,1595.0,1728.23,0.10223824451410657,0.07071209221007858,0.8170110995278106,0.03991499596692312,2022-07-29 00:00:00
2022-08-11 00:00:00,long,2022-08-10 20:00:00,1706.87,1855.0,1703.4,1837.38,0.08899847364095326,0.07129578425751384,0.8837730870712408,0.04619996770156165,2022-08-11 00:00:00
2022-08-27 00:00:00,short,2022-08-26 20:00:00,1629.58,1706.59,1584.04,1593.63,0.07736547056892507,0.0706844747155504,0.07825377396980945,-0.006488658606428237,2022-08-27 00:00:00
2022-09-07 04:00:00,short,2022-09-07 00:00:00,1669.4,1674.82,1562.36,1576.81,0.07198084948411387,0.06858330276566679,0.12849012982393776,-0.02694885751445979,2022-09-07 04:00:00
2022-09-14 00:00:00,short,2022-09-13 20:00:00,1737.38,1762.62,1575.0,1593.85,0.11912380952380941,0.06890108565910703,0.10046903315211556,-0.00854675992190907,2022-09-14 00:00:00
2022-11-10 00:00:00,short,2022-11-09 20:00:00,1219.77,1249.0,1146.0,1163.39,0.0898778359511343,0.06790261296211776,0.16883495145631164,-0.009352660725204588,2022-11-10 00:00:00
2022-11-10 12:00:00,long,2022-11-10 08:00:00,1102.05,1186.0,1084.18,1172.96,0.09391429467431611,0.06790261296211776,0.8719308583775293,0.04806918169307768,2022-11-10 12:00:00
2022-11-11 00:00:00,long,2022-11-10 20:00:00,1187.02,1344.0,1185.61,1319.9,0.13359367751621543,0.06858330276566679,0.8478439295410071,0.03006496663837301,2022-11-11 00:00:00
2023-03-15 00:00:00,long,2023-03-14 20:00:00,1683.82,1780.0,1669.79,1770.29,0.06600231166793424,0.04842939500105455,0.9118954722801921,0.010711972297457045,2023-03-15 00:00:00
2023-03-23 04:00:00,short,2023-03-23 00:00:00,1806.55,1811.98,1710.0,1717.26,0.05963742690058482,0.04731897559184269,0.07119042949597951,-0.052036929055148166,2023-03-23 04:00:00
2023-03-24 00:00:00,long,2023-03-23 20:00:00,1755.03,1858.88,1741.67,1837.72,0.06729747885649973,0.04731897559184269,0.8194693285555833,0.05592115575810317,2023-03-24 00:00:00
2023-04-27 04:00:00,short,2023-04-27 00:00:00,1953.96,1958.95,1817.77,1828.59,0.07766659148297084,0.04588241332638578,0.07663975067289935,-0.0488437234613732,2023-04-27 04:00:00
2023-04-27 08:00:00,long,2023-04-27 04:00:00,1828.58,1883.9,1782.2,1865.75,0.05706430254741335,0.04686871725830134,0.821533923303834,0.008806552842992404,2023-04-27 08:00:00
2023-06-10 16:00:00,short,2023-06-10 12:00:00,1827.37,1830.63,1723.55,1732.73,0.06212758550665787,0.038978725464049506,0.08573029510646293,-0.06338021857605498,2023-06-10 16:00:00
2023-06-21 04:00:00,long,2023-06-21 00:00:00,1732.2,1794.6,1728.0,1781.96,0.038541666666666696,0.03842350548943632,0.8102102102102119,0.011581779872727188,2023-06-21 04:00:00
2023-07-15 04:00:00,short,2023-07-15 00:00:00,1998.54,2000.85,1896.27,1912.86,0.055150374155578996,0.03769648863809271,0.15863453815260978,-0.04755783823139626,2023-07-15 04:00:00
2023-10-25 00:00:00,short,2023-10-24 20:00:00,1845.95,1855.0,1762.0,1778.17,0.05278093076049939,0.0280816941724583,0.17387096774193628,-0.04814322196985622,2023-10-25 00:00:00
2023-10-26 16:00:00,long,2023-10-26 12:00:00,1816.72,1860.0,1790.4,1850.31,0.03887399463806962,0.0280816941724583,0.8607758620689645,0.018733786383637364,2023-10-26 16:00:00
2023-10-26 20:00:00,short,2023-10-26 16:00:00,1850.32,1871.0,1804.13,1813.51,0.03706495651643715,0.028212596851114283,0.14027216988185878,-0.01967654007131242,2023-10-26 20:00:00
2023-10-27 00:00:00,short,2023-10-26 20:00:00,1813.51,1825.76,1766.58,1777.91,0.03349975659183291,0.028606570687488533,0.19144981412639647,-0.05099030497525293,2023-10-27 00:00:00
2023-11-10 00:00:00,long,2023-11-09 20:00:00,1913.83,2060.0,1908.37,2037.88,0.0794552419080159,0.027608385850537303,0.8541185781177876,0.055533983610691055,2023-11-10 00:00:00
2023-11-10 08:00:00,long,2023-11-10 04:00:00,2018.49,2132.0,2011.26,2121.23,0.060032019728926134,0.02782443748306041,0.9108000662580754,0.03026477351601107,2023-11-10 08:00:00
2023-11-14 00:00:00,long,2023-11-13 20:00:00,2047.21,2108.0,2040.0,2105.01,0.03333333333333344,0.0279145024462762,0.9560294117647091,0.009821332094548512,2023-11-14 00:00:00
2023-11-14 08:00:00,short,2023-11-14 04:00:00,2100.21,2103.02,2043.26,2053.83,0.029247379188160005,0.027950366018968373,0.1768741633199454,-0.04699264730576801,2023-11-14 08:00:00
2023-11-17 00:00:00,short,2023-11-16 20:00:00,2069.01,2069.69,1978.02,1995.09,0.04634432412210199,0.0280816941724583,0.186211410494163,-0.06790038687092188,2023-11-17 00:00:00
2023-11-18 00:00:00,short,2023-11-17 20:00:00,1965.93,1971.5,1913.03,1919.06,0.030564078974192777,0.028606570687488533,0.10312981015905541,-0.04529956417352448,2023-11-18 00:00:00
2023-11-21 00:00:00,long,2023-11-20 20:00:00,2024.65,2050.0,1985.0,2042.12,0.032745591939546514,0.028606570687488533,0.8787692307692291,0.014130490407788333,2023-11-21 00:00:00
2023-11-22 08:00:00,short,2023-11-22 04:00:00,1985.77,2006.8,1929.2,1933.42,0.04022392701637978,0.02885737757529213,0.05438144329896949,-0.04450070269369959,2023-11-22 08:00:00
2023-12-08 00:00:00,long,2023-12-07 20:00:00,2236.47,2332.25,2232.22,2322.0,0.04481189130103669,0.02885737757529213,0.8975307407777668,0.05516155947700971,2023-12-08 00:00:00
2023-12-23 12:00:00,short,2023-12-23 08:00:00,2324.99,2331.16,2265.33,2273.2,0.029059783784260995,0.028889711097265812,0.11955035698009873,-0.07759469778438828,2023-12-23 12:00:00
2023-12-27 20:00:00,long,2023-12-27 16:00:00,2229.22,2293.0,2227.41,2286.66,0.02944675654684148,0.028889711097265812,0.9033389236164029,0.060670061499500626,2023-12-27 20:00:00
2023-12-28 00:00:00,long,2023-12-27 20:00:00,2286.67,2356.6,2276.23,2342.79,0.035308382720551146,0.02891384709806019,0.8281697150678118,0.019506296565624918,2023-12-28 00:00:00
2023-12-30 00:00:00,short,2023-12-29 20:00:00,2372.68,2387.72,2317.13,2327.42,0.030464410714979184,0.029062475637751238,0.14577135571610722,-0.02393898071406146,2023-12-30 00:00:00
2024-01-09 04:00:00,long,2024-01-09 00:00:00,2270.2,2360.0,2260.0,2355.62,0.04424778761061954,0.02923225990604289,0.9561999999999989,0.07904318777803074,2024-01-09 04:00:00
2024-01-11 00:00:00,long,2024-01-10 20:00:00,2402.48,2462.0,2341.0,2449.61,0.051687313114053834,0.02925734805609407,0.897603305785125,0.02343621188578708,2024-01-11 00:00:00
2024-01-11 20:00:00,long,2024-01-11 16:00:00,2589.25,2666.95,2586.4,2656.94,0.03114367460562928,0.02952249646005117,0.8757293606455643,0.07197877440842587,2024-01-11 20:00:00
2024-01-12 00:00:00,short,2024-01-11 20:00:00,2656.94,2691.46,2596.7,2614.6,0.03649247121346333,0.029864828340566738,0.1888982693119465,-0.0002526623432172166,2024-01-12 00:00:00
2024-01-19 04:00:00,short,2024-01-19 00:00:00,2525.77,2526.77,2426.0,2439.4,0.041537510305028835,0.03063076010737102,0.1329760841520303,-0.05497149912159391,2024-01-19 04:00:00
2024-01-23 20:00:00,short,2024-01-23 16:00:00,2324.4,2327.67,2202.28,2218.5,0.05693644768149375,0.031162646428274595,0.12935640800701664,-0.0990899605355693,2024-01-23 20:00:00
2024-02-13 00:00:00,long,2024-02-12 20:00:00,2488.34,2564.15,2481.13,2558.82,0.03346056030921396,0.03119950057746748,0.9357986027463271,0.046788046800338705,2024-02-13 00:00:00
2024-02-14 20:00:00,long,2024-02-14 16:00:00,2652.12,2762.72,2647.3,2756.51,0.043599138745136434,0.03224448075311603,0.9461964997400831,0.038012660837546605,2024-02-14 20:00:00
2024-02-21 04:00:00,long,2024-02-21 00:00:00,2925.82,2988.38,2885.61,2986.95,0.0356146534008408,0.032702525075013464,0.9860854334922614,0.07558802719997659,2024-02-21 04:00:00
2024-02-27 00:00:00,long,2024-02-26 20:00:00,3057.87,3150.0,3038.0,3148.43,0.03686635944700467,0.032702525075013464,0.9859821428571414,0.05651809832136356,2024-02-27 00:00:00
2024-03-06 08:00:00,long,2024-03-06 04:00:00,3374.86,3580.0,3322.96,3552.24,0.07735272166983642,0.033500499164323995,0.8920012449424205,0.011672247176041144,2024-03-06 08:00:00
2024-03-06 16:00:00,long,2024-03-06 12:00:00,3539.47,3792.0,3537.31,3788.67,0.07200104033856247,0.033515617581643585,0.9869252817150264,0.01287120185464996,2024-03-06 16:00:00
2024-03-15 00:00:00,short,2024-03-14 20:00:00,3958.02,3971.26,3820.0,3845.55,0.039596858638743404,0.03563270860958662,0.16891445193706298,-0.07063498973043122,2024-03-15 00:00:00
2024-03-16 04:00:00,short,2024-03-16 00:00:00,3690.35,3808.21,3661.1,3689.33,0.04018191253994696,0.03651116562514038,0.19189721976752086,-0.01500009495660358,2024-03-16 04:00:00
2024-03-20 08:00:00,short,2024-03-20 04:00:00,3333.6,3339.23,3150.04,3158.43,0.06005955479930414,0.03862150475949402,0.044346952798773036,-0.0958874456464835,2024-03-20 08:00:00
2024-03-21 08:00:00,long,2024-03-21 04:00:00,3379.21,3536.0,3370.98,3515.21,0.04895312342404878,0.039249301696638865,0.8740152708762576,0.003711765928121107,2024-03-21 08:00:00
2024-03-22 20:00:00,short,2024-03-22 16:00:00,3512.75,3524.16,3389.0,3405.65,0.039881971082915246,0.039598760128712926,0.12318733353063117,-0.12057435307882267,2024-03-22 20:00:00
2024-03-28 00:00:00,short,2024-03-27 20:00:00,3586.58,3671.5,3493.09,3514.81,0.05107512259918856,0.03981809944162956,0.12174205481755404,-0.021664259767076487,2024-03-28 00:00:00
2024-04-08 20:00:00,long,2024-04-08 16:00:00,3474.4,3644.0,3470.13,3634.16,0.05010475111883417,0.03989696815576682,0.9434059929832624,0.05840080427166141,2024-04-08 20:00:00
2024-04-15 08:00:00,long,2024-04-15 04:00:00,3073.25,3174.65,3045.18,3154.03,0.04251637013247178,0.04146846629223263,0.8407353054761733,0.010842082006916418,2024-04-15 08:00:00
2024-04-18 00:00:00,short,2024-04-17 20:00:00,3040.16,3064.89,2925.0,2946.67,0.04782564102564102,0.0425388071995156,0.15490742726427975,-0.044675425106795834,2024-04-18 00:00:00
2024-04-30 20:00:00,short,2024-04-30 16:00:00,3156.85,3161.48,3004.0,3007.41,0.052423435419440834,0.04294493055402425,0.021653543307085688,-0.07409103569792,2024-04-30 20:00:00
2024-05-01 16:00:00,short,2024-05-01 12:00:00,3004.38,3015.0,2856.39,2869.28,0.055528131662693214,0.04343521089029311,0.08126852026984627,-0.08411008264821053,2024-05-01 16:00:00
2024-05-11 00:00:00,short,2024-05-10 20:00:00,3038.2,3044.14,2906.14,2918.19,0.0474856682747562,0.04343521089029311,0.08731884057971147,-0.1130062090119524,2024-05-11 00:00:00
2024-05-21 04:00:00,long,2024-05-21 00:00:00,3118.15,3459.0,3110.51,3439.08,0.11203628986886383,0.04294493055402425,0.9428391058566958,0.054491863206608385,2024-05-21 04:00:00
2024-05-21 08:00:00,long,2024-05-21 04:00:00,3439.08,3697.68,3420.99,3662.68,0.08088009611252889,0.04343521089029311,0.8735046441866349,0.035343938898007535,2024-05-21 08:00:00
