candidate,total_return,cagr,max_drawdown,calmar,max_consecutive_flat_days,max_consecutive_losing_days,positive_month_rate,annual_volatility,max_gross_exposure,hedged_bar_rate,total_cost,year
equal_pa_core_ema_1m,0.03726537841745481,0.03729144501709847,0.09799908025674842,0.38052852046568575,0,7,0.5,0.0791213669459953,0.23864074850737504,0.46027587519025875,0.0017824587912956468,2022
equal_pa_core_ema_1m,-0.014376485862522603,-0.014386288771879974,0.08965684904675941,-0.16045945094921843,0,9,0.25,0.0795977698706434,0.49999999999999994,0.40273972602739727,0.0037631435989219854,2023
equal_pa_core_ema_1m,0.058898919356725754,0.058774860274803276,0.08722856252183264,0.6738029216071556,0,9,0.4166666666666667,0.08439804160225998,0.2791765003758008,0.5300527474195507,0.0023466773076894977,2024
equal_pa_core_ema_1m,0.04119035737492793,0.04121922358964025,0.0748379296321976,0.5507798490981566,0,7,0.5,0.08101297170654646,0.19104609619169144,0.4219197108066971,0.001630817819126514,2025
equal_pa_core_ema_1m,0.07818327133305258,0.128765445439458,0.04603175340236976,2.797317849570098,0,6,0.625,0.08248339846315628,0.2807373968267393,0.6167358563872258,0.0016522751664913087,2026
equal_pa_core_ema_2m,0.03610301440947716,0.036128253873770166,0.09914048639920847,0.3644147329305277,0,7,0.4166666666666667,0.07912402545750563,0.23864074850737504,0.4602777777777778,0.0017824587912956468,2022
equal_pa_core_ema_2m,-0.017487871073939676,-0.01749977664717728,0.0919930590622996,-0.19022931540222038,0,9,0.25,0.07956330656266974,0.49999999999999994,0.40273972602739727,0.0037631435989219854,2023
equal_pa_core_ema_2m,0.05926894500840585,0.0591440849828615,0.0869804502238597,0.6799698648448433,0,9,0.4166666666666667,0.08439757135073979,0.2791765003758008,0.5300508500303582,0.0023466773076894977,2024
equal_pa_core_ema_2m,0.041720524600010966,0.041749769753681276,0.07480661901601171,0.5581026158226066,0,7,0.5,0.0810139227736503,0.19104609619169144,0.42192161339421613,0.001630817819126514,2025
equal_pa_core_ema_2m,0.07865736066571238,0.12956416895379275,0.046053636398204034,2.81333199909585,0,6,0.625,0.08248347433926219,0.2807373968267393,0.6167327971512394,0.0016522751664913087,2026
equal_pa_core_ema_1m_double_cost,0.035418046541291215,0.035442799003784886,0.09897830121043272,0.35808655604657996,0,7,0.4166666666666667,0.07912253917445894,0.23864074850737504,0.46027587519025875,0.0035649175825912937,2022
equal_pa_core_ema_1m_double_cost,-0.01807866112999479,-0.018090965192848252,0.09239478246501576,-0.19580072283516867,0,9,0.25,0.07959906801745065,0.49999999999999994,0.40273972602739727,0.007526287197843971,2023
equal_pa_core_ema_1m_double_cost,0.056416778453216576,0.05629808528671165,0.08890612563836486,0.6332306675437653,0,9,0.4166666666666667,0.08439983686389735,0.2791765003758008,0.5300527474195507,0.004693354615378995,2024
equal_pa_core_ema_1m_double_cost,0.039493698801941424,0.03952135357126463,0.07507424300789012,0.5264302640668789,0,7,0.5,0.08101357416364294,0.19104609619169144,0.4219197108066971,0.003261635638253028,2025
equal_pa_core_ema_1m_double_cost,0.0764031559874061,0.12576829990292127,0.0464235161418588,2.7091506709359194,0,6,0.625,0.08248577610436343,0.2807373968267393,0.6167358563872258,0.0033045503329826175,2026
