test_month,train_start,train_label_exit_max,train_rows,test_rows,auc,brier,return_correlation
2023-01-01,2022-01-04 12:00:00,2022-12-31 12:01:00,721,62,0.5567226890756303,0.25191752771058584,0.06011563676296997
2023-02-01,2022-01-04 12:00:00,2023-01-31 12:01:00,783,56,0.43974358974358974,0.2597969911077434,-0.07562195363908501
2023-03-01,2022-01-04 12:00:00,2023-02-28 12:01:00,839,62,0.47187500000000004,0.2548077993902701,-0.11969421146229793
2023-04-01,2022-01-04 12:00:00,2023-03-31 12:01:00,901,60,0.4899553571428571,0.2507364901944148,0.06915989646376647
2023-05-01,2022-01-04 12:00:00,2023-04-30 12:01:00,961,62,0.4322916666666667,0.2665488592356252,-0.3072438004881813
2023-06-01,2022-01-04 12:00:00,2023-05-31 12:01:00,1023,60,0.5506117908787542,0.2488138093654027,0.03627232680588679
2023-07-01,2022-01-04 12:00:00,2023-06-30 12:01:00,1083,62,0.5598739495798319,0.24738193006198358,0.3243652108639175
2023-08-01,2022-01-04 12:00:00,2023-07-31 12:01:00,1145,62,0.5352564102564102,0.24948071253162224,-0.010529896516577868
2023-09-01,2022-01-04 12:00:00,2023-08-31 12:01:00,1207,60,0.3973214285714286,0.26567320049840365,-0.12956102971414044
2023-10-01,2022-01-04 12:00:00,2023-09-30 12:01:00,1267,62,0.4708333333333334,0.25332004547458675,-0.13498035808520037
2023-11-01,2022-01-04 12:00:00,2023-10-31 12:01:00,1329,60,0.6028921023359287,0.24530620181471496,-0.15154212142221132
2023-12-01,2022-01-04 12:00:00,2023-11-30 12:01:00,1389,62,0.5653082549634274,0.24404388454960402,0.08922525106385078
2024-01-01,2022-01-04 12:00:00,2023-12-31 12:01:00,1451,62,0.6185997910135841,0.24311979977718695,0.23562101484058307
2024-02-01,2022-02-01 00:00:00,2024-01-31 12:01:00,1458,58,0.5699404761904762,0.2637514384080572,-0.07130716891676096
2024-03-01,2022-03-02 00:00:00,2024-02-29 12:01:00,1458,62,0.48125,0.25743873889372565,-0.1473195806072252
2024-04-01,2022-04-02 00:00:00,2024-03-31 12:01:00,1458,60,0.4570135746606335,0.2585121476927156,-0.06389711675811269
2024-05-01,2022-05-02 00:00:00,2024-04-30 12:01:00,1458,62,0.6228991596638656,0.24347974688608875,0.13062373529518057
2024-06-01,2022-06-02 00:00:00,2024-05-31 12:01:00,1458,60,0.5339366515837104,0.25987959171253755,0.00491605863026679
2024-07-01,2022-07-02 00:00:00,2024-06-30 12:01:00,1458,62,0.4984326018808777,0.2547677389406787,-0.02535008795634626
2024-08-01,2022-08-02 00:00:00,2024-07-31 12:01:00,1458,62,0.5590386624869383,0.2520712505541324,0.09382610072683056
2024-09-01,2022-09-02 00:00:00,2024-08-31 12:01:00,1458,60,0.6840934371523916,0.2354892208868439,0.26069332797074246
2024-10-01,2022-10-02 00:00:00,2024-09-30 12:01:00,1458,62,0.5005291005291006,0.2554889074543938,0.03404814757819906
2024-11-01,2022-11-02 00:00:00,2024-10-31 12:01:00,1458,60,0.49547511312217196,0.2522488089841138,0.11424087389055979
2024-12-01,2022-12-02 00:00:00,2024-11-30 12:01:00,1458,62,0.5468749999999999,0.252348237457954,0.059633908044735624
2025-01-01,2023-01-02 00:00:00,2024-12-31 12:01:00,1459,62,0.5966386554621849,0.24260638283117048,0.17335194494145031
2025-02-01,2023-02-02 00:00:00,2025-01-31 12:01:00,1459,56,0.5546875,0.25651371068855644,0.23228667087609206
2025-03-01,2023-03-02 00:00:00,2025-02-28 12:01:00,1459,62,0.5660770031217481,0.23971589429983678,0.156871739424263
2025-04-01,2023-04-02 00:00:00,2025-03-31 12:01:00,1459,60,0.5279017857142857,0.24993359198651607,0.2186606797641109
2025-05-01,2023-05-02 00:00:00,2025-04-30 12:01:00,1459,62,0.5590386624869383,0.24512393543869285,0.2504731273605412
2025-06-01,2023-06-02 00:00:00,2025-05-31 12:01:00,1459,60,0.35241301907968575,0.2677876242084782,-0.12288261089662077
2025-07-01,2023-07-02 00:00:00,2025-06-30 12:01:00,1459,62,0.4568181818181818,0.25492656286497456,-0.09432172313586362
2025-08-01,2023-08-02 00:00:00,2025-07-31 12:01:00,1459,62,0.3958333333333333,0.25538232426042706,-0.10738002076091292
2025-09-01,2023-09-02 00:00:00,2025-08-31 12:01:00,1459,60,0.47333333333333333,0.26024468505214393,-0.18171042680785307
2025-10-01,2023-10-02 00:00:00,2025-09-30 12:01:00,1459,62,0.332972972972973,0.25485003191183664,0.05911760530220609
2025-11-01,2023-11-02 00:00:00,2025-10-31 12:01:00,1459,60,0.45022624434389136,0.27122563182427695,0.005635700099977316
2025-12-01,2023-12-02 00:00:00,2025-11-30 12:01:00,1459,62,0.7216386554621849,0.22825623099132528,0.08926962511475356
2026-01-01,2024-01-02 00:00:00,2025-12-31 12:01:00,1459,62,0.45141065830721,0.2604448344877535,0.20907866741070116
2026-02-01,2024-02-02 00:00:00,2026-01-31 12:01:00,1459,56,0.5,0.2664378099344683,-0.1471513244606493
2026-03-01,2024-03-01 00:00:00,2026-02-28 12:01:00,1459,62,0.5777310924369748,0.24759454478946688,0.10964536081935339
2026-04-01,2024-04-01 00:00:00,2026-03-31 12:01:00,1459,60,0.5695216907675195,0.25627453174734777,0.04013773754847438
2026-05-01,2024-05-01 00:00:00,2026-04-30 12:01:00,1459,62,0.603125,0.2427911011967521,0.07866828482389925
2026-06-01,2024-06-01 00:00:00,2026-05-31 12:01:00,1459,60,0.42760942760942766,0.26297946762774715,-0.15127110309670547
2026-07-01,2024-07-01 00:00:00,2026-06-30 12:01:00,1459,62,0.5440356744704571,0.2513805016722087,0.11459118833069952
2026-08-01,2024-08-01 00:00:00,2026-07-31 12:01:00,1459,29,0.6363636363636364,0.24596831459701737,0.04239334365522341
