timestamp,long_event,short_event,sweep_low,sweep_high,close_location,delta_ratio
2022-01-02 04:45:00,False,True,3750.69,3776.0,0.3650730936388701,0.07616138325031768
2022-01-04 04:15:00,True,False,3722.02,3741.88,0.7824773413897212,-0.03326913248549506
2022-01-04 23:00:00,False,True,3867.62,3895.0,0.256756756756763,0.05677218088832381
2022-01-06 03:30:00,True,False,3700.0,3730.97,0.7704229899903223,-0.025160241647178998
2022-01-06 06:45:00,True,False,3406.46,3537.54,0.9835978028684765,-0.060270101011910715
2022-01-07 12:45:00,True,False,3140.0,3195.0,0.8163636363636381,-0.000916490931923117
2022-01-08 00:00:00,True,False,3045.58,3146.72,0.849120031639314,-0.08983037794774422
2022-01-09 03:15:00,True,False,2998.01,3059.16,0.6784955028618157,-0.0010634528332185735
2022-01-12 20:45:00,False,True,3290.63,3326.05,0.26453980801806526,0.040452645795490155
2022-01-14 20:15:00,True,False,3185.54,3210.0,0.654946852003269,-0.07037604616571826
2022-01-16 00:00:00,False,True,3357.27,3370.69,0.3569299552906064,0.04868628544037403
2022-01-17 23:15:00,True,False,3185.0,3258.26,0.6684411684411637,-0.18370531847929697
2022-01-18 02:30:00,True,False,3181.0,3199.15,0.6325068870523395,-0.019238969927307458
2022-01-18 06:30:00,True,False,3139.12,3163.26,0.9946147473073692,-0.11570220120753365
2022-01-18 17:30:00,True,False,3126.0,3166.0,0.8912500000000023,-0.0029061218359072937
2022-01-18 22:30:00,True,False,3105.89,3130.26,0.7193270414443969,-0.015176901605641165
2022-01-18 22:45:00,True,False,3100.15,3139.76,0.704620045443064,-0.012091824252022581
2022-01-19 02:15:00,True,False,3072.82,3105.85,0.8846503178928254,-0.10141156701379009
2022-01-19 16:00:00,True,False,3044.0,3064.08,0.9143426294820813,-0.061461639830059575
2022-01-21 07:00:00,True,False,3017.68,3068.66,0.8497449980384494,-0.07590884095888842
2022-01-21 10:15:00,True,False,2880.5,2926.72,0.6964517524881045,-0.03258518088920011
2022-01-21 11:45:00,True,False,2809.51,2862.12,0.7527086105303203,-0.0271037585152732
2022-01-22 07:15:00,True,False,2459.64,2558.58,0.8967050737820922,-0.011030378455092122
2022-01-22 15:45:00,True,False,2420.0,2488.49,0.9142940575266475,-0.04827390181258894
2022-01-24 20:30:00,True,False,2200.17,2236.67,0.6016438356164393,-0.08428613367469737
2022-01-24 21:15:00,True,False,2166.0,2231.0,0.6761538461538433,-0.0027468740678372127
2022-01-24 22:15:00,True,False,2155.03,2195.84,0.6025483950012184,-0.04099594526821242
2022-01-26 02:45:00,False,True,2483.51,2507.9,0.1455514555145447,0.02184894660089485
2022-01-26 17:30:00,False,True,2486.11,2523.34,0.07198495836690398,0.06115970693522315
2022-01-27 03:15:00,False,True,2602.63,2724.03,0.21836902800658767,0.009903752864862388
2022-01-29 01:15:00,False,True,2471.63,2494.6,0.15759686547670537,0.08704754614412742
2022-01-29 05:00:00,False,True,2504.99,2518.0,0.39046887009994596,0.03816849249187364
2022-01-29 08:30:00,False,True,2567.61,2586.0,0.17672648178357925,0.0731523832753402
2022-01-31 04:15:00,True,False,2535.76,2569.25,0.8730964467005068,-0.055813637378447516
2022-01-31 12:45:00,True,False,2471.28,2497.91,0.9849793466015906,-0.004134287980569367
2022-02-01 12:15:00,False,True,2750.65,2768.87,0.15751920965971034,0.08068876703192451
2022-02-01 21:30:00,False,True,2778.34,2798.69,0.14398034398033657,0.06373962419422045
2022-02-02 23:45:00,True,False,2651.42,2681.52,0.9674418604651156,-0.030785240961291052
2022-02-03 00:30:00,True,False,2637.9,2666.06,0.7038352272727205,-0.06775401273309119
2022-02-04 14:30:00,False,True,2787.22,2811.72,0.37510204081632875,0.0218157753741326
2022-02-05 01:00:00,False,True,2925.0,2970.87,0.11205580989753401,0.04671912944994747
2022-02-05 04:15:00,False,True,2958.32,2982.0,0.37880067567566983,0.13092354306794796
2022-02-05 23:00:00,False,True,3015.22,3049.0,0.17702782711663656,0.0876882934916074
2022-02-06 23:15:00,True,False,2951.48,2981.81,0.6689746125947911,-0.05723096812169272
2022-02-07 13:30:00,False,True,3088.0,3112.0,0.26666666666667044,0.11888122977817131
2022-02-08 21:00:00,True,False,3050.01,3067.83,0.9276094276094284,-0.06863444794353256
2022-02-10 04:15:00,False,True,3244.66,3265.0,0.0,0.005547970196781051
2022-02-10 04:45:00,False,True,3253.2,3272.6,0.28195876288660976,0.05299841894393347
2022-02-10 19:45:00,False,True,3251.26,3288.0,0.3954817637452322,0.13080470237998298
2022-02-11 08:00:00,True,False,3055.26,3077.83,0.7292866637128841,-0.01228170356534887
2022-02-13 04:45:00,False,True,2973.22,2984.52,0.04247787610619562,0.04038733541378681
2022-02-14 09:45:00,True,False,2822.0,2855.76,0.6039691943127885,-0.11902878446759421
2022-02-14 22:30:00,False,True,2947.56,2967.51,0.2486215538847102,0.08783752351952098
