side,available_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,notional,stop_fraction,gross_underlying_return,net_account_contribution,exit_reason
short,2022-01-02 04:45:00,2022-01-02 04:46:00,2022-01-02 06:13:00,3763.71,3740.3,3776.0,3739.13,0.3,0.003265395049034055,0.00621992661496229,0.001565977984488687,target
long,2022-01-04 04:15:00,2022-01-04 04:16:00,2022-01-04 04:21:00,3740.57,3724.89,3722.02,3777.6700000000005,0.3,0.004959137243789096,-0.004191874500410475,-0.0015575623501231425,stop
short,2022-01-04 23:00:00,2022-01-04 23:01:00,2022-01-04 23:56:00,3880.52,3852.43,3895.0,3851.56,0.3,0.003731458670487465,0.007238720583839342,0.0018716161751518028,target
long,2022-01-06 03:30:00,2022-01-06 03:31:00,2022-01-06 03:40:00,3726.28,3705.23,3700.0,3778.8400000000006,0.3,0.007052610109814668,-0.005649065555996868,-0.0019947196667990607,stop
long,2022-01-06 06:45:00,2022-01-06 06:46:00,2022-01-06 16:33:00,3540.01,3412.9,3406.46,3807.1100000000006,0.13253500561587406,0.037725882130276514,-0.0359066782297226,-0.004891426806439541,stop
long,2022-01-07 12:45:00,2022-01-07 12:46:00,2022-01-07 15:05:00,3195.74,3133.67,3140.0,3307.2199999999993,0.28666487262289314,0.017441969622059298,-0.019422731511324343,-0.0058544797273053385,stop
long,2022-01-08 00:00:00,2022-01-08 00:01:00,2022-01-08 12:01:00,3146.53,3208.45,3045.58,3348.4300000000007,0.15584596334819176,0.03208296123030776,0.01967882079624217,0.0029110188211985987,time
long,2022-01-09 03:15:00,2022-01-09 03:16:00,2022-01-09 03:25:00,3035.65,3000.23,2998.01,3110.93,0.3,0.012399321397394256,-0.011668011793190991,-0.003800403537957297,stop
short,2022-01-12 20:45:00,2022-01-12 20:46:00,2022-01-12 21:31:00,3302.18,3336.85,3326.05,3254.439999999999,0.3,0.007228558104040466,-0.010499124820573025,-0.003449737446171907,stop
long,2022-01-14 20:15:00,2022-01-14 20:16:00,2022-01-14 22:47:00,3208.73,3255.8,3185.54,3255.11,0.3,0.007227158408466918,0.014669355165439324,0.004100806549631797,target
short,2022-01-16 00:00:00,2022-01-16 00:01:00,2022-01-16 00:02:00,3368.0,3360.85,3370.69,3362.62,0.3,0.0007986935866983535,0.0021229216152018893,0.0003368764845605668,target
long,2022-01-17 23:15:00,2022-01-17 23:16:00,2022-01-18 02:11:00,3232.0,3185.17,3185.0,3326.0,0.3,0.014542079207920793,-0.014489480198019766,-0.00464684405940593,stop
long,2022-01-18 02:30:00,2022-01-18 02:31:00,2022-01-18 05:29:00,3196.32,3169.45,3181.0,3226.9600000000005,0.3,0.004793011963758373,-0.008406542523902605,-0.0028219627571707813,stop
long,2022-01-18 06:30:00,2022-01-18 06:31:00,2022-01-18 07:13:00,3165.16,3215.7,3139.12,3217.24,0.3,0.008227072249112198,0.015967597214674667,0.0044902791644024,target
long,2022-01-18 17:30:00,2022-01-18 17:31:00,2022-01-18 21:26:00,3172.29,3124.51,3126.0,3264.87,0.3,0.014591982448010733,-0.015061674689262228,-0.004818502406778668,stop
long,2022-01-18 22:30:00,2022-01-18 22:31:00,2022-01-18 22:32:00,3114.25,3105.35,3105.89,3130.9700000000003,0.3,0.0026844344545236018,-0.002857830938428174,-0.0011573492815284523,stop
