candidate,total_return,cagr,max_drawdown,calmar,max_consecutive_flat_days,max_consecutive_losing_days,positive_month_rate,annual_volatility,max_gross_exposure,hedged_bar_rate,total_cost
daily_pa_core_only,0.18840907677582908,0.0380569313575676,0.12084501071044562,0.31492348036407625,0,9,0.4642857142857143,0.06003047192865409,0.30000000000000004,0.0,0.008926783175560804
nonlinear_model_only_1m,-0.12788974904182826,-0.0291753221100286,0.21209319429929563,-0.13755897357487953,365,6,0.32142857142857145,0.0759287203132251,0.2,0.0,0.15640000000000012
core_plus_nonlinear_1m,0.037222109469614795,0.007939211511891475,0.21488298510180814,0.036946673596003905,0,9,0.5357142857142857,0.09505870719678185,0.5,0.171208601241032,0.16532678317556074
core_plus_nonlinear_2m,0.02793796047517727,0.0059801350593251534,0.21620144010702158,0.027660014921107534,0,9,0.5535714285714286,0.09506713130919137,0.5,0.17121189244828383,0.16532678317556074
