timestamp,equity,drawdown,gross_exposure,trading_cost,net_return
2022-01-01,1.000099455132359,-0.0001758290831080922,0.006455872212667085,3.227936106333543e-06,9.945513235898318e-05
2022-01-02,1.0000090099902745,-0.0002662493295485513,0.006468583870201263,6.3558287670887995e-09,-9.043614774406628e-05
2022-01-03,0.9999933922648735,-0.00028186275606389977,0.006533383287825579,3.239970881215807e-08,-1.5617584685601038e-05
2022-01-04,0.9998778618594556,-0.0003973613609474791,0.006533383287825579,9.75337124528618e-09,-0.00011553116881490855
2022-01-05,0.9999309465565624,-0.0003442912757666283,0.007283429538187294,3.84776496426144e-07,5.309118156415771e-05
2022-01-06,1.0007739524613277,-0.00019538340556013445,0.007283429538187294,1.074572850554489e-08,0.0008430641212493484
2022-01-07,1.001347472482092,-0.00013784150953166652,0.007278446573630573,8.254246227184116e-09,0.0005730764868066007
2022-01-08,1.001274854070044,-0.00021035220558063283,0.007278446573630573,3.2868617302052144e-07,-7.252069241392434e-05
2022-01-09,1.001397219420664,-0.00020582411201497397,0.00662107422758953,1.5819307193723313e-07,0.00012220955128050548
2022-01-10,1.001583414219846,-0.00015996795748418613,0.006363422134165719,2.9367025225327664e-08,0.00018593500717845046
2022-01-11,1.001309006623618,-0.0004338979127030962,0.006434754657625264,3.5666261729772575e-08,-0.0002739737822458066
2022-01-12,1.0008537223977527,-0.0008883896589869655,0.006434754657625264,2.0500568689409484e-09,-0.00045468903491163726
2022-01-13,1.0009620048426728,-0.0007802956933107286,0.006430654543887382,8.006723697006994e-08,0.00010819008062323832
2022-01-14,1.001001206786575,-0.0007411619853331386,0.006270520069947242,9.832594027859091e-08,3.916426768379999e-05
2022-01-15,1.0008466415552335,-0.0008954581764072378,0.0060738681893900606,4.759066064824631e-09,-0.0001544106343654983
2022-01-16,1.000862001618994,-0.0008801248487738667,0.006113619905910965,2.463492432527685e-08,1.5347070294380316e-05
2022-01-17,1.0011009650525087,-0.0006415773612353792,0.0069264933718028755,4.0643673294595526e-07,0.00023875762405523027
2022-01-18,1.001370285098787,-0.0003727261004442539,0.007211251414636428,1.423790214167761e-07,0.000269023860410611
2022-01-19,1.0013508799073711,-0.00039209751467839116,0.007244866988529872,1.6807786946721957e-08,-1.937863715739674e-05
2022-01-20,1.0010381521393699,-0.0007042809405816142,0.007244866988529872,4.276184394077978e-08,-0.00031230588026454065
2022-01-21,1.0020438393692779,-0.0002506627756047042,0.007210363138965126,2.550991915840689e-08,0.001004644256323406
2022-01-22,1.00324431201578,-0.00023705931997997087,0.0072351871553485115,1.2412008191692824e-08,0.001198024077728066
2022-01-23,1.0031112060226703,-0.0003697034202251315,0.0072351871553485115,6.010453853306117e-07,-0.00013267555221996297
2022-01-24,1.0034333738524255,-0.00025987273683192313,0.006033096384687288,4.981500091738541e-07,0.00032116860804465297
2022-01-25,1.0031052715321693,-0.0005867674405120038,0.005085156627280899,2.41801304706594e-08,-0.00032697967677852713
2022-01-26,1.0027239082550325,-0.0009667270682792717,0.005085156627280899,3.4200860479025995e-08,-0.00038018270660067355
2022-01-27,1.0029513399734757,-0.0007401324372205975,0.005016754906322847,9.146749561567309e-08,0.00022681389819290132
2022-01-28,1.0030125221772603,-0.0006791754212475132,0.0048338199150915005,9.742142055801972e-08,6.100216565019245e-05
2022-01-29,1.0028194392825354,-0.0008715476532010769,0.004638977073975461,1.1251358923354028e-09,-0.0001925029752402052
2022-01-30,1.0026832452236452,-0.0010072404349197317,0.004640391426990215,1.8323123997122243e-09,-0.00013581114760363722
2022-01-31,1.0026738835382563,-0.0010165676635986998,0.004640391426990215,3.4108110858115796e-08,-9.336632918799381e-06
2022-02-01,1.0024197852435335,-0.0012697307216782416,0.004572175205273983,6.8524428324247095e-09,-0.0002534206773485703
2022-02-02,1.0018592642647177,-0.0018281886415534299,0.01366487089437561,9.111670606992373e-06,-0.0005591679125483973
2022-02-03,1.0017476357007506,-0.0019394063443473053,0.01366487089437561,1.2454408637997596e-07,-0.00011142140213349361
2022-02-04,1.0028992621410537,-0.0007920185914683797,0.013415782721615659,1.8413856035979193e-08,0.0011496173280187705
2022-02-05,1.00371640321646,-3.481355730106106e-05,0.013435044947789226,2.804496912276258e-08,0.0008147788180203897
2022-02-06,1.003470362945557,-0.00027993429516848245,0.013435044947789226,2.8199842769852364e-07,-0.0002451292716865172
2022-02-07,1.004047364603593,-2.075816144608833e-05,0.013358083069736182,2.435174886720017e-07,0.0005750061779075111
2022-02-08,1.003857279530231,-0.0006386322659883703,0.013751107111287155,1.9651202077548661e-07,-0.00018931883102368818
2022-02-09,1.004315907218552,-0.0001820586043463912,0.013751107111287155,6.16962361266564e-08,0.0004568654306447151
2022-02-10,1.0044601365754176,-0.00027937833417324143,0.013641707823866523,6.996592416340375e-09,0.00014360955136116793
2022-02-11,1.0040090747972965,-0.0007283117908759573,0.013641707823866523,2.3222702271522013e-09,-0.0004490589140340173
2022-02-12,1.0030077449853319,-0.001724916858273362,0.01374442355846846,5.3680137528120366e-08,-0.000997331435641513
2022-02-13,1.0031946991674574,-0.001538844813826934,0.014030784459078488,1.4318045030501432e-07,0.0001863935578358955
2022-02-14,1.0032887373562356,-0.001445250341410964,0.014030784459078488,1.6958611990585542e-07,9.373872176143827e-05
2022-02-15,1.0041387240951414,-0.0005992742393391426,0.013691612219266777,9.566147750170521e-09,0.0008472005189115173
2022-02-16,1.0038926602878253,-0.0008441770019894657,0.013724387364051583,2.5953720142573613e-08,-0.00024504961457583185
2022-02-17,1.0035596661724397,-0.0011755998946682,0.013724387364051583,1.4210754078634348e-07,-0.00033170290864581453
2022-02-18,1.002695460777535,-0.0020357275624389715,0.013493525352905319,2.6676535213211208e-08,-0.0008611400238929257
