timestamp,equity,drawdown,max_gross_exposure,end_net_exposure,trading_cost,net_return
2022-01-01,1.0003976306682816,-0.0007033169475895162,0.02582348885066834,-0.02582348885066834,1.2911744425334172e-05,0.0003976306682815789
2022-01-02,1.0000356756196644,-0.001064873661049126,0.02587433548080505,-0.02587433548080505,2.5423315068355198e-08,-0.0003618111813989966
2022-01-03,0.9999730397055077,-0.0011274406437548068,0.026133533151302315,-0.026133533151302315,1.2959883524863229e-07,-6.263367966252709e-05
2022-01-04,0.9995107993196712,-0.0015891723294152449,0.026133533151302315,-0.026055506181340025,3.901348498114472e-08,-0.0004622528483102517
2022-01-05,0.9997228120368123,-0.0013773929343935398,0.029133718152749177,-0.029133718152749177,1.539105985704576e-06,0.00021211648466934463
2022-01-06,1.0030972806194731,-0.0007814739147289362,0.029133718152749177,-0.029047752324704818,4.298291402217956e-08,0.003375404204072785
2022-01-07,1.005397275769737,-0.0005513201157076875,0.02911378629452229,-0.02911378629452229,3.3016984908736464e-08,0.0022928934159258674
2022-01-08,1.0051052499237443,-0.0008416181434659498,0.02911378629452229,-0.02648429691035812,1.3147446920820858e-06,-0.0002904581631866243
2022-01-09,1.005596175180987,-0.0008233470813714394,0.02648429691035812,-0.025218752334860255,6.327722877489325e-07,0.0004884316913866815
2022-01-10,1.0063438765828678,-0.0006398427729245038,0.025453688536662876,-0.025453688536662876,1.1746810090131066e-07,0.0007435404194400252
2022-01-11,1.0052409212697584,-0.0017351439127955004,0.025739018630501057,-0.025739018630501057,1.426650469190903e-07,-0.0010960024090885812
2022-01-12,1.003413590757887,-0.003549793308636806,0.025739018630501057,-0.02572261817554953,8.200227475763794e-09,-0.0018178035466007714
2022-01-13,1.0038477171790592,-0.003118679592327145,0.02572261817554953,-0.02508208027978897,3.2026894788027977e-07,0.00043264953272625917
2022-01-14,1.0040047337971303,-0.0029627526216622346,0.02508208027978897,-0.024295472757560242,3.9330376111436363e-07,0.00015641477824535066
