candidate,total_return,cagr,max_drawdown,calmar,max_consecutive_flat_days,max_consecutive_losing_days,positive_month_rate,annual_volatility,max_gross_exposure,hedged_bar_rate,total_cost
2022,0.05284954321153035,0.05288678553376869,0.13472124160611565,0.3925645644537164,0,6,0.5833333333333334,0.10651018316891349,0.35617055449361346,0.12694063926940638,0.058597607745738446
2023,-0.057312605270506856,-0.05735081859629232,0.12918654028272003,-0.4439380331014527,0,7,0.5,0.08943784542633482,0.5,0.23698439878234398,0.0937904859720607
2024,0.09427079419326234,0.09406898945452413,0.14051237608961142,0.6694712029816638,0,8,0.5,0.12935762076067467,0.387936732053617,0.26548459319975715,0.06906152513179906
2025,-0.05844603194244813,-0.0584849773005095,0.1813015145284289,-0.3225840526077833,0,6,0.3333333333333333,0.1279335161079273,0.32885688228690724,0.2579908675799087,0.07354510213309501
2026,0.062185203008554346,0.10193826290044439,0.061996677605798634,1.6442536412775441,0,5,0.5,0.08847107737853582,0.39031951010447863,0.27312858886621655,0.041532062192867564
