candidate,total_return,cagr,max_drawdown,calmar,max_consecutive_flat_days,max_consecutive_losing_days,positive_month_rate,annual_volatility,max_gross_exposure,total_cost,model,year
daily_turtle_20_10:2022,0.0064019053058572695,0.006406487605960187,0.013802832392422526,0.46414296890812196,22,6,0.5,0.013847681792067726,0.04004306117445138,0.00034409136912656187,daily_turtle_20_10,2022
daily_turtle_20_10:2023,-0.011232886522732022,-0.011240855867662769,0.031583948656683014,-0.35590406981250766,23,9,0.3333333333333333,0.02030632079281446,0.07825220442684909,0.0006506271490820758,daily_turtle_20_10,2023
daily_turtle_20_10:2024,0.02059988835983484,0.020557835595957474,0.010689045957234078,1.923261971012899,25,9,0.5833333333333334,0.014693563484989932,0.0463886167055556,0.0003346058869636224,daily_turtle_20_10,2024
daily_turtle_20_10:2025,0.005881821895949546,0.005886030847644275,0.014987850358593735,0.39272015044301145,22,7,0.5,0.014325922342100684,0.03553256466188847,0.0003679348891333916,daily_turtle_20_10,2025
daily_turtle_20_10:2026,0.00580538556776089,0.009358408194623413,0.010016535083413047,0.9342959533102955,28,4,0.625,0.013443680509193975,0.04621333503715645,0.00022764420931674527,daily_turtle_20_10,2026
daily_turtle_55_20:2022,-0.008074841644189479,-0.008080579628109485,0.015567287413095099,-0.5190743521130184,23,6,0.25,0.012398635785977842,0.03559090812578295,0.0002502453794274084,daily_turtle_55_20,2022
daily_turtle_55_20:2023,-0.005263824888408708,-0.005267570669327926,0.022857060574182575,-0.23045704640069656,50,7,0.3333333333333333,0.01954904804238331,0.08229719888452726,0.00044278022133319606,daily_turtle_55_20,2023
daily_turtle_55_20:2024,0.01582261129768381,0.015790386207640728,0.011557084618512126,1.3662949375959144,54,9,0.3333333333333333,0.013105637727386965,0.0463886167055556,0.00020027491165852936,daily_turtle_55_20,2024
daily_turtle_55_20:2025,0.010160020555733063,0.010167306363316087,0.009728021084498883,1.0451566947688038,59,7,0.4166666666666667,0.012425145565905038,0.03553256466188847,0.0001978527375318898,daily_turtle_55_20,2025
daily_turtle_55_20:2026,0.0010752222543870538,0.0017307911296065015,0.010163166843751736,0.17030037548488966,31,4,0.375,0.011386574073889804,0.04286132732333824,0.00014770044086807164,daily_turtle_55_20,2026
four_hour_turtle_20_10:2022,-0.016639279296961296,-0.01665105187427629,0.03611590491392791,-0.4610448475251938,11,7,0.5833333333333334,0.03402480907392741,0.12668321191257734,0.005113767812263604,four_hour_turtle_20_10,2022
four_hour_turtle_20_10:2023,-0.007439420897397797,-0.007444709047589759,0.05257913857987584,-0.14159054805129787,5,5,0.5,0.0452042252270407,0.25,0.009117965327664396,four_hour_turtle_20_10,2023
four_hour_turtle_20_10:2024,0.06665136255832449,0.06651229205710663,0.022396788539396972,2.9697245183213865,7,7,0.8333333333333334,0.036996478656281515,0.13331422018348654,0.0058143575054173694,four_hour_turtle_20_10,2024
four_hour_turtle_20_10:2025,-0.029984367468937734,-0.030005436815985664,0.05924505677125769,-0.5064631287608553,10,7,0.3333333333333333,0.03612428806904668,0.12935440039440643,0.005768192616814425,four_hour_turtle_20_10,2025
four_hour_turtle_20_10:2026,0.016181553829219597,0.026167079025818607,0.03444346239724272,0.7597110512302429,7,7,0.5,0.035499281961347426,0.17496903348027235,0.004186554614438022,four_hour_turtle_20_10,2026
four_hour_turtle_55_20:2022,0.02353527737575578,0.02355226579015879,0.03780601993429922,0.6229766008452844,15,6,0.6666666666666666,0.030250854090669962,0.16550124431941127,0.0026494221464757562,four_hour_turtle_55_20,2022
four_hour_turtle_55_20:2023,-0.021538451676108572,-0.021553652345554952,0.06384352924024439,-0.33760120410085975,16,5,0.4166666666666667,0.04140662641633747,0.25,0.005524760244614245,four_hour_turtle_55_20,2023
four_hour_turtle_55_20:2024,0.03788108581115912,0.03780310759832051,0.027712385383000693,1.3641231917014858,14,5,0.6666666666666666,0.03320696964421142,0.13331422018348654,0.003532049454592332,four_hour_turtle_55_20,2024
four_hour_turtle_55_20:2025,-0.01035840924111231,-0.01036576143184298,0.028928844429767953,-0.35831923591032033,12,6,0.3333333333333333,0.031462512478704845,0.13161316597520126,0.0031781466913388835,four_hour_turtle_55_20,2025
four_hour_turtle_55_20:2026,0.019038197615527608,0.030813073139952074,0.023523704289118652,1.3098733414280022,9,5,0.625,0.033528145140003164,0.14512187499999998,0.00248935025753079,four_hour_turtle_55_20,2026
equal_daily_turtles:2022,-0.000849085961485585,-0.0008496915189563081,0.013610015304977408,-0.062431341913742146,14,6,0.25,0.012062271471850352,0.03559090812578295,0.00029716837427698516,equal_daily_turtles,2022
equal_daily_turtles:2023,-0.008242217808564711,-0.008248074234824432,0.02643428417136351,-0.31202184940417804,14,9,0.3333333333333333,0.019385785830144775,0.07825220442684909,0.0005467036852076359,equal_daily_turtles,2023
equal_daily_turtles:2024,0.018221046292302034,0.018183892862349005,0.009668412979089935,1.8807526014533784,22,9,0.5,0.013005085768131605,0.0463886167055556,0.0002674403993110759,equal_daily_turtles,2024
equal_daily_turtles:2025,0.008032352627949102,0.008038106608486029,0.011490718725396198,0.6995303601610765,22,7,0.5,0.012353329323979891,0.03553256466188847,0.0002828938133326407,equal_daily_turtles,2025
equal_daily_turtles:2026,0.003446109958888277,0.005551224246096442,0.00966795704937995,0.574187930060412,17,4,0.625,0.011297423959364247,0.04202813937061224,0.00018767232509240845,equal_daily_turtles,2026
equal_four_hour_turtles:2022,0.003324514345253826,0.0033268902966023806,0.02655451002629694,0.12528532039596135,6,7,0.5,0.02969202571111693,0.12050500454959083,0.00388159497936968,equal_four_hour_turtles,2022
equal_four_hour_turtles:2023,-0.014419064499975542,-0.014429277785417027,0.05793242771445639,-0.24907082880312922,5,7,0.4166666666666667,0.041059514288335826,0.2395649779735679,0.00732136278613932,equal_four_hour_turtles,2023
equal_four_hour_turtles:2024,0.0522531714690575,0.05214487311054672,0.024296155383861984,2.146219115193116,6,7,0.6666666666666666,0.032770459943154785,0.13331422018348654,0.00467320348000485,equal_four_hour_turtles,2024
equal_four_hour_turtles:2025,-0.020136294566762802,-0.020150515891641185,0.03997760581049048,-0.5040450893223203,10,7,0.4166666666666667,0.03123129571471731,0.12935440039440643,0.004473169654076656,equal_four_hour_turtles,2025
equal_four_hour_turtles:2026,0.01766313096556793,0.028575697706139103,0.02824666871789161,1.0116484174305158,6,7,0.625,0.03194702917350399,0.12847532747645857,0.003337952435984406,equal_four_hour_turtles,2026
equal_all_turtles:2022,0.0013353223000573955,0.0013362756763541928,0.017979518035496578,0.07432210772925127,0,7,0.5833333333333334,0.017723101173588815,0.07483928279001306,0.002089381676823333,equal_all_turtles,2022
equal_all_turtles:2023,-0.011212223186805814,-0.011220177955147514,0.04202060357237536,-0.26701610641603774,0,10,0.3333333333333333,0.027945317532103265,0.1337180933321177,0.003934033235673478,equal_all_turtles,2023
equal_all_turtles:2024,0.035206391524893466,0.03513401186626086,0.013663851983640729,2.571310923766273,2,7,0.6666666666666666,0.020274973482254002,0.07440936092722017,0.0024703219396579627,equal_all_turtles,2024
equal_all_turtles:2025,-0.006046716953089337,-0.006051018150010856,0.01813292903225383,-0.333703294114682,4,9,0.4166666666666667,0.018774612823339414,0.08204024044027385,0.0023780317337046483,equal_all_turtles,2025
