candidate,total_return,cagr,max_drawdown,calmar,max_consecutive_flat_days,max_consecutive_losing_days,positive_month_rate,annual_volatility,max_gross_exposure,total_cost,return_2022,return_2023,long_events,short_events,selected_by_frozen_rule
risk_build_breakout,-0.025468383061677202,-0.012825406000514405,0.059191652220372704,-0.2166759250572183,131,4,0.3333333333333333,0.038534310454252006,0.15,0.007050000000000001,-0.014412047031290509,-0.011218010525680722,35,17,False
unwind_continuation,0.02192868974540807,0.010912709431655454,0.026598084335966443,0.4102817817183577,101,2,0.4166666666666667,0.022982530429653786,0.15,0.006899999999999999,-0.0030133777915468674,0.025017454578988962,22,29,False
unwind_exhaustion_reversal,-0.03588862187117159,-0.018121067879300456,0.05218371805940891,-0.3472552081986646,101,2,0.3333333333333333,0.023005544420865304,0.15,0.006899999999999999,-0.006048341029297966,-0.030021863309505292,29,22,False
crowded_failed_auction,0.027307597530124017,0.013571578663321704,0.021990878276436754,0.6171458225869797,560,1,0.041666666666666664,0.021517440233437848,0.15,0.00045,0.027307597530124017,0.0,5,0,False
oi_divergence_reversal,0.04989864066198568,0.024663416613277533,0.05024712780562868,0.4908423165734607,38,3,0.5416666666666666,0.04509969268491532,0.15,0.013800000000000002,0.07535545377345554,-0.023672928818224914,45,64,False
