candidate,total_return,cagr,max_drawdown,calmar,max_consecutive_flat_days,max_consecutive_losing_days,positive_month_rate,annual_volatility,max_gross_exposure,hedged_bar_rate,total_cost
daily_pa_core_only,0.18840907677582908,0.0380569313575676,0.12084501071044562,0.31492348036407625,0,9,0.4642857142857143,0.06003047192865409,0.30000000000000004,0.0,0.008926783175560804
weekly_regime_only_1m,-0.365548707538882,-0.0937608072470294,0.4387139608352293,-0.2137174004413408,424,10,0.32142857142857145,0.16694462920853065,0.3,0.0,0.03825000000000003
core_plus_weekly_regime_1m,-0.24409194960882075,-0.05875419440179119,0.3716535049859446,-0.15808863259345068,0,10,0.48214285714285715,0.17429140253798694,0.6000000000000001,0.3921794333281634,0.047176783175560795
core_plus_weekly_regime_2m,-0.24306325106702598,-0.05847717581803957,0.3719147096554709,-0.15723275874786138,0,10,0.48214285714285715,0.17429040118316574,0.6000000000000001,0.39217819912544394,0.04717678317556079
