side,event_day,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,stop_fraction,notional,underlying_return,net_account_contribution,exit_reason,ambiguous_bar_loss_first
short,2020-02-03,2020-02-04 00:02:00,2020-02-05 18:48:00,187.4,196.03,195.8,170.6,0.04482390608324443,0.11154761904761896,-0.0460512273212379,-0.005248452380952366,stop,False
short,2020-02-09,2020-02-10 00:02:00,2020-02-10 13:59:00,227.75,220.33,231.01,221.23000000000002,0.014313940724478554,0.3,0.03257958287596041,0.009473874862788122,target,False
short,2020-02-15,2020-02-16 00:02:00,2020-02-17 00:40:00,275.91,250.41,288.4,250.93000000000012,0.04526838461817242,0.11045236188951203,0.09242144177449174,0.010097714171337115,target,False
long,2020-02-27,2020-02-28 00:02:00,2020-03-06 00:02:00,231.91,230.99,210.0,275.73,0.09447630546332628,0.05292332268370608,-0.003967056185589235,-0.00026287311729803733,time,False
long,2020-03-13,2020-03-14 00:02:00,2020-03-21 00:02:00,124.09,142.86,85.39,201.49,0.3118704166330889,0.016032299741602068,0.1512611814005964,0.0024090322997416033,time,False
short,2020-04-19,2020-04-20 00:02:00,2020-04-23 22:21:00,178.75,189.57,189.39,157.47000000000003,0.05952447552447545,0.08399906015037605,-0.0605314685314684,-0.005168585526315785,stop,False
short,2020-04-25,2020-04-26 00:02:00,2020-04-26 21:21:00,192.79,198.55,198.43,181.50999999999996,0.029254629389491235,0.17091312056737543,-0.029877068312671895,-0.005277296099290779,stop,False
short,2020-04-26,2020-04-27 00:02:00,2020-04-29 14:02:00,193.91,202.23,200.37,180.98999999999998,0.033314424217420494,0.15008513931888526,-0.042906503016863384,-0.006589713622290996,stop,False
short,2020-04-30,2020-05-01 00:02:00,2020-05-08 00:02:00,208.15,206.81,227.37,169.71,0.09233725678597164,0.054149323621227895,0.006437665145327953,0.0002944458896982346,time,False
short,2020-05-31,2020-06-01 00:02:00,2020-06-02 07:05:00,233.71,247.63,247.7,205.73000000000005,0.05986051088956391,0.0835275196568979,-0.05956099439476259,-0.0050585096497498165,stop,False
short,2020-06-02,2020-06-03 00:02:00,2020-06-10 00:02:00,234.18,243.32,255.03,192.48000000000002,0.08903407635152444,0.05615827338129498,-0.039029806132035105,-0.002248004796163066,time,False
long,2020-06-28,2020-06-29 00:02:00,2020-07-06 00:02:00,226.13,225.13,214.98,248.43,0.04930792022288067,0.10140358744394613,-0.0044222349975677755,-0.0005498340807174889,time,False
short,2020-07-27,2020-07-28 00:02:00,2020-07-28 06:17:00,314.94,331.46,329.84,285.14000000000004,0.04731059884422423,0.10568456375838942,-0.05245443576554254,-0.005649308724832212,stop,False
short,2020-07-28,2020-07-29 00:02:00,2020-07-31 03:11:00,320.53,335.44,334.2,293.18999999999994,0.04264811406108638,0.11723847841989744,-0.04651670670452068,-0.005570786393562545,stop,False
short,2020-08-15,2020-08-16 00:02:00,2020-08-16 19:09:00,437.17,420.04,445.72,420.07,0.019557609168058217,0.2556549707602336,0.03918384152617971,0.009761888888888865,target,False
short,2020-08-18,2020-08-19 00:02:00,2020-08-26 00:02:00,419.68,386.29,447.78,363.4800000000001,0.06695577582920312,0.07467615658362999,0.0795606176134197,0.00586660498220641,time,False
short,2020-09-02,2020-09-03 00:02:00,2020-09-06 02:47:00,435.73,327.8,488.96,329.2700000000001,0.12216280724301737,0.04092898741311294,0.24769926330525782,0.010097151042645133,target,False
long,2020-09-04,2020-09-05 00:02:00,2020-09-05 19:19:00,381.78,356.5,357.0,431.3399999999999,0.06490649064906484,0.07703389830508482,-0.06621614542406618,-0.005177921711057306,stop,False
long,2020-09-05,2020-09-06 00:02:00,2020-09-06 02:16:00,357.2,334.2,335.0,401.59999999999997,0.062150055991041404,0.08045045045045049,-0.06438969764837621,-0.005260630630630629,stop,False
long,2020-09-06,2020-09-07 00:02:00,2020-09-14 00:02:00,342.01,358.19,308.0,410.03,0.09944153679716965,0.05028079976477508,0.047308558229291586,0.0023284313437224374,time,False
short,2020-10-13,2020-10-14 00:02:00,2020-10-21 00:02:00,378.89,370.64,395.52,345.63,0.04389136688748712,0.11391761876127485,0.021774129694634325,0.0023665393866506325,time,False
short,2020-10-23,2020-10-24 00:02:00,2020-10-27 00:35:00,410.26,388.72,421.43,387.91999999999996,0.02722663676692833,0.18364368845120835,0.052503290596207175,0.009458254252461919,target,False
short,2020-11-12,2020-11-13 00:02:00,2020-11-14 06:41:00,460.29,475.65,475.64,429.5900000000001,0.03334854113710914,0.14993159609120554,-0.03337026657107467,-0.005153188925081432,stop,False
short,2020-11-14,2020-11-15 00:02:00,2020-11-18 00:38:00,456.54,480.0,477.5,414.62000000000006,0.04591054453059968,0.10890744274809172,-0.051386515967932755,-0.005705281488549629,stop,False
short,2020-11-18,2020-11-19 00:02:00,2020-11-20 15:18:00,473.15,494.0,494.64,430.16999999999996,0.04541900031702422,0.11008608655188455,-0.04406636373243167,-0.004961179618427183,stop,False
short,2020-11-22,2020-11-23 00:02:00,2020-11-23 02:17:00,532.78,562.43,562.68,472.98,0.05612072525244938,0.0890936454849499,-0.05565148841923495,-0.005047287625418063,stop,False
short,2020-12-01,2020-12-02 00:02:00,2020-12-09 00:02:00,608.66,574.01,638.68,548.62,0.04932146025695788,0.10137574950033316,0.05692833437387046,0.005669776815456364,time,False
short,2020-12-18,2020-12-19 00:02:00,2020-12-24 06:23:00,636.26,551.76,677.24,554.3,0.0644076321000849,0.07763055148853096,0.13280734291013108,0.010232276720351386,target,False
short,2020-12-29,2020-12-30 00:02:00,2020-12-31 03:10:00,715.58,749.88,748.54,649.6600000000002,0.04606053830459197,0.10855279126213618,-0.04793314514100433,-0.005311829490291256,stop,False
short,2020-12-31,2021-01-01 00:02:00,2021-01-02 21:14:00,733.7,761.43,759.95,681.2,0.03577756576257326,0.13975238095238096,-0.0377947389941391,-0.005421657142857116,stop,False
short,2021-01-06,2021-01-07 00:02:00,2021-01-07 00:05:00,1158.82,1180.49,1177.16,1122.1399999999996,0.015826444141454364,0.3,-0.018700056954488176,-0.005910017086346453,stop,False
short,2021-01-08,2021-01-09 00:02:00,2021-01-10 05:22:00,1222.49,1295.57,1294.59,1078.2900000000002,0.05897798755000033,0.08477739251040232,-0.05977963009922371,-0.005152738557558952,stop,False
short,2021-01-25,2021-01-26 00:02:00,2021-01-26 05:09:00,1435.98,1344.74,1479.0,1349.94,0.02995863452137215,0.1668967921896793,0.06353848939400275,0.010437473268247338,target,False
short,2021-02-04,2021-02-05 00:02:00,2021-02-05 21:49:00,1570.34,1704.98,1699.63,1311.7599999999995,0.08233248850567405,0.06072936808724564,-0.08573939401658248,-0.005267628586897669,stop,False
short,2021-02-06,2021-02-07 00:02:00,2021-02-08 00:19:00,1675.5,1497.59,1764.38,1497.7399999999998,0.05304685168606393,0.09425630063006289,0.10618322888689946,0.00991418204320431,target,False
short,2021-02-08,2021-02-09 00:02:00,2021-02-09 00:04:00,1750.0,1765.52,1766.66,1716.6799999999998,0.009520000000000048,0.3,-0.008868571428571448,-0.0029605714285714344,stop,False
short,2021-02-09,2021-02-10 00:02:00,2021-02-10 10:49:00,1750.49,1829.28,1827.99,1595.49,0.0442733177567424,0.11293483870967742,-0.045010254271661054,-0.005196160645161288,stop,False
short,2021-02-10,2021-02-11 00:02:00,2021-02-13 01:47:00,1694.82,1849.57,1845.63,1393.1999999999996,0.08898290083902725,0.05619057091704788,-0.09130763148888965,-0.005186818513361176,stop,False
short,2021-02-13,2021-02-14 00:02:00,2021-02-15 10:20:00,1821.14,1709.61,1874.37,1714.6800000000005,0.02922894450728653,0.17106331016344234,0.06124185949460237,0.010305171895547678,target,False
short,2021-02-19,2021-02-20 00:02:00,2021-02-20 00:18:00,1937.38,1952.1,1952.75,1906.6400000000003,0.007933394584438721,0.3,-0.007597889933828039,-0.0025793669801484117,stop,False
long,2021-02-23,2021-02-24 00:02:00,2021-02-28 14:04:00,1570.56,1334.01,1348.73,2014.2199999999998,0.14124261409942945,0.03540008114321779,-0.15061506723716378,-0.005367185682730019,stop,False
short,2021-04-01,2021-04-02 00:02:00,2021-04-02 02:16:00,1953.49,1918.49,1970.0,1920.47,0.008451540576097134,0.3,0.017916651736123557,0.005074995520837067,target,False
short,2021-04-03,2021-04-04 00:02:00,2021-04-06 09:01:00,2062.96,2149.1,2146.98,1894.92,0.040727886144181165,0.12276600809331116,-0.0417555357350603,-0.005248926446084268,stop,False
short,2021-04-06,2021-04-07 00:02:00,2021-04-07 20:17:00,2083.34,1943.01,2154.0,1942.0200000000004,0.03391669146658723,0.14742003962638017,0.06735818445380981,0.009782526181715287,target,False
short,2021-04-12,2021-04-13 00:02:00,2021-04-13 16:23:00,2108.4,2205.25,2210.63,1903.94,0.04848700436349839,0.10312041475105155,-0.04593530639347376,-0.004839988261762696,stop,False
short,2021-04-16,2021-04-17 00:02:00,2021-04-18 11:23:00,2427.6,2135.58,2547.91,2186.98,0.04955923545888942,0.10088936912974819,0.12029164607019283,0.012035258914470959,target,False
short,2021-04-23,2021-04-24 00:02:00,2021-04-27 23:48:00,2321.92,2666.51,2670.72,1624.3200000000006,0.15022050716648278,0.0332844036697248,-0.14840735253583248,-0.00497293463302753,stop,False
short,2021-04-30,2021-05-01 00:02:00,2021-05-01 10:00:00,2739.91,2805.56,2802.56,2614.6099999999997,0.022865714567266843,0.21866799680766127,-0.023960641042954034,-0.005458093375897852,stop,False
short,2021-05-07,2021-05-08 00:02:00,2021-05-08 05:16:00,3561.89,3466.01,3610.0,3465.6699999999996,0.013506874159505243,0.3,0.026918293377953706,0.007775488013386112,target,False
short,2021-05-11,2021-05-12 00:02:00,2021-05-12 10:23:00,4025.01,4230.88,4208.17,3658.6900000000005,0.04550547700502604,0.10987688359903919,-0.05114769901192795,-0.0057298266542913385,stop,False
short,2021-05-12,2021-05-13 00:02:00,2021-05-13 08:00:00,4164.86,3834.07,4374.99,3744.5999999999995,0.05045307645395046,0.09910198448579445,0.07942403826299071,0.0077719778232522565,target,False
long,2021-05-19,2021-05-20 00:02:00,2021-05-24 00:18:00,2721.63,1815.12,1811.4,4542.09,0.33444296248939054,0.014950232358854357,-0.33307613452232676,-0.004994515836656671,stop,False
long,2021-05-24,2021-05-25 00:02:00,2021-06-01 00:02:00,2536.82,2632.65,1728.64,4153.18,0.3185799544311382,0.015694647232052265,0.03777564036865044,0.0005771807023187892,time,False
long,2021-06-19,2021-06-20 00:02:00,2021-06-20 18:06:00,2239.18,2138.09,2136.39,2444.7599999999998,0.04590519743834796,0.10892012841716123,-0.045145990943113,-0.005026227259461028,stop,False
long,2021-07-20,2021-07-21 00:02:00,2021-07-22 00:40:00,1808.99,2000.08,1713.34,2000.2900000000002,0.05287480859485132,0.094562990067956,0.10563353031249467,0.009894459487715607,target,False
short,2021-07-27,2021-07-28 00:02:00,2021-07-30 09:48:00,2276.39,2442.7,2435.74,1957.69,0.07000118608849974,0.07142736115469096,-0.07305865866569428,-0.005289814559146529,stop,False
short,2021-07-30,2021-07-31 00:02:00,2021-07-31 05:46:00,2343.0,2454.86,2452.0,2125.0,0.046521553563807085,0.1074770642201835,-0.047742210840802546,-0.00523866972477066,stop,False
short,2021-08-02,2021-08-03 00:02:00,2021-08-03 12:56:00,2636.0,2509.68,2700.13,2507.74,0.024328528072837675,0.20552003742398217,0.04792109256449173,0.009643224699828472,target,False
short,2021-08-08,2021-08-09 00:02:00,2021-08-10 08:07:00,3027.38,3196.32,3194.31,2693.5200000000004,0.05514008812900919,0.09067812855688022,-0.05580402856595468,-0.005150883004852334,stop,False
short,2021-08-10,2021-08-11 00:02:00,2021-08-11 15:05:00,3117.23,3237.47,3237.16,2877.3700000000003,0.03847325991344874,0.1299603935629119,-0.038572707179130195,-0.005142884599349628,stop,False
short,2021-08-14,2021-08-15 00:02:00,2021-08-16 01:05:00,3264.24,3111.95,3336.0,3120.7199999999993,0.021983677670759573,0.22744147157190564,0.04665404504570747,0.010383623188405775,target,False
short,2021-08-16,2021-08-17 00:02:00,2021-08-18 09:14:00,3219.06,2953.11,3342.74,2971.7000000000003,0.03842115400147864,0.13013664294954738,0.08261728579150429,0.01062139957956016,target,False
short,2021-08-23,2021-08-24 00:02:00,2021-08-24 22:16:00,3327.27,3224.92,3378.16,3225.4900000000002,0.015294821279908114,0.3,0.030760954175645505,0.008928286252693651,target,False
long,2021-09-20,2021-09-21 00:02:00,2021-09-21 08:14:00,3080.3,2883.04,2907.65,3425.6000000000004,0.05604973541538164,0.08920648711265562,-0.06403921695938719,-0.005801920069504786,stop,False
