candidate,total_return,cagr,max_drawdown,calmar,max_consecutive_flat_days,max_consecutive_losing_days,positive_month_rate,annual_volatility,max_gross_exposure,hedged_bar_rate,total_cost,year
daily_reclaim_only_1m,-0.03567344963078434,-0.035697508795551,0.07247920950203879,-0.4925206695934902,29,4,0.3333333333333333,0.04317625819324874,0.3,0.005479452054794521,0.0056252199079682855,2022
daily_reclaim_only_1m,-0.02856724012903744,-0.028586577962075754,0.052766462899261346,-0.5417565702035322,48,5,0.4166666666666667,0.03571728131219911,0.3,0.0,0.0068117040962043015,2023
daily_reclaim_only_1m,0.06284259241725265,0.06270998343268852,0.03515069951127214,1.7840323038970718,41,5,0.75,0.037767924391104206,0.3,0.0,0.006636818692650317,2024
daily_reclaim_only_1m,-0.02989787780889508,-0.029918102437817673,0.05727416591025669,-0.5223664450163547,45,5,0.3333333333333333,0.034907985667178114,0.3,0.0,0.004639692480833114,2025
daily_reclaim_only_1m,-0.020716579855211026,-0.03312295750614491,0.0472160388847499,-0.7015191932342115,35,6,0.375,0.03901602179815334,0.3,0.0,0.003838218019343969,2026
daily_reclaim_only_2m,-0.046992237748795906,-0.04702374263511977,0.07405545394831214,-0.634980141610374,29,4,0.3333333333333333,0.04243710246932964,0.3,0.005479452054794521,0.005530693513027805,2022
daily_reclaim_only_2m,-0.02412863541347554,-0.024145006114697165,0.05134452197907802,-0.47025476494913765,48,5,0.4166666666666667,0.03645542384332462,0.3,0.0,0.006798058992304186,2023
daily_reclaim_only_2m,0.051364666353881816,0.0512568580571644,0.041103397327868274,1.2470224212442906,41,5,0.75,0.03712929025508573,0.3,0.0,0.006579663085621303,2024
daily_reclaim_only_2m,-0.026971690758818778,-0.026989963595612343,0.05828325470310414,-0.46308264240045727,45,5,0.3333333333333333,0.034409888305827266,0.3,0.0,0.0046721638376075025,2025
daily_reclaim_only_2m,-0.021348137095762998,-0.03412608765454361,0.047847237470440174,-0.7132300516958073,35,6,0.375,0.0385389745855488,0.3,0.0,0.0038094685100824354,2026
bos_plus_daily_reclaim_1m,0.03498992289260716,0.03501437112381267,0.07387996173031885,0.4739359672603008,0,6,0.5,0.08972788116217258,0.4963324257367586,0.6382990867579909,0.007617073471155981,2022
bos_plus_daily_reclaim_1m,-0.09058761203932209,-0.09064692158570309,0.16013536722641175,-0.5660643439093593,0,7,0.3333333333333333,0.07979213545340894,0.75,0.6397602739726027,0.010514214557956371,2023
bos_plus_daily_reclaim_1m,0.19263020484876647,0.1922001575179637,0.05340128771237451,3.5991670941190765,0,9,0.6666666666666666,0.09624659904085604,0.5494423492873672,0.5865228445658773,0.009026928398090196,2024
bos_plus_daily_reclaim_1m,-0.058499488490467044,-0.05853846835070109,0.08715219136149988,-0.6716809690749886,0,8,0.3333333333333333,0.07566269866409503,0.47309353008183996,0.6586130136986301,0.006782206689774913,2025
bos_plus_daily_reclaim_1m,0.05022277468083902,0.08203844056909215,0.06131571758720955,1.3379675521599923,0,8,0.5,0.0874386771403726,0.6111033406731605,0.7506019046803252,0.005385675058289772,2026
bos_plus_daily_reclaim_2m,0.022157864711601416,0.02217325100970613,0.08248902659121482,0.26880243259007747,0,6,0.5,0.0891208107388872,0.4963324257367586,0.6382781582952816,0.007522547076215504,2022
bos_plus_daily_reclaim_2m,-0.09261340161424048,-0.09267396878524226,0.16454912063899818,-0.5631994168389284,0,7,0.3333333333333333,0.0798837474673078,0.75,0.6397850076103501,0.010500569454056257,2023
bos_plus_daily_reclaim_2m,0.17909292568117818,0.17869530690996327,0.05189893300734072,3.4431402835331535,0,9,0.6666666666666666,0.09613708549820217,0.5494423492873672,0.5873539010321798,0.00896977279106118,2024
bos_plus_daily_reclaim_2m,-0.053442441264062945,-0.053478147962608635,0.08619379489365586,-0.6204408104851269,0,8,0.3333333333333333,0.07567581319463708,0.47309353008183996,0.6587233637747336,0.0068146780465493,2025
bos_plus_daily_reclaim_2m,0.05046661436626709,0.08244270299320866,0.06158363053696636,1.3387113145874272,0,8,0.5,0.0872324255444963,0.6111033406731605,0.7505896677363795,0.005356925549028236,2026
