timestamp,side,sweep_low,sweep_high,prior_high,prior_low,bar_high,bar_low,bar_close,event_day,available_time
2022-01-10,long,True,False,4157.03,3045.58,3180.5,2997.26,3097.83,2022-01-09,2022-01-10
2022-01-11,long,True,False,4157.03,2997.26,3210.0,2917.12,3005.82,2022-01-10,2022-01-11
2022-02-11,short,False,True,3273.71,2155.03,3288.0,3084.07,3209.65,2022-02-10,2022-02-11
2022-02-22,long,True,False,3288.0,2575.51,2760.0,2571.0,2723.95,2022-02-21,2022-02-22
2022-02-23,long,True,False,3288.0,2571.0,2744.36,2496.0,2624.0,2022-02-22,2022-02-23
2022-03-23,short,False,True,3046.0,2444.32,3054.9,2883.21,3002.15,2022-03-22,2022-03-23
2022-03-26,short,False,True,3129.99,2444.32,3210.0,3085.45,3121.01,2022-03-25,2022-03-26
2022-04-02,short,False,True,3483.94,2490.27,3494.53,3210.43,3433.08,2022-04-01,2022-04-02
2022-04-03,short,False,True,3494.53,2490.27,3532.88,3404.25,3460.73,2022-04-02,2022-04-03
2022-04-04,short,False,True,3532.88,2490.27,3533.0,3412.14,3499.56,2022-04-03,2022-04-04
2022-04-05,short,False,True,3533.0,2505.0,3580.12,3421.94,3425.27,2022-04-04,2022-04-05
2022-04-28,long,True,False,3314.39,2793.84,2921.0,2762.2,2866.46,2022-04-27,2022-04-28
2022-05-02,long,True,False,3307.86,2762.2,2822.0,2713.0,2806.36,2022-05-01,2022-05-02
2022-05-11,long,True,False,3188.0,2335.47,2457.34,2198.02,2362.49,2022-05-10,2022-05-11
2022-05-12,long,True,False,3188.0,2198.02,2454.98,2115.27,2265.5,2022-05-11,2022-05-12
2022-05-27,long,True,False,2770.0,1771.0,1982.82,1730.6,1861.28,2022-05-26,2022-05-27
2022-05-28,long,True,False,2713.73,1730.6,1908.9,1711.0,1764.83,2022-05-27,2022-05-28
2022-05-29,long,True,False,2701.91,1711.0,1809.59,1701.1,1795.0,2022-05-28,2022-05-29
2022-06-13,long,True,False,2089.0,1496.36,1579.0,1423.0,1526.5,2022-06-12,2022-06-13
2022-06-15,long,True,False,2023.0,1163.27,1283.99,1073.9,1250.36,2022-06-14,2022-06-15
2022-06-16,long,True,False,2017.0,1073.9,1270.81,1013.0,1120.07,2022-06-15,2022-06-16
2022-06-20,long,True,False,2017.0,974.24,1080.0,878.73,1071.85,2022-06-19,2022-06-20
2022-07-17,short,False,True,1283.0,996.0,1290.38,1191.0,1274.42,2022-07-16,2022-07-17
2022-07-23,short,False,True,1635.5,1005.0,1647.0,1508.88,1574.88,2022-07-22,2022-07-23
2022-07-26,short,False,True,1647.0,1005.0,1665.0,1498.22,1526.23,2022-07-25,2022-07-26
2022-07-30,short,False,True,1758.07,1005.0,1785.98,1657.0,1721.99,2022-07-29,2022-07-30
2022-08-09,short,False,True,1785.98,1354.58,1820.72,1691.0,1775.04,2022-08-08,2022-08-09
2022-08-15,short,False,True,2020.77,1354.58,2031.54,1967.0,1984.31,2022-08-14,2022-08-15
2022-08-22,long,True,False,2031.54,1557.0,1640.89,1522.7,1621.11,2022-08-21,2022-08-22
2022-08-29,long,True,False,2031.54,1453.0,1512.28,1445.26,1487.0,2022-08-28,2022-08-29
2022-08-30,long,True,False,2031.54,1445.26,1531.81,1421.34,1521.65,2022-08-29,2022-08-30
2022-09-10,short,False,True,1725.97,1421.34,1750.0,1608.15,1719.13,2022-09-09,2022-09-10
2022-09-13,short,False,True,1789.67,1421.34,1790.0,1695.31,1706.02,2022-09-12,2022-09-13
2022-09-18,long,True,False,1790.0,1421.34,1456.49,1405.0,1443.83,2022-09-17,2022-09-18
2022-10-14,long,True,False,1401.39,1251.28,1303.0,1180.0,1256.83,2022-10-13,2022-10-14
2022-10-31,short,False,True,1654.27,1180.0,1665.0,1576.0,1587.45,2022-10-30,2022-10-31
2022-11-05,short,False,True,1665.0,1252.0,1680.0,1524.0,1625.76,2022-11-04,2022-11-05
2022-11-11,long,True,False,1680.0,1133.8,1344.0,1071.34,1319.9,2022-11-10,2022-11-11
2022-12-16,short,False,True,1348.0,1150.68,1354.21,1262.0,1270.84,2022-12-15,2022-12-16
2022-12-21,long,True,False,1354.21,1155.63,1234.0,1150.0,1217.31,2022-12-20,2022-12-21
