candidate,total_return,cagr,max_drawdown,calmar,max_consecutive_flat_days,max_consecutive_losing_days,positive_month_rate,annual_volatility,max_gross_exposure,hedged_bar_rate,total_cost
pinned_flow_release_1m,-0.004449973648237071,-0.000964570857956093,0.004449973648237071,-0.21675877976001573,575,1,0.0,0.0006860855696566367,0.3,0.0,0.0017999999999999997
pinned_flow_release_2m,-0.0041619538097735775,-0.0009020378786068761,0.0041619538097735775,-0.21673423585062557,575,1,0.0,0.0006926309180408379,0.3,0.0,0.0017999999999999997
daily_pa_core_only,0.18840907677582908,0.0380569313575676,0.12084501071044562,0.31492348036407625,0,9,0.4642857142857143,0.06003047192865409,0.30000000000000004,0.0,0.008926783175560804
core_plus_pinned_release_1m,0.18312079642779677,0.0370556725145641,0.12268814363804614,0.3020314059350798,0,9,0.4642857142857143,0.06003406241024814,0.38389767022246124,2.4272653482364684e-05,0.010726783175560807
core_plus_pinned_release_2m,0.18346307038914,0.03712058313533673,0.12261137936325739,0.3027499023998465,0,9,0.4642857142857143,0.06003417239357756,0.38389767022246124,2.3038450762922413e-05,0.010726783175560807
