timestamp,pinned,dominant_sign,sign_imbalance,pin_open,pin_high,pin_low,pin_close,pin_return,pin_range,trades
2022-03-23 11:25:00,True,-1.0,-0.8042414355628059,2969.98,2971.97,2968.24,2970.23,8.417565101459523e-05,0.0012566369296282964,5517
2023-07-19 14:00:00,True,-1.0,-0.8068441064638783,1914.6,1914.78,1913.79,1913.79,-0.0004230648699466988,0.0005172981361591944,2630
2023-07-29 23:55:00,True,1.0,0.8746268656716418,1872.15,1873.18,1872.11,1872.7,0.000293779878749012,0.0005715476120526919,1005
2023-08-27 01:20:00,True,1.0,0.855510752688172,1647.29,1648.18,1647.0,1647.76,0.0002853170965646523,0.0007164541590771734,5952
2023-08-27 17:50:00,True,1.0,0.9309576837416481,1648.5,1649.0,1648.11,1648.72,0.0001334546557476557,0.0005400124991656874,2694
2023-08-27 18:35:00,True,-1.0,-0.851602023608769,1651.97,1652.0,1651.32,1651.77,-0.00012106757386642908,0.00041179177869832273,4744
2024-03-31 09:20:00,True,-1.0,-0.8067757310318175,3525.97,3526.79,3521.0,3523.49,-0.0007033525526308759,0.001644419199091196,7763
2024-04-07 19:55:00,True,-1.0,-0.86542267458298,3390.62,3391.8,3388.5,3389.99,-0.00018580672561363532,0.0009738822487828092,3537
2024-05-24 13:15:00,True,-1.0,-0.8385800401875418,3807.64,3810.0,3806.84,3809.4,0.00046222857202882217,0.0008300847947377843,11944
2024-06-10 03:25:00,True,-1.0,-0.87094617184888,3706.62,3707.95,3706.34,3706.45,-4.586388677552122e-05,0.00043439080062812607,2991
2024-07-29 05:10:00,True,1.0,0.8065958636109558,3259.01,3260.31,3257.42,3257.49,-0.00046639930531067186,0.0008872052114863305,7156
2024-10-07 11:10:00,True,-1.0,-0.8346605479821838,2509.5,2510.39,2507.0,2510.39,0.00035465232117948275,0.0013522138013561946,14818
2025-03-30 16:20:00,True,-1.0,-0.8508987701040681,1842.39,1842.83,1841.11,1842.55,8.684371929934542e-05,0.0009342190309107323,21140
2026-05-19 12:55:00,True,-1.0,-0.8264957264957264,2133.15,2134.0,2132.02,2133.06,-4.219112579995077e-05,0.0009286967289237058,28080
