timestamp,equity,drawdown,max_gross_exposure,end_net_exposure,turnover,trading_cost,net_return
2022-01-01,0.9985766347513475,-0.0013637602307452479,0.08621826318778383,0.08621826318778383,0.08621826318778383,4.3109131593891915e-05,-0.0014233652486524973
2022-01-02,0.999786380696777,-0.00015394207560615047,0.08708195968693344,0.08708195968693344,0.0008636964991496077,4.3184824957480386e-07,0.001211470310169327
2022-01-03,0.9999905638406583,-0.0012101394031294177,0.08682195881321265,0.08682195881321265,0.0002600008737207865,1.3000043686039324e-07,0.00020422677066123107
2022-01-04,1.001628848431214,-0.0005915297319902812,0.09269799707986828,0.09269799707986828,0.005876038266655628,2.9380191333278144e-06,0.0016383000498152445
2022-01-05,1.0006172728556928,-0.0016008628797680169,0.12885369005083303,0.12885369005083303,0.03615569297096474,1.8077846485482372e-05,-0.0010099305517251578
2022-01-06,0.9857012284584058,-0.016483841876320016,0.12885820926932284,0.12885820926932284,4.5192184898179555e-06,2.259609244908978e-09,-0.014906842807857701
2022-01-07,0.9830719179890005,-0.019107323776031415,0.0330940395027918,0.0330940395027918,0.09576416976653104,4.788208488326552e-05,-0.0026674517526140695
2022-01-08,0.9829445274646194,-0.01923443190525287,0.010504216754124676,-0.010504216754124676,0.043598256256916476,2.1799128128458238e-05,-0.00012958413524921664
2022-01-09,0.983146227729822,-0.019033178762619785,0.010602073331419114,-0.010602073331419114,9.785657729443828e-05,4.892828864721914e-08,0.0002052000490033734
2022-01-10,0.9834527163684688,-0.018727369537991034,0.01072092017651097,-0.01072092017651097,0.00011884684509185471,5.942342254592736e-08,0.0003117426787604405
2022-01-11,0.9798399733494167,-0.022332103946147597,0.08571271194128455,-0.08571271194128455,0.07499179176477358,3.749589588238679e-05,-0.0036735299612495886
2022-01-12,0.9740426706972896,-0.02811655532683377,0.08357831645432014,-0.08357831645432014,0.0021343954869644105,1.0671977434822054e-06,-0.005916581084471018
2022-01-13,0.974088507197812,-0.02807082043517073,0.11726490971229314,-0.01726490971229315,0.13298007340869364,6.649003670434683e-05,4.705800053961262e-05
2022-01-14,0.9745634588096568,-0.027596921680568598,0.08083032388408408,-0.08083032388408408,0.06356541417179093,3.1782707085895465e-05,0.0004875856848074456
2022-01-15,0.9725455112291781,-0.029610395940666057,0.08148703033845112,-0.08148703033845112,0.000656706454367037,3.2835322718351853e-07,-0.0020706169128721363
2022-01-16,0.9726605655398443,-0.02949559667864332,0.05464556512430762,-0.05464556512430762,0.026841465214143496,1.3420732607071748e-05,0.0001183022381341381
2022-01-17,0.9755752957548887,-0.026587327742476075,0.08744206830117375,-0.08744206830117375,0.03279650317686613,1.6398251588433065e-05,0.0029966571261437203
2022-01-18,0.9775405132082958,-0.024626466719024243,0.05444486577309356,-0.05444486577309356,0.03299720252808019,1.6498601264040093e-05,0.00201441904275268
2022-01-19,0.9772921640156036,-0.02487426537932602,0.08873855481411706,-0.08873855481411706,0.0342936890410235,1.714684452051175e-05,-0.00025405514077159186
2022-01-20,0.9735064611955935,-0.028651576176794924,0.08873932024537472,-0.08873932024537472,7.654312576543809e-07,3.8271562882719047e-10,-0.003873665378073654
2022-01-21,0.991087923996051,-0.011109087389656325,0.18832210672831115,-0.18832210672831115,0.1004172135170636,5.02086067585318e-05,0.01805993437256226
2022-01-22,1.0136902940000636,-0.002786240851264443,0.1804137508873409,-0.08041375088734089,0.10790835584097026,5.3954177920485133e-05,0.02280561538161119
2022-01-23,1.0114772243455519,-0.004963339243639453,0.1007014464333198,-0.1007014464333198,0.02028769554597891,1.0143847772989455e-05,-0.0021831812611902146
2022-01-24,1.0168734797875238,-0.007203979624583079,0.16833498725420656,-0.16833498725420656,0.06763354082088677,3.381677041044338e-05,0.005335024172653302
2022-01-25,1.0058844790408263,-0.017932783577168543,0.16696742109945056,-0.1336340877661172,0.03470089948808935,1.7350449744044674e-05,-0.010806654874108479
2022-01-26,0.9978840134515011,-0.02574381469963638,0.12997664027759562,-0.09664330694426229,0.036990780821854925,1.8495390410927465e-05,-0.007953662429462272
2022-01-27,1.0011961639869713,-0.022510089033798253,0.06956083798259163,-0.06956083798259163,0.027082468961670658,1.354123448083533e-05,0.0033191738627151857
2022-01-28,1.0020748982611778,-0.021652161368517775,0.06952709545950213,-0.06952709545950213,3.374252308950554e-05,1.687126154475277e-08,0.0008776844197115885
2022-01-29,0.9998965376121972,-0.023778942945811177,0.052186534512023285,-0.052186534512023285,0.017340560947478843,8.670280473739421e-06,-0.002173850131123145
2022-01-30,0.9983963030074375,-0.025243655100115947,0.05141936470213011,-0.05141936470213011,0.0007671698098931715,3.8358490494658573e-07,-0.0015003898386748427
2022-01-31,0.9982895742274127,-0.02534785676352269,0.0512652375126495,-0.0512652375126495,0.00015412718948061566,7.706359474030783e-08,-0.00010690021557890894
2022-02-01,0.9956572127659403,-0.027917889353698544,0.0845590591333808,-0.01789239246671414,0.03337284504593536,1.668642252296768e-05,-0.0026368716346752974
2022-02-02,0.9973126417004785,-0.02630165755014391,0.08362529821193015,-0.05029196487859683,0.03426709425478398,1.713354712739199e-05,0.0016626494674196746
2022-02-03,0.9978488781072543,-0.025778118111649873,0.06687187763987752,-0.06687187763987752,0.016579912761280693,8.289956380640347e-06,0.0005376813492115051
2022-02-04,0.992098508449743,-0.03139233091702043,0.06715223133600007,-0.06715223133600007,0.00028035369612254557,1.4017684806127278e-07,-0.005762766069766667
2022-02-05,0.9907576938213914,-0.032701397830012136,0.1149165759000925,-0.014916575900092495,0.11890232210257423,5.9451161051287124e-05,-0.0013514934423662917
2022-02-06,0.9912736615382766,-0.03219764716078155,0.08340899857991879,-0.05007566524658545,0.03515908934649296,1.757954467324648e-05,0.0005207809337250957
2022-02-07,0.9890779514551893,-0.034341367373489584,0.05154900092175846,-0.05154900092175846,0.001473335675173007,7.366678375865035e-07,-0.002215039265422991
2022-02-08,0.9891074183381556,-0.034312598205325284,0.08441977086914426,-0.051086437535810936,0.06712923005261419,3.3564615026307097e-05,2.979227564736675e-05
2022-02-09,0.9874105840098265,-0.03596925500864112,0.05113889401746005,-0.05113889401746005,5.245648164911576e-05,2.622824082455788e-08,-0.001715520778501567
2022-02-10,0.9866701162291399,-0.03669219004480262,0.1007476553016195,-0.0007476553016195001,0.11705790538250721,5.852895269125361e-05,-0.0007499086931797017
2022-02-11,0.9879523120251522,-0.0354403539915219,0.10203192823681526,-0.06869859490348192,0.06795093960186241,3.397546980093121e-05,0.0012995182228818791
2022-02-12,0.9913127418194261,-0.03215949221980652,0.046753272876179676,-0.046753272876179676,0.02194532202730224,1.0972661013651121e-05,0.003401408907465875
2022-02-13,0.9907079228067166,-0.03274999037006887,0.045623085727614254,-0.045623085727614254,0.0011301871485654216,5.650935742827108e-07,-0.0006101192763844354
2022-02-14,0.9901474647087664,-0.03329717798022114,0.07889266657192005,-0.04555933323858672,0.06673041915569419,3.3365209577847105e-05,-0.0005657147631983328
2022-02-15,0.9880359380328569,-0.03535870807460162,0.03429922411116771,-0.03429922411116771,0.01126010912741901,5.630054563709505e-06,-0.00213253757765286
2022-02-16,0.9860732748880396,-0.037274899418208385,0.1002555962838033,0.03307773704953003,0.06737696116069773,3.368848058034887e-05,-0.0019864289033096894
2022-02-17,0.9874728492805944,-0.03590846405061665,0.06705559997098923,-0.03372226663765589,0.06680000368718592,3.340000184359296e-05,0.001419341166824406
2022-02-18,0.9896023465531969,-0.03382938886607967,0.033846663817463374,-0.033846663817463374,0.00012439717980748666,6.219858990374333e-08,0.002156512226288987
2022-02-19,0.9910017038822546,-0.0324631654223706,0.13321673023115624,-0.13321673023115624,0.16729660025297388,8.364830012648695e-05,0.001414060237358239
2022-02-20,0.9948420553449739,-0.028713745534040713,0.13354641192815486,-0.06687974526148817,0.0669963483636653,3.349817418183265e-05,0.003875221856505684
2022-02-21,0.9925023155170395,-0.030998085165331424,0.1153859644124639,-0.08205263107913056,0.08183955248430906,4.091977624215453e-05,-0.0023518706465652794
2022-02-22,0.9956783677230203,-0.027897235302218437,0.09035433196563437,-0.09035433196563437,0.00830170088650381,4.150850443251905e-06,0.0032000451347315995
2022-02-23,0.99268415997429,-0.030820546408471095,0.11717143266604725,-0.11717143266604725,0.026817100700412877,1.3408550350206438e-05,-0.003007203777638856
2022-02-24,0.9979408814766766,-0.025688293191599265,0.19062284300138468,-0.19062284300138468,0.1265485896646626,6.327429483233131e-05,0.005295462257120631
2022-02-25,0.9783571689700046,-0.044808303917872494,0.21811837447150678,-0.11811837447150678,0.12749553147012213,6.374776573506106e-05,-0.019624120897516417
2022-02-26,0.9760469226219939,-0.0470638484138024,0.11480508977943699,-0.11480508977943699,0.00331328469206979,1.656642346034895e-06,-0.0023613527056205452
2022-02-27,0.9749482339781813,-0.04813652238444888,0.11468226207437497,-0.11468226207437497,0.00012282770506201468,6.141385253100734e-08,-0.0011256514603433798
2022-02-28,0.9744559676638069,-0.04861713285132607,0.11577960018531369,-0.11577960018531369,0.0010973381109387198,5.486690554693599e-07,-0.0005049153352119085
2022-03-01,0.9699563056880446,-0.05301025214430333,0.21700018520485914,-0.017000185204859117,0.10122058501954546,5.061029250977273e-05,-0.004617614469076825
2022-03-02,0.9701583989519567,-0.05281294403061498,0.1831568016366189,-0.11649013496995225,0.1005100502349069,5.025502511745346e-05,0.00020835295644405782
2022-03-03,0.9749506936667364,-0.04813412093622804,0.11680731953949587,-0.11680731953949587,0.00031718456954361873,1.5859228477180937e-07,0.004939703372104809
2022-03-04,0.9813095587848304,-0.041925820583398665,0.1164481224329046,-0.1164481224329046,0.00035919710659126913,1.7959855329563457e-07,0.006522242775353071
2022-03-05,0.982117007208285,-0.04113749086746221,0.15169595105061265,-0.11836261771727932,0.06858116195104139,3.4290580975520695e-05,0.0008228274311867789
2022-03-06,0.9827765692569248,-0.04049354588306053,0.11841229496174824,-0.11841229496174824,4.9677244468915305e-05,2.483862223445765e-08,0.0006715717616119221
2022-03-07,0.980419954882166,-0.0427943605068315,0.21849705322457183,-0.21849705322457183,0.10008475826282359,5.00423791314118e-05,-0.0023979146923915895
2022-03-08,0.9825873452486744,-0.04067828945842622,0.21981569524885697,-0.18648236191552364,0.10131864202428521,5.065932101214261e-05,0.0022106754923909566
2022-03-09,0.9723717825149383,-0.05065196880943834,0.18642950497306932,-0.08642950497306931,0.10005285694245432,5.002642847122716e-05,-0.010396595054001145
2022-03-10,0.9786603766124552,-0.044512275604856266,0.15173179464438383,-0.11839846131105049,0.034697710328685495,1.7348855164342748e-05,0.006467273331656864
2022-03-11,0.9793151942848433,-0.04387296265969598,0.11797911009941726,-0.11797911009941726,0.0004193512116332232,2.096756058166116e-07,0.0006690959274908703
2022-03-12,0.979116406849322,-0.044067043220167856,0.11804088854219669,-0.11804088854219669,6.177844277942268e-05,3.088922138971134e-08,-0.00020298616490455057
2022-03-13,0.9793479630434081,-0.04384096979751362,0.1180328614345809,-0.1180328614345809,8.027107615785067e-06,4.0135538078925335e-09,0.00023649506071588
2022-03-14,0.9779090735092013,-0.04524578940557222,0.18543244683424054,-0.18543244683424054,0.06739958539965962,3.369979269982981e-05,-0.001469232171306567
2022-03-15,0.9776600439710651,-0.04548892243965352,0.15209831268337817,-0.11876497935004485,0.06666746748419568,3.333373374209784e-05,-0.00025465510534961044
2022-03-16,0.972095760459292,-0.05092145523408054,0.15235774712578082,-0.11902441379244749,0.06692610110906931,3.3463050554534654e-05,-0.005691429803320935
2022-03-17,0.9687305278023338,-0.05420700614663221,0.09387712595486557,-0.09387712595486557,0.025147287837581925,1.2573643918790963e-05,-0.0034618324591485505
2022-03-18,0.9657008373645203,-0.057164959785327984,0.09433788864928282,-0.09433788864928282,0.0004607626944172494,2.3038134720862468e-07,-0.0031274852509152185
2022-03-19,0.9655536032480577,-0.057308707702638295,0.19428154886401633,-0.02761488219734963,0.1333896731185999,6.669483655929995e-05,-0.00015246348637854013
2022-03-20,0.9684229129625338,-0.054507337303685954,0.16076669313885522,-0.09410002647218856,0.0668481890584944,3.3424094529247206e-05,0.0029716731467051005
2022-03-21,0.965276864803874,-0.0575788935532201,0.09401505654981504,-0.09401505654981504,8.496992237351508e-05,4.248496118675754e-08,-0.003248630444973921
2022-03-22,0.9635515310300266,-0.059263374994168894,0.19426211930912446,0.005737880690875566,0.10024706275930943,5.0123531379654716e-05,-0.0017873978303610816
2022-03-23,0.9612628061652598,-0.06149790759103568,0.1941980019386983,-0.09419800193869828,0.1000641173704262,5.00320586852131e-05,-0.002375300947651815
2022-03-24,0.9587468826973394,-0.06395425919835895,0.09419210162762741,-0.09419210162762741,5.900311070866637e-06,2.9501555354333187e-09,-0.0026173107414364516
2022-03-25,0.9575916357070716,-0.06508215233087356,0.14214007383712013,-0.008806740503786797,0.08538536112384061,4.2692680561920306e-05,-0.0012049551462616215
2022-03-26,0.9575167185689528,-0.06515529558621524,0.11383436852018919,-0.047167701853522516,0.09497237198359762,4.748618599179881e-05,-7.823495457282004e-05
2022-03-27,0.9567333163418447,-0.06592014846996708,0.04716866952933915,-0.04716866952933915,9.676758166363153e-07,4.838379083181576e-10,-0.000818160364111753
2022-03-28,0.957925643997409,-0.0647560526655655,0.10942774591337896,0.09057225408662108,0.13774092361596024,6.88704618079801e-05,0.0012462487040001413
2022-03-29,0.9573144001986188,-0.06535282347627136,0.12817859752198557,0.12817859752198557,0.17093967676869787,8.546983838434894e-05,-0.0006380910696158759
2022-03-30,0.9567979203717761,-0.0658570741297555,0.1282104096856614,0.06154374301899469,0.0666984788303425,3.334923941517124e-05,-0.000539509096212254
2022-03-31,0.9566642252992735,-0.0659876035796455,0.061574576987849315,0.028241243654515982,0.03336416730218796,1.668208365109398e-05,-0.0001397317758063954
2022-04-01,0.9573349811802632,-0.06533272980967653,0.0282710960201394,0.0282710960201394,2.985236562341731e-05,1.4926182811708655e-08,0.0007011403408334616
2022-04-02,0.9575604128876438,-0.0651126358585582,0.028241321183922922,0.028241321183922922,2.977483621647778e-05,1.488741810823889e-08,0.00023547839764725964
2022-04-03,0.9578758494501037,-0.06480466818104869,0.028251258827946574,0.028251258827946574,9.93764402365191e-06,4.968822011825955e-09,0.0003294168787835172
2022-04-04,0.9573075012804367,-0.06535955904234936,0.028241233604406793,0.028241233604406793,1.0025223539780748e-05,5.012611769890374e-09,-0.0005933422060832028
2022-04-05,0.9575275246852536,-0.06514474533638337,0.028235681440034327,0.028235681440034327,5.552164372465973e-06,2.7760821862329866e-09,0.00022983566359058294
2022-04-06,0.9573600929128984,-0.06530821267089726,0.061566392229575426,-0.00510027443709124,0.03333595587712557,1.6667977938562786e-05,-0.000174858443271253
2022-04-07,0.9561610135460957,-0.06647890031998871,0.09569508728666128,-0.037638246046672055,0.10079536172375252,5.0397680861876263e-05,-0.0012524852202214776
