timestamp,equity,drawdown,max_gross_exposure,end_net_exposure,turnover,net_return
2022-01-01,0.9985766347513475,-0.0013637602307452479,0.08621826318778383,0.08621826318778383,0.08621826318778383,-0.0014233652486524973
2022-01-02,0.999786380696777,-0.00015394207560615047,0.08708195968693344,0.08708195968693344,0.0008636964991496077,0.001211470310169327
2022-01-03,0.9999905638406583,-0.0012101394031294177,0.08682195881321265,0.08682195881321265,0.0002600008737207865,0.00020422677066123107
2022-01-04,1.001628848431214,-0.0005915297319902812,0.09269799707986828,0.09269799707986828,0.005876038266655628,0.0016383000498152445
2022-01-05,1.0006172728556928,-0.0016008628797680169,0.12885369005083303,0.12885369005083303,0.03615569297096474,-0.0010099305517251578
2022-01-06,0.9857012284584058,-0.016483841876320016,0.12885820926932284,0.12885820926932284,4.5192184898179555e-06,-0.014906842807857701
2022-01-07,0.9830719179890005,-0.019107323776031415,0.0330940395027918,0.0330940395027918,0.09576416976653104,-0.0026674517526140695
2022-01-08,0.9829445274646194,-0.01923443190525287,0.010504216754124676,-0.010504216754124676,0.043598256256916476,-0.00012958413524921664
2022-01-09,0.983146227729822,-0.019033178762619785,0.010602073331419114,-0.010602073331419114,9.785657729443828e-05,0.0002052000490033734
2022-01-10,0.9834527163684688,-0.018727369537991034,0.01072092017651097,-0.01072092017651097,0.00011884684509185471,0.0003117426787604405
2022-01-11,0.9798399733494167,-0.022332103946147597,0.08571271194128455,-0.08571271194128455,0.07499179176477358,-0.0036735299612495886
2022-01-12,0.9740426706972896,-0.02811655532683377,0.08357831645432014,-0.08357831645432014,0.0021343954869644105,-0.005916581084471018
2022-01-13,0.975207892331551,-0.026953916717887605,0.3105982430456265,-0.03059824304562648,0.5329800734086937,0.001196273704752615
2022-01-14,0.9763059077959847,-0.02585833529832382,0.16083032388408408,-0.08083032388408408,0.21023208083845762,0.0011259296331249669
2022-01-15,0.9742843522711652,-0.02787540950478873,0.08148703033845112,-0.08148703033845112,0.000656706454367037,-0.0020706169128721363
2022-01-16,0.974399612290619,-0.027760404989986887,0.05464556512430762,-0.05464556512430762,0.026841465214143496,0.0001183022381341381
2022-01-17,0.9773195538325021,-0.02484693627928025,0.08744206830117375,-0.08744206830117375,0.03279650317686613,0.0029966571261437203
2022-01-18,0.9754876198817416,-0.02667480925860699,0.25444486577309355,0.02555513422690644,0.3529972025280802,-0.0018744472507254972
2022-01-19,0.9738389207723662,-0.028319853585568877,0.16873855481411706,-0.08873855481411706,0.11429368904102351,-0.0016901281736153573
2022-01-20,0.9700665946611494,-0.03208381732729626,0.08873932024537472,-0.08873932024537472,7.654312576543809e-07,-0.003873665378073654
