sleeve,year,gross_contribution,cost,net_arithmetic_contribution
core,2022,0.017843784849557166,0.001679048324006206,0.016164736525550987
core,2023,-0.03829539004854274,0.003379611486377108,-0.04167500153491985
core,2024,0.033150181014890194,0.0026679418379669073,0.03048223917692322
core,2025,-0.006369380842013826,0.0018443893682060426,-0.008213770210219892
core,2026,0.030916390802174086,0.0015487786569354733,0.0293676121452386
tactical_long,2022,0.005248984597838015,0.002533333333333333,0.0027156512645046815
tactical_long,2023,0.021118047760207863,0.0026000000000000003,0.018518047760207858
tactical_long,2024,0.02018332628652751,0.0027000000000000006,0.017483326286527517
tactical_long,2025,0.032678416724727676,0.0031000000000000008,0.029578416724727667
tactical_long,2026,-0.012099704539323936,0.0013333333333333335,-0.013433037872657273
tactical_short,2022,9.565007371947244e-06,0.0032666666666666677,-0.0032571016592947205
tactical_short,2023,-0.0013278518462095368,0.0012333333333333335,-0.0025611851795428707
tactical_short,2024,0.029718498800727827,0.001866666666666667,0.027851832134061158
tactical_short,2025,-0.008566779383046154,0.0023,-0.010866779383046152
tactical_short,2026,0.009018139198223961,0.001666666666666667,0.007351472531557295
