sleeve,period,gross_arithmetic_contribution,trading_cost,compounded_return,active_bar_rate,mean_signed_exposure
core,2022,0.017843784849557166,0.0017220727402236858,0.011656465416734818,1.0,-0.08881191998016663
core,2023,-0.03829539004854274,0.003379611486377108,-0.045056170614975355,1.0,0.09806776050659424
core,2024,0.033150181014890194,0.0026679418379669073,0.023109581126883993,1.0,0.10184464193525665
core,2025,-0.006369380842013826,0.0018443893682060426,-0.013729643411228842,1.0,0.023254637967038198
core,2026,0.030916390802174086,0.0015487786569354733,0.025785076844093036,1.0,-0.15485558939252306
absorption_long,2022,-0.0005613620025080482,0.00024,-0.0008038248503745571,0.0027397260273972603,0.00032876712328767124
absorption_long,2023,-0.003018886530506486,0.0006000000000000001,-0.0036184917404065153,0.00684931506849315,0.0008219178082191781
absorption_long,2024,0.0,0.0,0.0,0.0,0.0
absorption_long,2025,0.015271668282092773,0.00048,0.014878042165858085,0.005479452054794521,0.0006575342465753425
absorption_long,2026,0.0006463846683694999,0.00012,0.0005231105309781992,0.002202744252214217,0.00026432931026570603
absorption_short,2022,0.002404816937737886,0.00036,0.0020282726410889573,0.00410958904109589,-0.0004931506849315068
absorption_short,2023,-0.000511275144003958,0.0006000000000000001,-0.0011173800559126645,0.00684931506849315,-0.000821917808219178
absorption_short,2024,0.00647201349214574,0.00072,0.005759037598478178,0.00819672131147541,-0.0009836065573770492
absorption_short,2025,-0.0002889038652376507,0.00024,-0.0005352118296282349,0.0027397260273972603,-0.00032876712328767124
absorption_short,2026,-0.003565317737641478,0.00048,-0.004049674544884363,0.008810977008856868,-0.0010573172410628241
breakout_long,2022,0.0061782910521169165,0.0027,0.003203060804204849,0.0771689497716895,0.007716894977168949
breakout_long,2023,0.019675346916393298,0.0026000000000000003,0.017065473149351806,0.08036529680365297,0.008036529680365296
breakout_long,2024,0.01737473898337278,0.0026000000000000003,0.014741842734722566,0.09198542805100182,0.009198542805100183
breakout_long,2025,0.038388195112686374,0.0032,0.035571707334170144,0.10821917808219178,0.010821917808219178
breakout_long,2026,-0.005247106827456839,0.0012000000000000001,-0.006494965869836666,0.0653480794823551,0.006534807948235509
breakout_short,2022,-0.0005065663227278982,0.0032,-0.0042143446911321325,0.10547945205479452,-0.010547945205479452
breakout_short,2023,-0.0038873495761680963,0.0012000000000000001,-0.00527515589933214,0.03287671232876712,-0.003287671232876712
breakout_short,2024,0.024955135196058697,0.0018000000000000002,0.023086055356572377,0.061930783242258654,-0.006193078324225865
breakout_short,2025,-0.024042497948314753,0.0024000000000000002,-0.026466478564923346,0.07625570776255708,-0.007625570776255707
breakout_short,2026,0.011475942482165602,0.0018000000000000002,0.009615552374839131,0.08370428158414024,-0.008370428158414022
flow_reversal_long,2022,-0.006946391837371069,0.0024000000000000002,-0.0093320466690624,0.028310502283105023,0.002264840182648402
flow_reversal_long,2023,0.003484463695701461,0.0019200000000000003,0.0015557323462447314,0.0228310502283105,0.00182648401826484
flow_reversal_long,2024,0.00018071377171422756,0.00256,-0.002406981695091459,0.03051001821493625,0.0024408014571948994
flow_reversal_long,2025,0.004535321114808265,0.00184,0.0026746843626046513,0.021917808219178082,0.0017534246575342464
flow_reversal_long,2026,-0.001988283668881188,0.0008000000000000001,-0.0027940433899646955,0.014684961681428112,0.001174796934514249
flow_reversal_short,2022,0.008268958737944318,0.0016,0.006639519987858167,0.01872146118721461,-0.001497716894977169
flow_reversal_short,2023,0.004569140948511725,0.00216,0.0023924483214881054,0.026484018264840183,-0.0021187214611872148
flow_reversal_short,2024,0.00424000804038215,0.0019200000000000003,0.002307066085310394,0.02185792349726776,-0.0017486338797814208
flow_reversal_short,2025,0.00558196304460136,0.00136,0.004211084052362368,0.015525114155251141,-0.0012420091324200915
flow_reversal_short,2026,-0.004190091286677972,0.0004,-0.004586037600038839,0.007342480840714056,-0.0005873984672571245
failed_sweep_long,2022,0.00862565769885887,0.0028000000000000004,0.005572813096240914,0.05707762557077625,0.004566210045662101
failed_sweep_long,2023,0.0033005164172857176,0.0017600000000000003,0.001523068673296546,0.030136986301369864,0.002410958904109589
failed_sweep_long,2024,-0.007691478499218479,0.0020000000000000005,-0.00971511187323415,0.03506375227686703,0.002805100182149363
failed_sweep_long,2025,0.008316715948684859,0.0028000000000000004,0.005420313307120006,0.05251141552511415,0.004200913242009133
failed_sweep_long,2026,0.0018408620998890696,0.0013600000000000003,0.0004435804258018372,0.037446652287641685,0.002995732183011335
failed_sweep_short,2022,0.0032663264162318246,0.0026400000000000004,0.0005469677089229297,0.047488584474885846,-0.0037990867579908677
failed_sweep_short,2023,-0.010386856450047253,0.0024800000000000004,-0.012819251636139284,0.043835616438356165,-0.003506849315068493
failed_sweep_short,2024,0.006829834051418222,0.004400000000000001,0.0023269772684704204,0.08287795992714025,-0.00663023679417122
failed_sweep_short,2025,-0.0055440981518783,0.00264,-0.008228336706101569,0.056164383561643834,-0.004493150684931507
failed_sweep_short,2026,-0.00287952129373398,0.0008800000000000001,-0.0037662121036271534,0.025698682942499197,-0.0020558946353999357
