date,return
2022-06-13,0.04931205574855113
2024-05-21,0.032945108966268455
2026-06-05,0.030569369215411424
2025-04-07,0.029264485503543547
2026-02-01,0.029029471773881266
2024-01-10,0.0257747158844579
2022-05-12,0.022821115321209895
2022-11-09,0.021012409499534535
2025-08-22,0.02090433566533978
2023-11-09,0.019571259205524827
2024-01-11,0.018922654519646365
2024-04-08,0.01855810170462835
2022-01-21,0.01805993437256226
2023-12-27,0.017982104393013953
2025-02-25,0.01774469896049813
2024-03-05,0.017380766930531033
2022-06-11,0.016770528234705928
2022-07-26,0.016565574464326493
2025-08-09,0.016071541392039812
2023-02-16,0.016015080048924046
