quantile,cagr,max_drawdown,calmar,probability_calmar_ge_1,probability_cagr_positive
0.025,-0.08624416221669212,0.1137178743584957,-0.22315167775624414,0.0235,0.615
0.05,-0.06820968574616096,0.12099772218676609,-0.1969184769155352,0.0235,0.615
0.5,0.015140082117044873,0.21302435517108853,0.0713270171370913,0.0235,0.615
0.95,0.10862158357265424,0.3725263050229348,0.787418569897512,0.0235,0.615
0.975,0.12733935017055903,0.4205440381150053,0.9743687436652216,0.0235,0.615
