candidate,total_return,cagr,max_drawdown,calmar,max_consecutive_flat_days,max_consecutive_losing_days,positive_month_rate,annual_volatility,max_gross_exposure,total_cost,hedged_bar_rate
2022,0.010153671542600495,0.01016095277441087,0.10831548787354106,0.09380886310805191,0,7,0.3333333333333333,0.10470961938033786,0.29927023828907584,0.0075220727402236865,0.1141552511415525
2023,-0.0299300340541524,-0.029951065814726507,0.12317346338843582,-0.24316167614994963,0,7,0.4166666666666667,0.09664153630272623,0.42613633561947817,0.007212944819710442,0.07260273972602739
2024,0.07026140368282063,0.07011455606129302,0.1289195036882499,0.5438630622628084,0,9,0.4166666666666667,0.12566261866484116,0.4237732132964478,0.0072346085046335745,0.09881602914389799
2025,0.0043472579730292615,0.004350366438152342,0.11842924715056713,0.036733885782634645,0,7,0.4166666666666667,0.1110438663707092,0.3385307114560431,0.007244389368206044,0.10273972602739725
2026,0.01923694903967288,0.03113661444248228,0.09511233398303831,0.32736673718925846,0,9,0.5,0.11668918466507484,0.3719410332367365,0.004548778656935475,0.09692074709742554
mechanism_development_2022_2023,-0.020080262246594316,-0.010098065748988638,0.1700945108566152,-0.05936738168759025,0,7,0.375,0.1007564272979509,0.42613633561947817,0.014735017559934126,0.09337899543378995
frozen_like_validation_2024_2025,0.07491410610321081,0.036755563863317686,0.1726728907750632,0.21286238794251883,0,9,0.4166666666666667,0.11858884486356819,0.4237732132964478,0.014478997872839619,0.10077519379844961
recent_holdout_like_2026,0.01923694903967288,0.03113661444248228,0.09511233398303831,0.32736673718925846,0,9,0.5,0.11668918466507484,0.3719410332367365,0.004548778656935475,0.09692074709742554
