side,setup_day,release_bar_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,notional,underlying_return,net_account_contribution,exit_reason,ambiguous_bar_loss_first
long,2020-01-11,2020-01-12 00:48:00,2020-01-12 00:50:00,2020-01-14 00:50:00,145.66,143.06,140.76,155.46,0.1486326530612243,-0.017849787175614362,-0.0028016938775510046,time,False
long,2020-01-20,2020-01-21 03:50:00,2020-01-21 03:52:00,2020-01-23 03:52:00,167.77,168.2,161.36,180.59,0.13086583463338541,0.002563032723371217,0.00020454758190326775,time,False
short,2020-01-21,2020-01-22 03:40:00,2020-01-22 03:42:00,2020-01-22 05:03:00,165.6,169.75,169.24,158.31999999999996,0.22747252747252655,-0.025060386473430007,-0.005928021978021967,stop,False
short,2020-02-19,2020-02-20 04:38:00,2020-02-20 04:40:00,2020-02-22 04:40:00,272.03,262.86,286.28,243.52999999999997,0.09544912280701753,0.03370951733264693,0.0031220947368420853,time,False
long,2020-02-22,2020-02-23 12:03:00,2020-02-23 12:05:00,2020-02-25 12:05:00,268.16,261.67,255.77,292.94000000000005,0.10821630347054063,-0.024201968973747046,-0.00272726392251816,time,False
long,2020-03-04,2020-03-05 13:52:00,2020-03-05 13:54:00,2020-03-07 13:54:00,228.87,243.44,219.92,246.77000000000004,0.12786033519553047,0.06366059334993657,0.008011804469273718,time,False
long,2020-03-26,2020-03-27 07:29:00,2020-03-27 07:31:00,2020-03-28 07:44:00,139.07,132.42,133.17,150.87,0.1178559322033897,-0.047817645789890006,-0.00575344915254237,stop,False
short,2020-04-01,2020-04-02 00:02:00,2020-04-02 00:04:00,2020-04-02 07:31:00,129.58,134.71,135.0,118.74000000000004,0.11953874538745417,-0.03958944281524923,-0.004852011070110709,stop,False
short,2020-04-15,2020-04-16 07:02:00,2020-04-16 07:04:00,2020-04-16 15:17:00,153.37,161.02,161.82,136.47000000000003,0.09075147928994096,-0.049879376670796116,-0.004617378698224859,stop,False
long,2020-04-17,2020-04-18 07:30:00,2020-04-18 07:32:00,2020-04-19 06:38:00,174.3,186.58,168.24,186.42000000000002,0.14381188118811877,0.07045324153757893,0.009988201320132017,target,False
long,2020-04-24,2020-04-25 13:15:00,2020-04-25 13:17:00,2020-04-27 13:17:00,191.69,196.9,182.61,209.84999999999997,0.10555616740088125,0.02717929991131518,0.002763386563876661,time,False
long,2020-04-28,2020-04-29 10:02:00,2020-04-29 10:04:00,2020-04-30 00:07:00,198.04,210.96,191.18,211.75999999999996,0.14434402332361548,0.06523934558675015,0.00927256559766766,target,False
long,2020-05-02,2020-05-03 00:31:00,2020-05-03 00:33:00,2020-05-03 22:51:00,214.55,208.17,208.27,227.11,0.1708200636942675,-0.02973665812165005,-0.005250437898089186,stop,False
short,2020-05-09,2020-05-10 08:14:00,2020-05-10 08:16:00,2020-05-10 08:21:00,205.6,184.66,215.0,186.79999999999998,0.1093617021276595,0.10184824902723733,0.011028936170212755,target,False
short,2020-05-19,2020-05-20 23:20:00,2020-05-20 23:22:00,2020-05-22 02:46:00,208.79,194.64,216.07,194.23,0.14339972527472525,0.06777144499257626,0.009575006868131865,target,False
short,2020-05-23,2020-05-24 22:00:00,2020-05-24 22:02:00,2020-05-26 22:02:00,204.42,201.29,211.17,190.92,0.1514222222222222,0.015311613345073805,0.0021670962962962864,time,False
long,2020-06-03,2020-06-04 02:41:00,2020-06-04 02:43:00,2020-06-06 02:43:00,241.52,242.69,232.31,259.94000000000005,0.13111834961997818,0.004844319311030132,0.0005040608034744824,time,False
short,2020-06-06,2020-06-07 20:00:00,2020-06-07 20:02:00,2020-06-08 07:01:00,237.65,244.37,244.84,223.27,0.16526425591098756,-0.028276877761413743,-0.004838421418636982,stop,False
long,2020-06-10,2020-06-11 02:36:00,2020-06-11 02:38:00,2020-06-11 21:19:00,247.62,241.06,240.5,261.86,0.17389044943820214,-0.026492205799208524,-0.0047806320224719175,stop,False
