candidate,total_return,cagr,max_drawdown,calmar,max_consecutive_flat_days,max_consecutive_losing_days,positive_month_rate,annual_volatility,max_gross_exposure,hedged_bar_rate,total_cost
pinned_10s_release_1m,-0.9998598377244836,-0.8533756561743409,0.9998602706842368,-0.8534949144347422,43,98,0.0,0.06822676087536313,0.6,0.009235127548680042,8.807489718835734
pinned_10s_release_2m,-0.9999405009456109,-0.878189049107132,0.9999406157031566,-0.8782412028434218,42,81,0.0,0.0747379511866566,0.6,0.013625598022642684,9.604604358745075
daily_pa_core_only,0.18840907677582908,0.0380569313575676,0.12084501071044562,0.31492348036407625,0,9,0.4642857142857143,0.06003047192865409,0.30000000000000004,0.0,0.008926783175560804
core_plus_pinned_10s_1m,-0.9998335689743694,-0.8478230942691467,0.999834546666518,-0.8479633926391295,0,58,0.017857142857142856,0.0910939517133076,0.7500000000000002,0.09626904631921666,8.81726360265547
core_plus_pinned_10s_2m,-0.999929385044596,-0.8735897909891077,0.9999297805661136,-0.8736511382774518,0,66,0.017857142857142856,0.09607203556114428,0.7500000000000002,0.11795645650525627,9.61478683853072
