sleeve,side,entry_time,exit_time,bars,days,gross_contribution,max_notional
core,LONG,2024-08-25 00:15:00,2024-08-29 00:15:00,384,4.0,-0.007909180573099195,0.07336174277068883
core,SHORT,2024-08-29 00:15:00,2024-09-21 00:15:00,2208,23.0,-0.0019008488337313703,0.03531249094542685
core,LONG,2024-09-21 00:15:00,2024-10-02 00:15:00,1056,11.0,-0.0017124478306870222,0.0982374885629412
core,SHORT,2024-10-02 00:15:00,2024-10-15 00:15:00,1248,13.0,-0.0013086166523604273,0.03266344754571413
core,LONG,2024-10-15 00:15:00,2024-12-20 00:15:00,6336,66.0,0.029934293553016817,0.10865090716464587
core,SHORT,2024-12-20 00:15:00,2025-01-04 00:15:00,1440,15.0,-0.0002318305825505418,0.025367660817393323
core,LONG,2025-01-04 00:15:00,2025-01-11 00:15:00,672,7.0,-0.0077082405638550094,0.0804133821840107
core,SHORT,2025-01-11 00:15:00,2025-03-20 00:15:00,6528,68.0,0.017366937773392956,0.1492727729838731
core,LONG,2025-03-20 00:15:00,2025-03-30 00:15:00,960,10.0,-0.002247088785886391,0.024785087698315365
core,SHORT,2025-03-30 00:15:00,2025-04-23 00:15:00,2304,24.0,0.0030115703265200886,0.16555831937076682
core,LONG,2025-04-23 00:15:00,2025-06-22 00:15:00,5760,60.0,0.020187583277278084,0.07067533363140613
core,SHORT,2025-06-22 00:15:00,2025-07-04 00:15:00,1152,12.0,-0.007853330642183253,0.17253967182669103
core,LONG,2025-07-04 00:15:00,2025-08-03 00:15:00,2880,30.0,0.011196068951468465,0.2003090010521398
core,SHORT,2025-08-03 00:15:00,2025-08-09 00:15:00,576,6.0,-0.007908671626856071,0.06116792765236035
core,LONG,2025-08-09 00:15:00,2025-09-23 00:15:00,4320,45.0,0.012376511618187147,0.18823978213424036
core,SHORT,2025-09-23 00:15:00,2025-10-07 00:15:00,1344,14.0,-0.008213689619089424,0.07352517453783175
core,LONG,2025-10-07 00:15:00,2025-11-04 00:15:00,2688,28.0,-0.031095572425277402,0.2147614704781787
core,SHORT,2025-11-04 00:15:00,2025-12-05 00:15:00,2976,31.0,-0.0024778263017802126,0.18961684103915574
core,LONG,2025-12-05 00:15:00,2025-12-18 00:15:00,1248,13.0,-0.0022199802927684734,0.02383399931197939
core,SHORT,2025-12-18 00:15:00,2026-01-03 00:15:00,1536,16.0,-0.00624987151345097,0.09388791647615705
core,LONG,2026-01-03 00:15:00,2026-01-21 00:15:00,1728,18.0,0.00046280894349564434,0.1547642303453831
core,SHORT,2026-01-21 00:15:00,2026-02-26 00:15:00,3456,36.0,0.0271951928499333,0.1882558257144842
core,LONG,2026-02-26 00:15:00,2026-03-23 00:15:00,2400,25.0,-0.00046034970621004496,0.14891424064255918
core,SHORT,2026-03-23 00:15:00,2026-04-09 00:15:00,1632,17.0,-0.002887141336569381,0.06705720465290471
core,LONG,2026-04-09 00:15:00,2026-05-13 00:15:00,3264,34.0,0.003939777342595551,0.1687597591204786
core,SHORT,2026-05-13 00:15:00,2026-06-16 00:15:00,3264,34.0,0.03661656177885453,0.3171991835074644
core,LONG,2026-06-16 00:15:00,2026-06-24 00:15:00,768,8.0,-0.005088756431903489,0.05979811471240125
