date,net_return,equity,drawdown,max_gross_exposure,end_net_exposure,hedged_bar_rate,trading_cost,carry_cost,flat_day,losing_day
2022-01-01,0.0006605741180101266,1.0006605741180101,-0.0011577348843780921,0.04303914808444723,-0.04303914808444723,0.0,2.1519574042223615e-05,3.5359372744917075e-06,False,False
2022-01-02,-0.0006039016447866308,1.000056273551427,-0.0017609373711640064,0.04312389246800842,-0.04312389246800842,0.0,4.2372191780593736e-08,3.5443569627955882e-06,False,True
2022-01-03,-0.00010667937983710463,0.9999495881683629,-0.0018674288952937879,0.04355588858550386,-0.04355588858550386,0.0,2.1599805874772048e-07,3.579566188433968e-06,False,True
2022-01-04,-0.0007732983845093466,0.9991763287672416,-0.0026392832000551314,0.04355588858550386,-0.043425843635566716,0.0,6.50224749685728e-08,3.5693587619557724e-06,False,True
2022-01-05,0.0003665483292170091,0.9995425751811442,-0.0022737022956855757,0.048556196921248636,-0.048556196921248636,0.0,2.56517664284096e-06,3.986527869138858e-06,False,False
2022-01-06,0.005642497181605144,1.0051824913444989,-0.0012792860384035487,0.048556196921248636,-0.048412920541174694,0.0,7.163819003697115e-08,3.9792668222027775e-06,False,False
2022-01-07,0.0038430220145944105,1.009045429787423,-0.00025029466309622883,0.04852297715753715,-0.04852297715753715,0.0,5.502830818122917e-08,3.988095676804113e-06,False,False
2022-01-08,-0.0004474216693004518,1.0085939609968273,-0.0006976043451408787,0.04852297715753715,-0.04414049485059686,0.0,2.1912411534701465e-06,3.63173800339404e-06,False,True
2022-01-09,0.0007974751483965647,1.0093982896155453,-0.001256643470601726,0.04414049485059686,-0.04203125389143376,0.0,1.0546204795815507e-06,3.4564294645006877e-06,False,False
2022-01-10,0.0012285769623561205,1.010638413100009,-0.000845035466297217,0.04242281422777147,-0.04242281422777147,0.0,1.957801681688569e-07,3.4864714088439417e-06,False,False
2022-01-11,-0.001820419896010006,1.0087986268251297,-0.002663917042931563,0.04289836438416843,-0.04289836438416843,0.0,2.3777507819847805e-07,3.5254858139758324e-06,False,True
2022-01-12,-0.0030413140952748607,1.0057305533420733,-0.005697129329754302,0.04289836438416843,-0.04287103029258255,0.0,1.3667045792937344e-08,3.5236697278934167e-06,False,True
