period,return,max_drawdown,profit_factor_15m,positive_bar_rate,mean_gross_exposure,hedged_bar_rate,trading_cost,carry_cost
2022-01,0.019195331731094,-0.006727253483872042,1.1041984313355862,0.5057123655913979,0.04617228103327474,0.0967741935483871,9.36573729763765e-05,0.0001176444420847822
2022-02,-0.0051679760878146075,-0.017949062985210595,0.9824999176772697,0.4947916666666667,0.07016073789971992,0.013020833333333334,0.00024057988972261317,0.00016146580776921844
2022-03,0.011175523450262403,-0.02390629368165842,1.0284909405204985,0.5023521505376344,0.13954024958057507,0.09307795698924731,0.00041589429196413477,0.0003555409098902324
2022-04,0.0017288244530635488,-0.017262662702841824,1.0070723268980695,0.49930555555555556,0.10428561015956041,0.134375,0.00040378501711322385,0.0002571426003934366
2022-05,0.050361588889447306,-0.034055460970896845,1.0655818612343462,0.5070564516129032,0.14963939659886208,0.0003360215053763441,0.00046761594264614777,0.0003812729831149089
2022-06,0.057611079149944455,-0.02907671125586675,1.102977813882415,0.5114583333333333,0.09915581507712684,0.15069444444444444,0.00044261037735473483,0.0002444937906011346
2022-07,-0.013747821960426898,-0.03186529984876252,0.9586350206777381,0.5067204301075269,0.06482121564687854,0.057459677419354836,0.00019794125558650854,0.00016516090562081383
2022-08,0.0034542639928867303,-0.012455212006736383,1.0134041021679934,0.4986559139784946,0.06646570292257402,0.07190860215053764,0.00026071194764940996,0.00016935096909039406
2022-09,0.002460613074320772,-0.016648513074495885,1.0069197414164903,0.5006944444444444,0.1120571353747448,0.128125,0.00038521915132173185,0.00027630526530758993
2022-10,-0.010831575798182835,-0.035164248494308326,0.9744987261290065,0.4986559139784946,0.16479349000390198,0.00571236559139785,0.0004939019293263903,0.0004198847827496681
2022-11,0.021439291619511858,-0.033372299998148836,1.0571220210426568,0.5069444444444444,0.0988557582236533,0.153125,0.0003123224173197486,0.00024375392438709035
2022-12,-0.026157352742510853,-0.029669335560814192,0.9012049335528497,0.4835349462365591,0.15409734520034338,0.10349462365591398,0.000868674458549264,0.0003926315918803269
2023-01,0.011315238604689748,-0.010768664167888797,1.053588055152975,0.5060483870967742,0.10640613135784358,0.027553763440860215,0.00044343311975110613,0.0002711169922268343
2023-02,-0.024660764026057325,-0.034783683628491824,0.8904420998044006,0.4851190476190476,0.10311443641309793,0.0744047619047619,0.0008092789596674138,0.00023730445640274592
2023-03,-0.04234280881138919,-0.044402778475584936,0.7642420251795453,0.489247311827957,0.05623426782589106,0.10047043010752688,0.0005931853861432307,0.00014328183309062653
2023-04,-0.006039145689451297,-0.01575829424792441,0.9492877731601497,0.4947916666666667,0.05088328292317937,0.06145833333333333,0.00021340768980265086,0.00012546562912564774
2023-05,-0.011380647598549731,-0.022924875507210674,0.921112416820092,0.4801747311827957,0.08282483544978896,0.033602150537634407,0.0004240200516688429,0.00021103314237891436
2023-06,-0.0042076069876215705,-0.010061123807652561,0.9736885737857368,0.5083333333333333,0.07802927575971348,0.005555555555555556,0.0004644503851428623,0.00019240095392806064
2023-07,-0.002189939639824501,-0.013831887432812384,0.9878929746282196,0.4862231182795699,0.1196790998469569,0.0967741935483871,0.0002790984993145293,0.00030493578865115045
2023-08,-0.017594638094471482,-0.07885342134978612,0.9457935828348473,0.5067204301075269,0.14452391534484102,0.028561827956989246,0.0010781526815069626,0.0003682390171800059
2023-09,-0.011320279510540598,-0.012452740134198392,0.8304584009463309,0.49409722222222224,0.05625143580439186,0.190625,0.000436501601893574,0.00013870217047658265
2023-10,-3.414177320448797e-05,-0.009505584852700921,1.000066519439611,0.5016801075268817,0.0674622257659037,0.1028225806451613,0.00033947047147287444,0.00017189005469120665
2023-11,0.006499885677459627,-0.013514881201258877,1.0272154522392822,0.5125,0.09799321022002044,0.046875,0.001358295835005823,0.00024162709369320105
2023-12,0.014581451290155645,-0.011022919961427569,1.0481350192072032,0.5131048387096774,0.11854424985742906,0.09341397849462366,0.0003717316345290924,0.00030204425306139455
2024-01,-0.013926565585114181,-0.02159254413606515,0.9352543065637547,0.5016801075268817,0.07937784873228756,0.1639784946236559,0.0007756591024434957,0.0002022504090987053
2024-02,0.050074370496505205,-0.01007350267589302,1.1898648955004003,0.5179597701149425,0.10889384088121995,0.06824712643678162,0.0004597215205189288,0.00025955518237441463
2024-03,-0.0041909497652756755,-0.02420163614669446,0.9898184175394606,0.5063844086021505,0.09596327428553743,0.04435483870967742,0.002561470080525569,0.00024450916461794467
2024-04,-0.028638019492133404,-0.029572767858746518,0.834501270017874,0.4861111111111111,0.04530604855260537,0.029166666666666667,0.0003646804988452201,0.00011171354437628723
2024-05,0.021452692137965856,-0.004629199566848707,1.1385754259307748,0.5040322580645161,0.05114926303616012,0.014112903225806451,0.0002595750598171365,0.00013032551951679155
2024-06,-0.0008396076128076579,-0.0055285289864411835,0.9885862590817813,0.50625,0.043615722149838644,0.07118055555555555,0.00015183875094854486,0.0001075456162598761
2024-07,-0.005964621004408532,-0.014573191092166815,0.9636278524730894,0.5030241935483871,0.056984316473481955,0.02956989247311828,0.00029566986813673376,0.00014519291594613213
2024-08,-0.005419451656382024,-0.016169762547869837,0.9568499556754323,0.49361559139784944,0.03984179371136563,0.21236559139784947,0.00038246001514268804,0.00010151470726457544
2024-09,-0.0017469746469154224,-0.008085340278580877,0.9844201671671564,0.48854166666666665,0.06001489403246203,0.2013888888888889,0.00028448889401750765,0.00014798193049100225
2024-10,-0.012200983434869417,-0.01950317433995663,0.9334374872196535,0.49126344086021506,0.08344574960106575,0.14919354838709678,0.0005489885889241394,0.00021261519761367435
2024-11,0.03161645385438261,-0.011704473816290029,1.0976978911701942,0.5222222222222223,0.08490162752786412,0.017361111111111112,9.04366219236666e-05,0.00020934647883582932
2024-12,-0.0033331359150490236,-0.010402839967680544,0.9823683555855426,0.5026881720430108,0.056421105229965254,0.09341397849462366,0.00021208060251733498,0.0001437578845585416
2025-01,-0.010241192463654292,-0.013930556992759136,0.9285099742264046,0.49193548387096775,0.04605302617512976,0.11088709677419355,0.0004316993221688654,0.00011734058724074159
2025-02,0.017839653585955295,-0.008580078982022288,1.100617371132225,0.5033482142857143,0.05293680211470088,0.10342261904761904,0.00012270302763297387,0.00012182716103109242
2025-03,0.0002073701866496247,-0.014573806665891809,1.0014431735245575,0.4932795698924731,0.058662357049464396,0.11626344086021505,0.00030162854505553973,0.00014946847138630655
2025-04,0.007561716763439197,-0.026074543597213062,1.02481678771198,0.4947916666666667,0.07447947742620933,0.14340277777777777,0.0007122479533689956,0.0001836480265303792
2025-05,0.024185336825070625,-0.006524007917221408,1.1408789428851382,0.5255376344086021,0.04390220726608978,0.01478494623655914,0.0002862765475195094,0.0001118604185135986
2025-06,-0.0038434949612029534,-0.02144955532080417,0.9867017002672905,0.49895833333333334,0.09814124879196597,0.15590277777777778,0.0004300441627123225,0.00024199212030895717
2025-07,0.022605454098685973,-0.013073447266867877,1.0599003691190274,0.5174731182795699,0.1099495168349246,0.0,0.0001880462136306874,0.0002801453442643284
2025-08,0.0019268993542633783,-0.026574054069405162,1.0045094427209182,0.49764784946236557,0.15665921954816464,0.1515456989247312,0.0005415295142348012,0.00039915910734189894
2025-09,-0.015801518103253143,-0.026781708032580842,0.9539525118171134,0.496875,0.14681954384477344,0.06493055555555556,0.0003820687570042872,0.0003620207930419071
2025-10,-0.031839733538449155,-0.04407954971368133,0.9090410606957683,0.5020161290322581,0.09686470964634902,0.057459677419354836,0.000564318505754941,0.00024680597252357426
2025-11,-0.003965408549408189,-0.02153482719001032,0.9843105295161249,0.5107638888888889,0.06572238593652767,0.10486111111111111,0.0009383833793494249,0.0001620551981996573
2025-12,-0.013740372064172002,-0.02044716858205775,0.9040734653339041,0.4909274193548387,0.06468929532774872,0.15053763440860216,0.000264229641860136,0.0001648247798761817
2026-01,0.015921146893298488,-0.012230365139253019,1.06779262118104,0.49831989247311825,0.09023229554961794,0.07056451612903226,0.0005520200213590871,0.00022990694482505393
2026-02,0.001997963006921566,-0.03151578748129691,1.006545637276731,0.5,0.07845738734840692,0.005952380952380952,0.001424763212637072,0.0001805594667744159
2026-03,-0.0022571205420184315,-0.011478500385363244,0.9857183113718555,0.5003360215053764,0.04675859592920842,0.04502688172043011,0.00047717859318894456,0.00011913834031277762
2026-04,0.003410632730701524,-0.008980702585405953,1.0199484893430266,0.5086805555555556,0.07458212301743772,0.06979166666666667,0.0005520245075959127,0.00018390112524847656
2026-05,0.005942685881536791,-0.016704197171086177,1.020752550047528,0.49126344086021506,0.14007747239994597,0.0,0.002062731834218814,0.0003569097241971226
2026-06,0.03021161180886267,-0.04508085350498625,1.058383198823486,0.5131944444444444,0.15834270600746175,0.10555555555555556,0.001367925563743609,0.0003904340696074399
2026-07,-0.008040499267339851,-0.020007740902885818,0.9561011100320795,0.5047043010752689,0.09833805352425865,0.2006048387096774,0.0004454036396093345,0.0002505599719933166
2026-08,0.005498289967589054,-0.003830132527946173,1.0818465961874622,0.5003474635163307,0.12793782452668878,0.21403752605976373,0.0005606365506412911,0.00015762202867628864
