period,return,max_drawdown,profit_factor_15m,positive_bar_rate,mean_gross_exposure,hedged_bar_rate,trading_cost,carry_cost
2022,0.1137127589842073,-0.058570784095732464,1.024782103987607,0.5013413242009133,0.10615493242965321,0.08396118721461188,0.004582914051530284,0.0031846479728895962
2023,-0.08525601503597491,-0.1282753869442489,0.9618350249286763,0.4982305936073059,0.0902680461635457,0.07177511415525115,0.006811026315898963,0.0027080413849063707
2024,0.0246115851421973,-0.060538251246101904,1.0108245005327159,0.5019068761384335,0.06702665037323567,0.09144467213114754,0.006387069603760965,0.0020163085509537744
2025,-0.006617870296776851,-0.07726496411261274,0.9986307646329351,0.5019691780821918,0.08470493267528746,0.09757420091324201,0.005163175570292484,0.002541147980258623
2026,0.05341410821122272,-0.05718928504837828,1.0269747474510698,0.502179798999587,0.10018030344956878,0.08122619430039925,0.007442683922994065,0.0018690316716348917
