timestamp,next_timestamp,raw_core_position,raw_swing_long_position,raw_swing_short_position,core_position,swing_long_position,swing_short_position,long_gross_exposure,short_gross_exposure,gross_exposure,net_exposure,hedged,risk_speed,turnover,price_return,gross_return,trading_cost,carry_cost,net_return,equity_before,equity,drawdown,intrabar_equity_ratio,maintenance_required,maintenance_headroom,liquidated,sweep_long_signal,sweep_short_signal,daily_core_regime
2022-01-01,2022-01-02 00:00:00,-0.04303914808444723,0.0,0.0,-0.04303914808444723,0.0,0.0,0.0,0.04303914808444723,0.04303914808444723,-0.04303914808444723,False,1.0,0.0,-0.0024715689241043837,0.0001063742209254465,0.0,3.684858568873907e-08,0.00010633737233975776,1.0005541778158575,1.0006605741180101,-0.0011577348843780921,0.9999070729866625,0.00021519574042223617,0.9996918772462402,False,False,False,-0.3333333333333333
2022-01-02,2022-01-03 00:00:00,-0.04312389246800842,0.0,0.0,-0.04312389246800842,0.0,0.0,0.0,0.04312389246800842,0.04312389246800842,-0.04312389246800842,False,1.0,0.0,0.0024365385227889114,-0.0001050730252509091,0.0,3.6921140811651046e-08,-0.00010510994639172075,1.0001614004626125,1.000056273551427,-0.0017609373711640064,0.9997180514653592,0.0002156194623400421,0.9995024320030191,False,False,False,-0.3333333333333333
2022-01-03,2022-01-04 00:00:00,-0.04355588858550386,0.0,0.0,-0.04355588858550386,0.0,0.0,0.0,0.04355588858550386,0.04355588858550386,-0.04355588858550386,False,1.0,0.0,-0.005559934836302571,0.00024216790227265644,0.0,3.729100050128755e-08,0.00024213061127215514,0.9997075283734245,0.9999495881683629,-0.0018674288952937879,0.9999675744687617,0.00021777944292751932,0.9997497950258342,False,False,False,-0.3333333333333333
2022-01-04,2022-01-05 00:00:00,-0.043425843635566716,0.0,0.0,-0.043425843635566716,0.0,0.0,0.0,0.043425843635566716,0.043425843635566716,-0.043425843635566716,False,1.0,0.0,-0.0014132937783954969,6.137347463172212e-05,0.0,3.7179660646889316e-08,6.133629497107523e-05,0.999115046752024,0.9991763287672416,-0.0026392832000551314,0.9999013148134083,0.0002171292181778336,0.9996841855952304,False,False,False,-0.3333333333333333
2022-01-05,2022-01-06 00:00:00,-0.048556196921248636,0.0,0.0,-0.048556196921248636,0.0,0.0,0.0,0.048556196921248636,0.048556196921248636,-0.048556196921248636,False,1.0,0.0,0.0014182984089365913,-6.886717683741875e-05,0.0,4.1572086405178625e-08,-6.890874892382393e-05,0.9996114571560668,0.9995425751811442,-0.0022737022956855757,0.9999000310086578,0.0002427809846062432,0.9996572500240515,False,False,False,-0.3333333333333333
2022-01-06,2022-01-07 00:00:00,-0.048412920541174694,0.0,0.0,-0.048412920541174694,0.0,0.0,0.0,0.048412920541174694,0.048412920541174694,-0.048412920541174694,False,1.0,0.0,0.001853053998229548,-8.971175597479318e-05,0.0,4.144941827155367e-08,-8.975320539306473e-05,1.005272717793215,1.0051824913444989,-0.0012792860384035487,0.9997739649232694,0.00024206460270587347,0.9995319003205635,False,False,False,-0.3333333333333333
2022-01-07,2022-01-08 00:00:00,-0.04852297715753715,0.0,0.0,-0.04852297715753715,0.0,0.0,0.0,0.04852297715753715,0.04852297715753715,-0.04852297715753715,False,1.0,0.0,-0.00270073155429007,0.00013104753551745687,0.0,4.154364482665852e-08,0.0001310059918726302,1.0089132561055933,1.009045429787423,-0.00025029466309622883,0.9998944095568759,0.00024261488578768576,0.9996517946710882,False,False,False,-0.3333333333333333
2022-01-08,2022-01-09 00:00:00,-0.04414049485059686,0.0,0.0,-0.04414049485059686,0.0,0.0,0.0,0.04414049485059686,0.04414049485059686,-0.04414049485059686,False,1.0,0.0,0.0006044571594943093,-2.6681038136064965e-05,0.0,3.7791519563867173e-08,-2.6718829655628833e-05,1.008620910167113,1.0085939609968273,-0.0006976043451408787,0.9998903045386541,0.0002207024742529843,0.9996696020644011,False,False,False,-0.3333333333333333
2022-01-09,2022-01-10 00:00:00,-0.04203125389143376,0.0,0.0,-0.04203125389143376,0.0,0.0,0.0,0.04203125389143376,0.04203125389143376,-0.04203125389143376,False,1.0,0.0,0.002203170494985418,-9.26020184408479e-05,0.0,3.5985662578282324e-08,-9.263800410342618e-05,1.0094918069216974,1.0093982896155453,-0.001256643470601726,0.9998702396008388,0.0002101562694571688,0.9996600833313816,False,False,False,-0.3333333333333333
2022-01-10,2022-01-11 00:00:00,-0.04242281422777147,0.0,0.0,-0.04242281422777147,0.0,0.0,0.0,0.04242281422777147,0.04242281422777147,-0.04242281422777147,False,1.0,0.0,-0.00418057984841258,0.0001773519622735719,0.0,3.63209025922701e-08,0.00017731564137097965,1.0104592428712802,1.010638413100009,-0.000845035466297217,0.9999885805499815,0.00021211407113885737,0.9997764664788427,False,False,False,-0.3333333333333333
