all_candidate_rank,eligible_priority_rank,candidate,dual_sleeve_eligible,max_consecutive_flat_days,total_flat_days,max_consecutive_losing_days,total_losing_days,max_drawdown_abs,cagr,total_return,positive_month_rate,max_gross_exposure,hedged_bar_rate,liquidation_events
1,1,daily_12m_blend_counter_hedge,True,0,0,9,871,0.16178358106309298,0.019289958256053064,0.09231398275385638,0.4642857142857143,0.6,0.08552457003215116,0
2,,daily_core_only,False,0,0,9,877,0.1706727596477422,0.02186314770183806,0.10511614799382851,0.5,0.3171991835074644,0.0,0
3,2,daily_core_counter_hedge,True,0,0,9,892,0.17190286261098986,0.024493654897876915,0.11832471505580444,0.5,0.4930426743814498,0.08552457003215116,0
4,3,daily_core_independent_tactical,True,0,0,10,895,0.17649784072513064,0.02943107385625998,0.14345079759611323,0.5357142857142857,0.7062618405673112,0.08552457003215116,0
5,4,daily_weekly_consensus_counter,True,59,700,7,518,0.15306578426956052,0.02281862034764459,0.10989964575380884,0.42857142857142855,0.4930426743814498,0.047696038803556995,0
