timestamp,next_timestamp,raw_core_position,raw_swing_long_position,raw_swing_short_position,core_position,swing_long_position,swing_short_position,long_gross_exposure,short_gross_exposure,gross_exposure,net_exposure,hedged,risk_speed,turnover,price_return,gross_return,trading_cost,carry_cost,net_return,equity_before,equity,drawdown,intrabar_equity_ratio,maintenance_required,maintenance_headroom,liquidated,sweep_long_signal,sweep_short_signal,daily_core_regime
2022-01-01,2022-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,-0.0024715689241043837,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0,1.0,0.0,1.0,False,False,False,0.0
2022-01-02,2022-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0024365385227889114,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,False,False,False,0.0
2022-01-03,2022-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,-0.005559934836302571,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0,1.0,0.0,1.0,False,False,False,0.0
2022-01-04,2022-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,-0.0014132937783954969,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0,1.0,0.0,1.0,False,False,False,0.0
2022-01-05,2022-01-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0014182984089365913,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,False,False,False,0.0
2022-01-06,2022-01-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.001853053998229548,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,False,False,False,0.0
2022-01-07,2022-01-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,-0.00270073155429007,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0,1.0,0.0,1.0,False,False,False,0.0
2022-01-08,2022-01-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0006044571594943093,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,False,False,False,0.0
2022-01-09,2022-01-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.002203170494985418,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,False,False,False,0.0
2022-01-10,2022-01-11 00:00:00,-0.12726844268331441,0.0,0.0,-0.12726844268331441,0.0,0.0,0.0,0.12726844268331441,0.12726844268331441,-0.12726844268331441,False,1.0,0.0,-0.00418057984841258,0.0005320558868207157,0.0,1.0896270777681028e-07,0.0005319469241129389,1.0028193684299223,1.0033528151083995,-0.002535602033927442,0.9999657416499448,0.0006363422134165721,0.9993293994365282,False,False,False,-1.0
2022-01-11,2022-01-12 00:00:00,-0.1286950931525053,0.0,0.0,-0.1286950931525053,0.0,0.0,0.0,0.1286950931525053,0.1286950931525053,-0.1286950931525053,False,1.0,0.0,0.006851075863132605,-0.0008816998464007313,0.0,1.1018415509632302e-07,-0.0008818100305558276,0.9987529981533128,0.9978722877414934,-0.007983965608785226,0.9989291952087476,0.0006434754657625265,0.9982857197429851,False,False,False,-1.0
2022-01-12,2022-01-13 00:00:00,-0.12861309087774767,0.0,0.0,-0.12861309087774767,0.0,0.0,0.0,0.12861309087774767,0.12861309087774767,-0.12861309087774767,False,1.0,0.0,0.000863611863048952,-0.00011107179102541583,0.0,1.101139476693045e-07,-0.00011118190497308514,0.9888967789592684,0.988786831531562,-0.01701610163534062,0.9997697031743066,0.0006430654543887383,0.9991266377199178,False,False,False,-1.0
2022-01-13,2022-01-14 00:00:00,-0.12541040139894488,0.0,0.0,-0.12541040139894488,0.0,0.0,0.0,0.12541040139894488,0.12541040139894488,-0.12541040139894488,False,1.0,0.0,0.001115726283236862,-0.00013992368103208773,0.0,1.0737191900594595e-07,-0.0001400310529510937,0.9910634104964463,0.9909246308435331,-0.01489084851243272,0.9995736577192849,0.0006270520069947245,0.9989466057122901,False,False,False,-1.0
2022-01-14,2022-01-15 00:00:00,-0.12147736378780123,0.0,0.0,-0.12147736378780123,0.0,0.0,0.0,0.12147736378780123,0.12147736378780123,-0.12147736378780123,False,1.0,0.0,0.0018210261298916564,-0.00022121345364794053,0.0,1.040045922840764e-07,-0.0002213174582402246,0.9919113642732187,0.991691836971278,-0.014128144918239549,0.9994535433045189,0.0006073868189390061,0.9988461564855798,False,False,False,-1.0
2022-01-15,2022-01-16 00:00:00,-0.12128700114520824,0.0,0.0,-0.12128700114520824,0.0,0.0,0.0,0.12128700114520824,0.12128700114520824,-0.12128700114520824,False,1.0,0.0,0.0013371850616474834,-0.00016218316610339367,0.0,1.038416105695276e-07,-0.0001622870077139632,0.9887874084224049,0.9886269410726268,-0.017175053738689217,0.9995342968240748,0.0006064350057260412,0.9989278618183488,False,False,False,-1.0
