scenario,start,end,bars,total_return,cagr,annual_volatility,sharpe_zero_rf,max_drawdown,calmar,profit_factor_15m,positive_month_rate,worst_month,best_month,max_gross_exposure,mean_gross_exposure,hedged_bar_rate,long_bar_rate,short_bar_rate,total_trading_cost,total_carry_cost,liquidation_events,min_maintenance_headroom
base,2022-01-01 00:00:00,2026-08-15 23:45:00,162047,0.09231398275385638,0.019289958256053064,0.07383628143640583,0.2956444041048311,-0.16178358106309298,0.11923310220541039,1.007010315071966,0.4642857142857143,-0.04234280881138919,0.057611079149944455,0.6,0.08879398810734737,0.08552457003215116,0.5274087147555956,0.4725912852444044,0.03038686946447676,0.01231917756064326,0,0.9343728580947598
cost_2x,2022-01-01 00:00:00,2026-08-15 23:45:00,162047,0.08445486514584855,0.017698574211313822,0.07118292967230386,0.2820284944278123,-0.16363138423502566,0.10816124482509513,1.006759417016978,0.48214285714285715,-0.0406205643992722,0.057143145089609604,0.6,0.08481871011120344,0.08552457003215116,0.5274087147555956,0.4725912852444044,0.05417504000043512,0.011767651984066938,0,0.9342228580947598
delay_plus_15m,2022-01-01 00:00:00,2026-08-15 23:45:00,162047,0.07984517327785623,0.01676095337026351,0.07580019080318201,0.25717199969473137,-0.16129320056396035,0.10391605666983465,1.0060627853204283,0.44642857142857145,-0.04712568308428611,0.059053767617748054,0.6,0.09107173371445698,0.0862280696341185,0.5270754781020321,0.47292452189796785,0.030386912756362777,0.012635189412009085,0,0.9343728580947598
carry_5pct,2022-01-01 00:00:00,2026-08-15 23:45:00,162047,0.09030283024429187,0.018883578629373954,0.06950689887432844,0.3038620413843698,-0.16232597515962488,0.11633121939236525,1.007416638549494,0.48214285714285715,-0.04188885937731679,0.05743871161024905,0.6,0.08153132480206068,0.08552457003215116,0.5274087147555956,0.4725912852444044,0.027788010709019803,0.018852606435786998,0,0.9343725156290064
gross_cap_075,2022-01-01 00:00:00,2026-08-15 23:45:00,162047,0.09268678031935518,0.019365222446772856,0.07139602334359003,0.3042389676524588,-0.16131039988505436,0.12004943550181524,1.0069769040996086,0.4642857142857143,-0.04234280881138919,0.057611079149944455,0.5,0.08878634550656242,0.08552457003215116,0.5274087147555956,0.4725912852444044,0.030931440269114277,0.01231811723484754,0,0.9453107150789665
