period,return,max_drawdown,profit_factor_4h,active_bar_rate,mean_abs_exposure,max_abs_exposure,mean_gross_exposure,max_gross_exposure,long_short_overlap_rate,trading_cost,carry_cost,liquidation_events
2022,0.05404987748686607,-0.09072191102408078,1.0496934910287152,1.0,0.08589919912859824,0.28998750322461514,0.15510459640441804,0.28998750322461514,0.6470319634703197,0.00648046498677705,0.007755229820220902,0
2023,-0.06878654471262724,-0.11238612423190064,0.9036545069762456,1.0,0.10205944197921978,0.31520023320556023,0.14624143378407095,0.31520023320556023,0.4876712328767123,0.008561163844968975,0.007312071689203548,0
2024,0.030055991107115876,-0.03776050532635511,1.0504972400269188,1.0,0.06106832933358518,0.14874344645941145,0.09456592525697616,0.14874344645941145,0.5295992714025501,0.0039684881913787905,0.0047412504991853795,0
2025,0.0179267812702526,-0.053301537139005095,1.024868226527882,1.0,0.07187000120271816,0.28796474007034045,0.1091963751660655,0.28796474007034045,0.547945205479452,0.004622060596019571,0.005459818758303276,0
2026,0.01845197450492453,-0.044407965286719864,1.0396021782343212,1.0,0.08423324620953827,0.3458327273962839,0.16075051503257165,0.3458327273962839,0.7193240264511389,0.00459473534054068,0.004995010295875114,0
