scenario,start,end,bars,total_return,final_equity,cagr,annual_volatility,sharpe_zero_rf,calmar,max_drawdown,profit_factor_4h,positive_month_rate,worst_month,best_month,active_bar_rate,long_bar_rate,short_bar_rate,mean_abs_exposure,max_abs_exposure,mean_gross_exposure,max_gross_exposure,long_short_overlap_rate,annual_turnover,total_trading_cost,total_carry_cost,min_maintenance_headroom,liquidation_events
base,2022-01-01 00:00:00,2026-08-15 20:00:00,10127,0.018798479797771606,1.0187984797977716,0.004038791200737801,0.06674522002189268,0.18575931183976313,0.024619893553986416,-0.16404584332915795,1.0152593673272643,0.375,-0.03010197380770996,0.07971020954079022,1.0,0.4662782660215266,0.5337217339784733,0.08075167630767344,0.3458327273962839,0.1308912896761256,0.3458327273962839,0.5753925150587538,12.21791028069323,0.028226912959685067,0.030263381062788218,0.9775177409063848,0
cost_2x,2022-01-01 00:00:00,2026-08-15 20:00:00,10127,-0.0005417737699392466,0.9994582262300608,-0.00011727723825616376,0.061761736955155126,0.13283746077051575,-0.0007102142359741608,-0.16512938253807485,1.011107802093408,0.375,-0.030363759749129415,0.07953225248213847,1.0,0.4662782660215266,0.5337217339784733,0.07136557589539423,0.31195890003375926,0.11629997058397361,0.31195890003375926,0.5753925150587538,10.862042880260871,0.05018893278828272,0.026889721509221476,0.9775177409063848,0
delay_1bar,2022-01-01 00:00:00,2026-08-15 20:00:00,10127,-0.005151677193648729,0.9948483228063513,-0.0011171990701536183,0.06749487607195054,0.09357808939642209,-0.007284699852825109,-0.15336240239470578,1.0076858690845356,0.375,-0.022520366791135116,0.0783046093365356,1.0,0.4662782660215266,0.5337217339784733,0.08171969143129644,0.31520023320556023,0.13143474474965147,0.31520023320556023,0.5754912609854843,13.251496105131276,0.03061479570170187,0.03038903333515344,0.9775177409063848,0
carry_2x,2022-01-01 00:00:00,2026-08-15 20:00:00,10127,-0.009572954596010597,0.9904270454039894,-0.0020796232058933883,0.06181322006082907,0.10130908904765906,-0.012601770434130988,-0.16502627283709903,1.0084925736845012,0.375,-0.030547055537755274,0.07917782005138352,1.0,0.4662782660215266,0.5337217339784733,0.071061182711244,0.31195890003375926,0.11571111232583713,0.31195890003375926,0.5753925150587538,10.948897630214509,0.025295126033208333,0.05350714312893848,0.9775140016064995,0
no_drawdown_throttle,2022-01-01 00:00:00,2026-08-15 20:00:00,10127,0.13814489706232846,1.1381448970623285,0.028400898622676918,0.09314919526937386,0.4129206591503582,0.1373144162365546,-0.20683115000649355,1.031644506008716,0.4107142857142857,-0.048320810702226824,0.10646337090415536,1.0,0.4662782660215266,0.5337217339784733,0.12929255573939114,0.5671059028502122,0.2094421075800744,0.6249972447855927,0.5753925150587538,17.726244981320434,0.04095276219047472,0.04842511925715556,0.9556789927699217,0
