signal_time,side,event_name,event_family,variant,swing_level,sweep_extreme,structural_stop_level,swing_age,swing_prominence_pct,down_spike_pct,volume_ratio,trades_count_ratio,volume_spike,atr_pct,delta_notional,delta_notional_ratio,delta_notional_z,cvd_notional_change,taker_buy_ratio,large_delta_notional,lower_wick_frac,close_pos_in_bar,session_hour,session_bucket,weekday,close,open,high,low,spike_threshold_pct,breakout_threshold_pct,max_swing_age,min_swing_prominence_pct,total_notional,buy_pressure,sell_pressure,notional_imbalance,buy_volume_pressure,volume_imbalance,buy_trade_count_pressure,trade_count_imbalance,large_trade_share,large_delta_pressure,delta_pressure,cvd_short_turn_up_after_dump,buy_pressure_high,sell_pressure_high,large_trade_share_high,large_buy_absorption,cvd_delta_5,cvd_pressure_5,cvd_delta_z_5,cvd_delta_15,cvd_pressure_15,cvd_delta_z_15,cvd_delta_30,cvd_pressure_30,cvd_delta_z_30,cvd_delta_60,cvd_pressure_60,cvd_delta_z_60,cvd_delta_120,cvd_pressure_120,cvd_delta_z_120,buy_ratio_ge_60,buy_ratio_ge_65,buy_ratio_ge_70,buy_pressure_ge_60,buy_pressure_ge_65,buy_pressure_ge_70,delta_pressure_ge_00,delta_pressure_ge_10,delta_pressure_ge_20,cvd_pressure_5_ge_0000,cvd_pressure_5_ge_0500,cvd_pressure_5_ge_1000,cvd_pressure_15_ge_0000,cvd_pressure_15_ge_0500,cvd_pressure_15_ge_1000,cvd_pressure_30_ge_0000,cvd_pressure_30_ge_0500,cvd_pressure_30_ge_1000,cvd_pressure_60_ge_0000,cvd_pressure_60_ge_0500,cvd_pressure_60_ge_1000,cvd_pressure_120_ge_0000,cvd_pressure_120_ge_0500,cvd_pressure_120_ge_1000,atr_rq75_30d_threshold,atr_rq75_30d,atr_rq80_30d_threshold,atr_rq80_30d,atr_rq75_90d_threshold,atr_rq75_90d,atr_rq80_90d_threshold,atr_rq80_90d,volume_rq75_30d_threshold,volume_rq75_30d,volume_rq80_30d_threshold,volume_rq80_30d,volume_rq75_90d_threshold,volume_rq75_90d,volume_rq80_90d_threshold,volume_rq80_90d,trades_rq75_30d_threshold,trades_rq75_30d,trades_rq80_30d_threshold,trades_rq80_30d,trades_rq75_90d_threshold,trades_rq75_90d,trades_rq80_90d_threshold,trades_rq80_90d,buy_ratio_rq75_30d_threshold,buy_ratio_rq75_30d,buy_ratio_rq80_30d_threshold,buy_ratio_rq80_30d,buy_ratio_rq75_90d_threshold,buy_ratio_rq75_90d,buy_ratio_rq80_90d_threshold,buy_ratio_rq80_90d,buy_pressure_rq75_30d_threshold,buy_pressure_rq75_30d,buy_pressure_rq80_30d_threshold,buy_pressure_rq80_30d,buy_pressure_rq75_90d_threshold,buy_pressure_rq75_90d,buy_pressure_rq80_90d_threshold,buy_pressure_rq80_90d,delta_pressure_rq75_30d_threshold,delta_pressure_rq75_30d,delta_pressure_rq80_30d_threshold,delta_pressure_rq80_30d,delta_pressure_rq75_90d_threshold,delta_pressure_rq75_90d,delta_pressure_rq80_90d_threshold,delta_pressure_rq80_90d,large_share_rq75_30d_threshold,large_share_rq75_30d,large_share_rq80_30d_threshold,large_share_rq80_30d,large_share_rq75_90d_threshold,large_share_rq75_90d,large_share_rq80_90d_threshold,large_share_rq80_90d,large_delta_rq75_30d_threshold,large_delta_rq75_30d,large_delta_rq80_30d_threshold,large_delta_rq80_30d,large_delta_rq75_90d_threshold,large_delta_rq75_90d,large_delta_rq80_90d_threshold,large_delta_rq80_90d,cvdp15_rq75_30d_threshold,cvdp15_rq75_30d,cvdp15_rq80_30d_threshold,cvdp15_rq80_30d,cvdp15_rq75_90d_threshold,cvdp15_rq75_90d,cvdp15_rq80_90d_threshold,cvdp15_rq80_90d,cvdp60_rq75_30d_threshold,cvdp60_rq75_30d,cvdp60_rq80_30d_threshold,cvdp60_rq80_30d,cvdp60_rq75_90d_threshold,cvdp60_rq75_90d,cvdp60_rq80_90d_threshold,cvdp60_rq80_90d,spike_bucket,age_bucket,close_pos_bucket,delta_positive,delta_pressure_positive,strong_volume_spike,deep_close,large_lower_wick,variant_rank,specificity_score,year,cluster_touch_count_020,cluster_touch_count_030,cluster_zone_low_020,cluster_zone_low_030,cluster_oldest_age_bars_020,cluster_oldest_age_bars_030
2022-01-01 00:50:00,1,low_fade_close_through_sp0060_br0005_age12_prom0030,low_sweep_fade_close_through,fade_close_through,3770.0,3745.98,3745.98,12.0,0.004814323607427173,0.006404198634269109,27.08919224058298,19.75594294770206,True,0.000856960654670232,-18389634.053999998,-0.3710079796335082,-11.065350968936091,,0.3145000568332512,-5405484.865,0.29333333333333184,0.29333333333333184,0,S0_00_07,5,3753.02,3769.97,3769.98,3745.98,0.006,0.0005,12,0.003,49566680.674,0.31449601018324586,0.6855039898167541,-0.3710079796335082,0.3145000568332512,-0.3709998863334975,0.3582544521097385,-0.283491095780523,0.1439554745238941,-0.10905480842164654,-0.3710079796335082,False,False,True,True,False,-21654980.939999998,-0.3655733572409877,-4.56616020390189,-24596835.608999997,-0.2586850526994929,-3.2735822251413382,-27693099.499999996,-0.20755779710358963,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,SPIKE_60_80,AGE_7_12,CLOSE_20_40,False,False,True,True,False,0,94.88,2022,1,1,3770.0,3770.0,12.0,12.0
2022-01-04 00:08:00,1,low_fade_close_through_sp0060_br0005_age12_prom0030,low_sweep_fade_close_through,fade_close_through,3777.0,3750.0,3750.0,8.0,0.004765687053216894,0.00672533333333325,18.121533000421152,12.856240126382307,True,0.0013191318714404585,-13119132.023000002,-0.23159139002856632,-8.916857041244798,-17664789.11500001,0.3841990982675848,-4345054.022,0.5430210325047713,0.5430210325047713,0,S0_00_07,1,3764.2,3775.23,3776.15,3750.0,0.006,0.0005,12,0.003,56647753.707,0.38420430498571684,0.6157956950142832,-0.23159139002856632,0.3841990982675848,-0.23160180346483045,0.4324158269845171,-0.13516834603096584,0.14670343196632485,-0.07670302417416207,-0.23159139002856632,False,False,False,True,False,-19517081.796000004,-0.257801068847993,-4.24158068070887,-13550822.093000017,-0.10502880926422363,-2.7782847484732143,-23422195.187000018,-0.12142129897134632,-3.7030751059171005,-17664789.11500001,-0.05926775390951251,-3.2519036671812116,-22909028.712000005,-0.035391495835574466,-3.3340266873518005,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,SPIKE_60_80,AGE_7_12,CLOSE_40_60,False,False,True,False,True,0,94.88,2022,1,1,3777.0,3777.0,8.0,8.0
2022-01-04 04:22:00,1,low_fade_close_through_sp0060_br0005_age24_prom0030,low_sweep_fade_close_through,fade_close_through,3722.02,3690.0,3690.0,16.0,0.005335812273980389,0.007262872628726269,59.83837491720026,32.8067940552017,True,0.0014677430158386566,-9544905.689000003,-0.19019216679906528,-6.5101576569415744,-30576607.969000056,0.4048293777305467,-2817956.461,0.2096823928461368,0.2096823928461368,4,S0_00_07,1,3696.8,3716.8,3722.43,3690.0,0.006,0.0005,24,0.003,50185587.817,0.4049039166004674,0.5950960833995327,-0.19019216679906528,0.4048293777305467,-0.1903412445389066,0.43541289153507634,-0.12917421692984726,0.11341777348021612,-0.05615071146074009,-0.19019216679906528,False,False,False,True,False,-23308266.760000005,-0.18910890117642934,-8.404858253541274,-18931614.683000043,-0.12715137422829154,-5.360703337230856,-27321311.318000056,-0.1305819590411482,-5.52038700334395,-30576607.969000056,-0.13404265074777763,-5.648160985332298,-35249779.301000044,-0.11697495469703674,-4.030553491024334,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,SPIKE_60_80,AGE_13_24,CLOSE_20_40,False,False,True,True,False,0,94.76,2022,1,1,3722.02,3722.02,16.0,16.0
2022-01-06 03:46:00,1,low_fade_close_through_sp0100_br0005_age12_prom0030,low_sweep_fade_close_through,fade_close_through,3696.77,3636.2,3636.2,7.0,0.0042983469352975145,0.010527473736318127,25.18068450755507,18.090188909201707,True,0.0023241323455010267,-7545668.128000006,-0.07448994278738749,-2.8128506335526153,-45269813.97700003,0.46262403528114665,749768.6719999993,0.8811789278254845,0.9765606869343291,3,S0_00_07,3,3678.28,3674.17,3679.29,3636.2,0.01,0.0005,12,0.003,101297810.76,0.46275502860630624,0.5372449713936938,-0.07448994278738749,0.46262403528114665,-0.07475192943770673,0.4362999393653574,-0.12740012126928518,0.10918018740013291,0.007401627600584478,-0.07448994278738749,False,False,False,True,True,-27829054.059,-0.12755968151657252,-7.298381567217933,-34128059.933,-0.12970038377476972,-5.74100665805048,-32897263.876000002,-0.09928173710776621,-3.2490254428080516,-45269813.97700003,-0.0923190515148221,-4.198947485355185,-63444553.38100001,-0.07146435391754688,-4.697115861616801,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,SPIKE_100_120,AGE_7_12,CLOSE_80_100,False,False,True,False,True,0,134.88,2022,1,1,3696.77,3696.77,7.0,7.0
2022-01-06 04:05:00,1,low_fade_close_through_sp0080_br0005_age12_prom0030,low_sweep_fade_close_through,fade_close_through,3643.03,3602.26,3602.26,9.0,0.00863017872485261,0.009291389294498353,12.085793082886106,10.42199894235854,True,0.0034753193101797167,-9875600.813000001,-0.16828650868104542,-3.318677762612311,-56979124.25099994,0.4157934662612632,-1223464.7769999998,0.40353121801432984,0.40353121801432984,4,S0_00_07,3,3618.03,3635.74,3641.34,3602.26,0.008,0.0005,12,0.003,58683259.225,0.4158567456594773,0.5841432543405227,-0.16828650868104542,0.4157934662612632,-0.1684130674774736,0.41475542926730263,-0.17048914146539476,0.1449070443138803,-0.020848616678038636,-0.16828650868104542,False,False,False,True,False,-16017078.781000003,-0.15489170207548017,-1.6348906663062572,-14374486.629999965,-0.0696341715118634,-0.22316656648299196,-48151748.82299994,-0.08699653889901139,-2.5792698370679887,-56979124.25099994,-0.07638024868736994,-1.890411859738167,-59426619.053999975,-0.05638553667174416,-1.8751992484416917,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,SPIKE_80_100,AGE_7_12,CLOSE_40_60,False,False,True,False,False,0,114.88,2022,1,1,3643.03,3643.03,9.0,9.0
2022-01-06 04:07:00,1,low_fade_close_through_sp0060_br0005_age12_prom0030,low_sweep_fade_close_through,fade_close_through,3643.03,3601.55,3601.55,11.0,0.00863017872485261,0.007344060196304403,5.812611806797853,4.833421470121629,True,0.003666056394630079,-870795.4260000009,-0.030908711323805023,0.022166185799277083,-57701886.930999935,0.48461183350003845,482795.85899999994,0.1474426807760088,0.1474426807760088,4,S0_00_07,3,3605.73,3628.0,3629.9,3601.55,0.006,0.0005,12,0.003,28173139.18,0.48454564433809755,0.5154543556619026,-0.030908711323805023,0.48461183350003845,-0.030776332999923058,0.4153172866520788,-0.16936542669584245,0.1134783366018923,0.017136743474533887,-0.030908711323805023,False,False,False,True,False,-13089226.625,-0.09381094276549998,-1.141738005302123,-16371531.39699997,-0.07234852401568345,-0.3661934434761391,-48531639.908999935,-0.08137403391099152,-2.3060108752151893,-57701886.930999935,-0.07332879567027166,-1.7645421964858239,-59586386.13899997,-0.05488176361509613,-1.8023927770382013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,SPIKE_60_80,AGE_7_12,CLOSE_0_20,False,False,True,True,False,0,94.88,2022,1,1,3643.03,3643.03,11.0,11.0
2022-01-06 05:31:00,1,low_fade_close_through_sp0080_br0005_age24_prom0030,low_sweep_fade_close_through,fade_close_through,3603.46,3562.07,3562.07,14.0,0.006762944503338364,0.009295157029479917,8.994294850830336,7.363509099393374,True,0.0024396080939281055,-6302105.278000001,-0.14252097351315698,-5.142415249065072,-8861167.290000021,0.4288080674224488,-774568.6409999998,0.23041894353368786,0.23041894353368786,5,S0_00_07,3,3569.66,3595.01,3595.01,3562.07,0.008,0.0005,24,0.003,44218791.962,0.4287395132434215,0.5712604867565786,-0.14252097351315698,0.4288080674224488,-0.14238386515510235,0.4082382762991128,-0.1835234474017744,0.09498259026635868,-0.01751673002884465,-0.14252097351315698,False,False,False,True,False,-7790288.078000009,-0.13681002255691638,-2.604885837094694,-6157284.118999958,-0.0774922838442588,-1.7468480428667013,-8044370.044,-0.06463311147879872,-1.6971158750575417,-8861167.290000021,-0.029089870706435997,0.25635934941642885,-55389752.0299999,-0.04539565724167618,-0.4045982846594214,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,SPIKE_80_100,AGE_13_24,CLOSE_20_40,False,False,True,True,False,0,114.76,2022,1,1,3603.46,3603.46,14.0,14.0
2022-01-06 06:11:00,1,low_fade_close_through_sp0100_br0005_age12_prom0030,low_sweep_fade_close_through,fade_close_through,3545.46,3525.72,3525.72,8.0,0.007231783745973663,0.010114246168158703,6.496642492613484,4.5071830106183635,True,0.002968596024816339,-12042987.996000003,-0.4689824330688171,-8.697416781709828,-13020562.531000018,0.2655145326001571,-3361145.2170000006,0.14500417478430264,0.14500417478430264,6,S0_00_07,3,3530.93,3561.38,3561.65,3525.72,0.01,0.0005,12,0.003,25678974.62,0.2655087834655915,0.7344912165344085,-0.4689824330688171,0.2655145326001571,-0.46897093479968577,0.3184589800443459,-0.3630820399113082,0.2509118858656359,-0.13089094353409975,-0.4689824330688171,False,False,True,True,False,-11698752.623999983,-0.3271468510366085,-4.4301556565433335,-11273900.011999995,-0.14192112055171283,-3.082732001161795,-10881356.688000053,-0.07941522417551262,-2.825017486769742,-13020562.531000018,-0.04188102713037132,-2.7439417451979877,-11863366.993,-0.017565095351458747,1.6723195193409477,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,SPIKE_100_120,AGE_7_12,CLOSE_0_20,False,False,True,True,False,0,134.88,2022,1,1,3545.46,3545.46,8.0,8.0
2022-01-06 06:12:00,1,low_fade_close_through_sp0060_br0005_age12_prom0030,low_sweep_fade_close_through,fade_close_through,3545.46,3508.46,3508.46,9.0,0.007231783745973663,0.0064045193617712215,8.511415525114156,9.138038725796378,True,0.003068072594775338,-3579095.0360000003,-0.10696000836496264,-1.6253084347130002,-16987427.98300004,0.4464255659345283,-2558337.6390000004,0.7517667844523003,0.7517667844523003,6,S0_00_07,3,3525.48,3531.1,3531.1,3508.46,0.006,0.0005,12,0.003,33461992.858000003,0.44651999581751867,0.5534800041824813,-0.10696000836496264,0.4464255659345283,-0.10714886813094336,0.48981544771018454,-0.020369104579630894,0.14852988583469143,-0.07645502913877886,-0.10696000836496264,False,False,False,True,False,-14314561.810000002,-0.21465182162133983,-4.714753838077491,-15892410.625,-0.14362510631703815,-4.031423695564932,-14588111.82400006,-0.0868182983561275,-3.7084632860413396,-16987427.98300004,-0.0496251163338743,-3.5643201461045635,-17734469.178000003,-0.025431202412430135,1.3194841539786952,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,SPIKE_60_80,AGE_7_12,CLOSE_60_80,False,False,True,False,True,0,94.88,2022,1,1,3545.46,3545.46,9.0,9.0
2022-01-06 06:28:00,1,low_fade_close_through_sp0120_br0005_age12_prom0030,low_sweep_fade_close_through,fade_close_through,3505.0,3440.05,3440.05,9.0,0.00819971469329528,0.01679917443060419,15.803921568627452,14.971323978035388,True,0.0031648848237839197,-26875712.319000002,-0.4387529958000686,-11.849965659664363,-49851833.725000024,0.2809635496334568,-6330938.726000001,0.3559033684926796,0.3559033684926796,6,S0_00_07,3,3460.97,3497.87,3498.83,3440.05,0.012,0.0005,12,0.003,61254766.523,0.2806235020999657,0.7193764979000343,-0.4387529958000686,0.2809635496334568,-0.4380729007330863,0.41405167495313394,-0.17189665009373217,0.12949946690306152,-0.10335422180774868,-0.4387529958000686,False,False,True,True,False,-31104647.804999977,-0.366463469600072,-5.9864525196296645,-33626348.27599996,-0.21543582354881935,-3.3200665485297782,-51465722.31399998,-0.188060885960307,-4.9188684510843235,-49851833.725000024,-0.10688740427873308,-5.057494582860805,-52728611.86500004,-0.07173778887977734,-0.7418069776674464,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,SPIKE_GT_160,AGE_7_12,CLOSE_20_40,False,False,True,False,False,0,154.88,2022,1,1,3505.0,3505.0,9.0,9.0
