period,return,max_drawdown,profit_factor_4h,active_bar_rate,mean_abs_exposure,max_abs_exposure,mean_gross_exposure,max_gross_exposure,long_short_overlap_rate,trading_cost,carry_cost,liquidation_events
2022-01,0.041578924091192127,-0.02249756737004327,1.27123608407872,1.0,0.11955470006142638,0.1909596065196575,0.1624298256072214,0.19266603993869413,0.3870967741935484,0.00039137275029596866,0.0006897704923046388,0
2022-02,-0.009226359799177075,-0.020632077972718488,0.8909998446313552,1.0,0.06875540693583729,0.13504057078953313,0.13227439990867537,0.1510543616495153,0.7142857142857143,0.0004767754741804464,0.0005073538626634124,0
2022-03,-0.008216162955524298,-0.02112864614473886,0.8806062675915537,1.0,0.06921380953131637,0.13445913139113255,0.13932843775343928,0.1790319576487544,0.7419354838709677,0.0004409467332375852,0.00059166870826803,0
2022-04,-0.016391253704902353,-0.022442002635693847,0.7512483857099156,1.0,0.07307790436268352,0.2123358411501866,0.20507799034470478,0.22356647414395286,0.9666666666666667,0.0008270722961737585,0.0008427862616905674,0
2022-05,0.04051293590789928,-0.019673657335326555,1.2645028524851942,1.0,0.13175735740359074,0.18989866156205082,0.15710079475093924,0.20549288061743912,0.1989247311827957,0.000326953898733939,0.0006671403612711119,0
2022-06,0.07971020954079022,-0.029335197891843134,1.5559262048682505,1.0,0.1021669948903304,0.14771297353204926,0.12007314056167749,0.14771297353204926,0.2611111111111111,0.00016479643764693146,0.0004934512625822361,0
2022-07,-0.03010197380770996,-0.033296221786350944,0.6780441368423237,1.0,0.05506409418936542,0.1051162741232188,0.10806982409015999,0.12470893683710864,0.7096774193548387,0.00026961878102561366,0.0004589266502458847,0
2022-08,-0.003313207035486321,-0.019213085837078148,0.9587944826734589,1.0,0.06276198840369678,0.15980658230623945,0.1310106204458278,0.15980658230623945,0.8118279569892473,0.0003782857343486077,0.0005563464703863923,0
2022-09,-0.012414799852449643,-0.019450142693543948,0.8288063024582873,1.0,0.05809854090198124,0.150763427799862,0.14323083676034254,0.15321461865298583,0.8944444444444445,0.0003184517860540297,0.0005886198770972981,0
2022-10,0.0027464590340491313,-0.011367804823589567,1.0547416411460753,1.0,0.08305907950396617,0.2206047994930136,0.19739614145613385,0.27498163281804067,0.8709677419354839,0.0008174230169945603,0.0008382575870055,0
2022-11,-0.020138011956790658,-0.030635108990254345,0.8478712003962063,1.0,0.0999892253247198,0.17654943118698035,0.15889589319520306,0.24495166480082048,0.4666666666666667,0.0006409171340706524,0.0006529968213501497,0
2022-12,-0.00646073428993188,-0.011109989204358905,0.8805683356995586,1.0,0.10530111036933047,0.28998750322461514,0.2043791515192407,0.28998750322461514,0.7473118279569892,0.0014278509440149574,0.0008679114653556796,0
2023-01,0.00786769041021329,-0.03472728359232935,1.0632695081104133,1.0,0.19846288381367824,0.31520023320556023,0.24105335084220839,0.31520023320556023,0.3172043010752688,0.001319224028345048,0.0010236512159052685,0
2023-02,-0.02471312908319845,-0.0337711258103115,0.7380029565575161,1.0,0.13475149779423884,0.2316333765554625,0.19961479779745256,0.2389292169792602,0.5357142857142857,0.0008865520943891954,0.0007656457997710509,0
2023-03,-0.0006499078109266643,-0.00992820997926347,0.991240377942327,1.0,0.06447438608354601,0.12475802090021959,0.10500433725085832,0.12475802090021959,0.5483870967741935,0.0003899429159985559,0.00044590882942145314,0
2023-04,-0.002985145487023666,-0.01763074457506919,0.948127298385944,1.0,0.0945745102877209,0.22371481014079386,0.11872049643269682,0.22371481014079386,0.3055555555555556,0.0005357625530074787,0.0004878924510932746,0
2023-05,-0.02166900825068696,-0.02080127195708792,0.5115324091064452,1.0,0.06428062678544774,0.16399096868193305,0.12677972466833776,0.17223694278416693,0.7419354838709677,0.000881385464939904,0.0005383796527011604,0
2023-06,-0.007324091314173109,-0.013697834066489833,0.8733657946497032,1.0,0.10594466909112865,0.1710584276857143,0.15705855674126062,0.18481049686755519,0.46111111111111114,0.0005691822544708319,0.0006454461235942215,0
2023-07,-0.016035673634351766,-0.017355798949352907,0.5354914162182353,1.0,0.07177714868217597,0.1623023955094519,0.14558351949847492,0.18793361313475643,0.7419354838709677,0.001116354579038109,0.0006182313841716057,0
2023-08,0.0035365973791448013,-0.01600251735500935,1.0618606792298844,1.0,0.1573624010443201,0.2835529514251061,0.21112912446770743,0.31249862239279635,0.41935483870967744,0.0009391345132562305,0.0008965757340409493,0
2023-09,-0.007537710909150452,-0.017948015794609473,0.8692204860999733,1.0,0.15143097338348666,0.20613596764916053,0.18671779396420682,0.20613596764916053,0.3,0.00044672055590278583,0.0007673333998529045,0
2023-10,-0.0026153856270124676,-0.006964872788064236,0.8909283319699357,1.0,0.050991058941939706,0.10351739430562856,0.09528260996012852,0.11058809071545103,0.7096774193548387,0.0004632323104764725,0.0004046247820224635,0
2023-11,0.0011555576908375276,-0.013065337244737574,1.0266036544095918,1.0,0.0702148161885947,0.15542445093219462,0.0898628961236727,0.15542445093219462,0.36666666666666664,0.0005423507538860981,0.0003692995731109837,0
2023-12,0.00048355148262868575,-0.014931121717232987,1.011735446136737,1.0,0.06406134354078263,0.13461957450858636,0.08220335573170794,0.13461957450858636,0.3924731182795699,0.00047132182125826503,0.00034908274351821186,0
2024-01,-0.01321691347646603,-0.016386358549198676,0.6137516135254394,1.0,0.03530239379136704,0.1267976108437695,0.05926636905152677,0.1267976108437695,0.6129032258064516,0.00035026779423451466,0.00025167910145168894,0
2024-02,0.03539760396370761,-0.002632247802471621,2.1712099410839127,1.0,0.06949671272734852,0.14752147523922116,0.07523472427877716,0.14752147523922116,0.13793103448275862,0.00013963897110448058,0.00029887767179240243,0
2024-03,0.007591681203514389,-0.014475809401671369,1.117893990029383,1.0,0.07138963966839529,0.13868737569610295,0.09024709415903501,0.13868737569610295,0.3548387096774194,8.941044459188148e-05,0.00038324108478494316,0
2024-04,-0.0101435977282065,-0.013499196111177114,0.683131584171516,1.0,0.030239144266602676,0.07474285104430035,0.08490459314025299,0.09324420862434019,0.9611111111111111,0.00018932954274392697,0.00034892298550788894,0
2024-05,0.00613511493395924,-0.008341088976637323,1.1439535284404836,1.0,0.05405266313689797,0.10896279955596855,0.09133439731172587,0.11369671742729756,0.6129032258064516,0.00033136427037409936,0.0003878583995429454,0
2024-06,-0.0014157956571854147,-0.007515413351557587,0.9623488891040044,1.0,0.067228366052031,0.14509974661001,0.11080140692689018,0.14509974661001,0.6388888888888888,0.0004529123591433741,0.0004553482476447545,0
2024-07,-0.0046473033746290415,-0.01648413256842962,0.9299080734250122,1.0,0.07714634782508456,0.14874344645941145,0.12414185998002718,0.14874344645941145,0.5752688172043011,0.0006605477098046294,0.0005271777615590194,0
2024-08,0.015526253183869576,-0.016548962134956713,1.246491976468606,1.0,0.05461922830841849,0.1108793488220684,0.076004988593634,0.11131661989405423,0.42473118279569894,0.0002755558020622184,0.00032276091046611706,0
2024-09,-0.010746403077640299,-0.018820287512933187,0.7989028635896639,1.0,0.06329821127526944,0.10683636031619625,0.0983884528539242,0.11800197461869896,0.49444444444444446,0.00022905478082663335,0.00040433610761886666,0
2024-10,-0.006408475278485426,-0.014555330530941046,0.8818218484359567,1.0,0.07307636540841679,0.14148414810643262,0.1280839984763779,0.14148414810643262,0.6451612903225806,0.0004508522973872664,0.0005439183496942076,0
2024-11,0.02189512311035413,-0.011556035671393405,1.2921683747071697,1.0,0.08135437439089387,0.12696212563494702,0.10925794392765442,0.14580730291660726,0.3388888888888889,0.00051543722916616,0.00044900524901775795,0
2024-12,-0.009067172182441685,-0.018536169978497163,0.841990977394156,1.0,0.056090813069650865,0.09939788050351245,0.08668741289564358,0.1000704409435117,0.543010752688172,0.00028411698993960555,0.00036812463010478774,0
2025-01,-0.006037736783698455,-0.008916925175766033,0.8124179265901148,1.0,0.03094786229012714,0.0851235613569247,0.0819002979199762,0.08949857792852925,0.9354838709677419,0.0003519522336784672,0.00034779578568757015,0
2025-02,0.014046937814644167,-0.007202086512249628,1.3418982801533852,1.0,0.04516689360565015,0.07363299327007387,0.06935738023286937,0.082112187534598,0.5059523809523809,0.00016190676237043335,0.00026602830774251265,0
2025-03,0.0018487104461162307,-0.010176034000875633,1.0351178290720788,1.0,0.05040169954843627,0.07068185033916773,0.06401219422170944,0.07068185033916773,0.3225806451612903,0.00019068058946986174,0.0002718326055990401,0
2025-04,-0.00015469465119044568,-0.020939180748407615,1.000485881516882,1.0,0.055726358193151526,0.151722304901953,0.07403834692994665,0.151722304901953,0.39444444444444443,0.0002392060632735354,0.00030426717916416435,0
2025-05,0.0010563979118420885,-0.008401641793312487,1.028566896016586,1.0,0.03826805998940446,0.08669783532395732,0.08030197570720753,0.09413971447054334,0.7795698924731183,0.00041522555822898503,0.00034100838998951145,0
2025-06,-0.007617496359320852,-0.01755844598691081,0.8309545072797073,1.0,0.042864443760874,0.09102069987970202,0.08751271493935996,0.09690539279193913,0.7611111111111111,0.0003981606625133848,0.00035964129427134217,0
2025-07,0.03928736622354223,-0.011994555894146774,1.4334831203551928,1.0,0.12973938137402743,0.21171189806066149,0.14000930880990406,0.21171189806066149,0.16666666666666666,0.00043101115697000993,0.0005945600785078119,0
