variant,expiry_minutes,target_r,year,n_placed,n_filled,fill_rate,win_rate_15bp,avg_gross_r,median_gross_r,avg_net_r_11bp,avg_net_r_15bp,avg_net_r_20bp,profit_factor_15bp,t_stat_15bp
V1_balanced,30,1.0,2023,2067,1802,0.8717948717948718,0.3501664816870144,-0.03157469061914562,-0.9999999999996965,-0.694294797253083,-0.935283926938151,-1.236520339044486,0.1515754817492538,-22.646984451545173
V1_balanced,30,1.0,2024,1717,1524,0.8875946418171229,0.4717847769028871,0.03762919197419358,0.9999999999999323,-0.3406378478467531,-0.4781894986907337,-0.6501290622457094,0.35584963563975547,-17.53964424476915
V1_balanced,30,1.0,2025,1811,1591,0.8785201546107123,0.45065996228786925,-0.02221435211625609,-0.6243339253996363,-0.3508224482014688,-0.4703163013233644,-0.6196836177257339,0.368024448909586,-17.8501905693977
V1_balanced,30,1.0,2026,1118,975,0.872093023255814,0.4164102564102564,-0.031216650286250126,-0.6370399373531763,-0.42996507621895524,-0.5749645038308481,-0.756213788345714,0.2910814805937913,-16.667286965830943
V1_balanced,30,1.0,ALL,6713,5892,0.8776999851035304,0.4197216564833673,-0.011087911095228565,-0.11857779076725389,-0.46633159694000764,-0.6318747554290183,-0.8388037035402816,0.26894189681501657,-36.51583602069422
V1_balanced,30,1.5,2023,2067,1802,0.8717948717948718,0.3346281908990011,-0.06963312929462206,-0.9999999999999736,-0.7323532359285593,-0.9733423656136273,-1.2745787777199624,0.21128743048965645,-22.12035902482462
V1_balanced,30,1.5,2024,1717,1524,0.8875946418171229,0.40551181102362205,0.03252625873093447,-0.9999999999999771,-0.3457407810900123,-0.4832924319339928,-0.6552319954889687,0.44625163264565465,-14.939519084126957
V1_balanced,30,1.5,2025,1811,1591,0.8785201546107123,0.38969201759899436,-0.01978153293088072,-0.9999999999999856,-0.3483896290160935,-0.4678834821379891,-0.6172507985403585,0.4579477010269898,-15.007895670091331
V1_balanced,30,1.5,2026,1118,975,0.872093023255814,0.3712820512820513,-0.030069261154032172,-0.9999999999999806,-0.4288176870867373,-0.5738171146986301,-0.7550663992134959,0.37810350680651245,-14.256149038154746
V1_balanced,30,1.5,ALL,6713,5892,0.8776999851035304,0.3738968092328581,-0.02320075173136073,-0.9999999999999797,-0.47844443757613986,-0.6439875960651504,-0.8509165441764137,0.34881206718384355,-33.27744474319309
